--------  -----  -----  -----------  -----------  -----------
Job ID    found  total  avg latency  max latency  min latency
JOB18965  100    /100   13207.76     13209        13204
JOB18972  100    /100   10701.64     10706        10699
JOB18975  100    /100   11696.39     11697        11695
JOB18977  100    /100   65331.74     65333        65331
JOB18979  100    /100   18390.4      18395        18387
JOB18982  100    /100   29355.53     29358        29353
JOB18984  100    /100   16707.6      16710        16704
JOB18989  100    /100   26249.45     26250        26249
JOB18992  100    /100   10853.83     10856        10852
JOB18994  100    /100   62935.73     62937        62934
JOB18995  100    /100   27859.32     27864        27856
JOB19001  100    /100   15327.88     15335        15322
JOB19002  100    /100   11041.61     11045        11039
JOB19012  100    /100   62393.56     62396        62390
JOB19013  100    /100   11559.57     11562        11556
JOB19015  100    /100   11227.92     11231        11224
JOB19021  100    /100   65057.84     65060        65055
JOB19023  100    /100   10783.06     10785        10780
JOB19027  100    /100   11032.29     11034        11029
JOB19028  100    /100   24210.97     24217        24208
JOB19031  100    /100   13354.54     13359        13351
JOB19041  100    /100   12703.13     12706        12699
JOB19042  100    /100   63942.4      63947        63938
JOB19055  100    /100   64449.57     64460        64445
JOB19062  200    /100   11728.97     11735        11724
JOB19069  100    /100   12381.51     12383        12380
JOB19072  100    /100   12317.34     12319        12314
JOB19081  100    /100   15349.32     15352        15347
JOB19085  100    /100   34191.31     34193        34190
JOB19106  100    /100   10779.71     10795        10768
JOB19107  100    /100   13329.08     13330        13328
JOB19108  100    /100   15719.77     15721        15718
JOB19117  100    /100   11062.42     11064        11061
JOB19127  100    /100   15117.35     15119        15115
JOB19128  100    /100   61440.35     61442        61439
JOB19142  100    /100   63330.98     63332        63330
JOB19161  100    /100   14274.9      14277        14274
JOB19168  100    /100   12337.48     12339        12336
JOB19199  100    /100   11753.25     11754        11752
JOB19214  100    /100   61744.12     61746        61741
JOB19216  200    /100   10935.25     10940        10931
JOB19229  100    /100   60965.43     60982        60954
JOB19246  100    /100   68567.39     68569        68565
JOB19260  100    /100   11591.67     11593        11591
JOB19270  100    /100   62362.35     62364        62361
JOB19277  100    /100   76386.06     76387        76385
JOB19288  100    /100   24495.07     24498        24493
JOB19295  100    /100   19830.14     19832        19826
JOB19296  100    /100   14438.99     14441        14436
JOB19299  100    /100   12337.32     12338        12337
JOB19315  100    /100   17790.22     17802        17778
JOB19321  100    /100   67842.7      67848        67840
JOB19340  100    /100   64759.74     64764        64754
JOB19341  100    /100   26100.41     26106        26097
JOB19344  100    /100   61312.48     61318        61307
JOB19348  100    /100   16361.22     16362        16360
JOB19350  100    /100   72828.44     72831        72826
JOB19352  100    /100   16274.5      16276        16273
JOB19356  100    /100   33822.93     33830        33817
JOB19362  100    /100   61742.93     61744        61742
JOB19363  100    /100   11134.37     11144        11125
JOB19364  100    /100   15153.38     15157        15149
JOB19367  100    /100   23968.65     23970        23968
JOB19376  100    /100   19709.26     19710        19709
JOB19379  100    /100   10838.47     10845        10834
JOB19382  100    /100   11219.45     11226        11213
JOB19407  100    /100   13636.54     13638        13635
JOB19420  100    /100   2653.3       2660         2644
JOB19423  100    /100   13018.72     13023        13015
JOB19424  100    /100   13445.09     13446        13444
JOB19427  100    /100   16104.03     16105        16103
JOB19430  100    /100   68462.7      68464        68461
JOB19431  100    /100   10793.97     10796        10792
missing
--------  -----  -----  -----------  -----------  -----------
