--------  --------  --------  -----------  -----------  -----------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------
Job ID    found     total     avg latency  max latency  min latency
JOB20397  0         /100      0            0            0
JOB20401  0         /100      0            0            0
JOB20428  0         /100      0            0            0
JOB20431  0         /100      0            0            0
JOB20440  0         /100      0            0            0
JOB20469  0         /100      0            0            0
JOB20482  0         /100      0            0            0
JOB20485  0         /100      0            0            0
JOB20491  0         /100      0            0            0
JOB20497  0         /100      0            0            0
JOB20499  0         /100      0            0            0
JOB20508  0         /100      0            0            0
JOB20519  0         /100      0            0            0
JOB20523  0         /100      0            0            0
JOB20531  0         /100      0            0            0
JOB20538  0         /100      0            0            0
JOB20546  0         /100      0            0            0
JOB20549  0         /100      0            0            0
JOB20553  0         /100      0            0            0
JOB20557  0         /100      0            0            0
JOB20565  0         /100      0            0            0
JOB20568  0         /100      0            0            0
JOB20578  0         /100      0            0            0
JOB20581  0         /100      0            0            0
JOB20583  0         /100      0            0            0
JOB20590  0         /100      0            0            0
JOB20611  0         /100      0            0            0
JOB20612  0         /100      0            0            0
JOB20618  0         /100      0            0            0
JOB20621  0         /100      0            0            0
JOB20623  0         /100      0            0            0
JOB20628  0         /100      0            0            0
JOB20630  0         /100      0            0            0
JOB20632  0         /100      0            0            0
JOB20635  0         /100      0            0            0
JOB20656  0         /100      0            0            0
JOB20664  0         /100      0            0            0
JOB20668  0         /100      0            0            0
JOB20674  0         /100      0            0            0
JOB20687  0         /100      0            0            0
JOB20696  0         /100      0            0            0
JOB20702  0         /100      0            0            0
JOB20711  0         /100      0            0            0
JOB20721  0         /100      0            0            0
JOB20729  0         /100      0            0            0
JOB20730  0         /100      0            0            0
JOB20740  0         /100      0            0            0
JOB20748  0         /100      0            0            0
JOB20751  0         /100      0            0            0
JOB20761  0         /100      0            0            0
JOB20769  0         /100      0            0            0
JOB20780  0         /100      0            0            0
JOB20789  0         /100      0            0            0
JOB20792  0         /100      0            0            0
JOB20794  0         /100      0            0            0
JOB20797  0         /100      0            0            0
JOB20802  0         /100      0            0            0
JOB20803  0         /100      0            0            0
JOB20804  0         /100      0            0            0
JOB20805  0         /100      0            0            0
JOB20806  0         /100      0            0            0
JOB20807  0         /100      0            0            0
JOB20808  0         /100      0            0            0
JOB20809  0         /100      0            0            0
JOB20810  0         /100      0            0            0
JOB20811  0         /100      0            0            0
JOB20812  0         /100      0            0            0
JOB20813  0         /100      0            0            0
JOB20814  0         /100      0            0            0
JOB20815  0         /100      0            0            0
JOB20816  0         /100      0            0            0
JOB20817  0         /100      0            0            0
JOB20818  0         /100      0            0            0
JOB20819  0         /100      0            0            0
JOB20820  0         /100      0            0            0
JOB20821  0         /100      0            0            0
JOB20822  0         /100      0            0            0
JOB20823  0         /100      0            0            0
JOB20824  0         /100      0            0            0
JOB20825  0         /100      0            0            0
JOB20826  0         /100      0            0            0
JOB20827  0         /100      0            0            0
JOB20828  0         /100      0            0            0
JOB20829  0         /100      0            0            0
JOB20830  0         /100      0            0            0
JOB20831  0         /100      0            0            0
JOB20832  0         /100      0            0            0
JOB20833  0         /100      0            0            0
JOB20834  0         /100      0            0            0
JOB20835  0         /100      0            0            0
JOB20836  0         /100      0            0            0
JOB20837  0         /100      0            0            0
JOB20838  0         /100      0            0            0
JOB20839  0         /100      0            0            0
JOB20840  0         /100      0            0            0
JOB20841  0         /100      0            0            0
JOB20842  0         /100      0            0            0
JOB20843  0         /100      0            0            0
JOB20844  0         /100      0            0            0
JOB20845  0         /100      0            0            0
JOB20846  0         /100      0            0            0
JOB20847  0         /100      0            0            0
JOB20848  0         /100      0            0            0
JOB20849  0         /100      0            0            0
JOB20850  0         /100      0            0            0
JOB20851  0         /100      0            0            0
JOB20852  0         /100      0            0            0
JOB20853  0         /100      0            0            0
JOB20854  0         /100      0            0            0
JOB20855  0         /100      0            0            0
JOB20856  0         /100      0            0            0
JOB20857  0         /100      0            0            0
JOB20858  0         /100      0            0            0
JOB20859  0         /100      0            0            0
JOB20860  0         /100      0            0            0
JOB20861  0         /100      0            0            0
JOB20862  0         /100      0            0            0
JOB20863  0         /100      0            0            0
JOB20864  0         /100      0            0            0
JOB20865  0         /100      0            0            0
JOB20866  0         /100      0            0            0
JOB20867  0         /100      0            0            0
JOB20868  0         /100      0            0            0
JOB20869  0         /100      0            0            0
JOB20870  0         /100      0            0            0
JOB20871  0         /100      0            0            0
JOB20872  0         /100      0            0            0
JOB20873  0         /100      0            0            0
JOB20874  0         /100      0            0            0
JOB20875  0         /100      0            0            0
JOB20876  0         /100      0            0            0
