--------  --------  --------  -----------  -----------  -----------
Job ID    found     total     avg latency  max latency  min latency
JOB14642  100       /100      12274.65     12278        12274
JOB14645  100       /100      13596.59     13604        13590
JOB14648  100       /100      11284.25     11287        11281
JOB14649  100       /100      12083.34     12092        12078
JOB14651  100       /100      11817.89     11819        11817
JOB14659  100       /100      26981.32     30955        12037
JOB14661  100       /100      12238.15     12248        12227
JOB14662  100       /100      17213.03     17219        17207
JOB14664  100       /100      63711.06     63717        63706
JOB14667  100       /100      68081.44     68084        68079
JOB14668  100       /100      10900.51     10902        10899
JOB14679  100       /100      11307.05     11311        11306
JOB14683  100       /100      12249.68     12251        12249
JOB14686  100       /100      10677.23     10684        10670
JOB14692  100       /100      13009.46     13013        13003
JOB14696  100       /100      12976.13     12978        12975
JOB14698  100       /100      14008.4      14010        14006
JOB14706  100       /100      12716.13     12717        12715
JOB14709  0         /100      0            0            0
JOB14724  100       /100      12067.06     12068        12066
JOB14726  200       /100      13958.0      13963        13953
JOB14727  100       /100      21501.99     21504        21501
JOB14731  100       /100      25417.12     25425        25407
JOB14732  100       /100      67965.08     67968        67960
JOB14738  100       /100      14579.09     14582        14574
JOB14745  100       /100      11547.13     11548        11547
JOB14749  100       /100      10468.82     10470        10468
JOB14755  100       /100      17031.3      17032        17031
JOB14772  100       /100      13630.08     13631        13629
JOB14773  100       /100      61949.4      61950        61949
JOB14776  100       /100      12466.01     12467        12465
JOB14777  100       /100      18013.27     18016        18008
JOB14786  100       /100      27077.53     27078        27077
JOB14787  100       /100      11245.29     11251        11234
JOB14789  100       /100      14102.16     14107        14097
JOB14792  100       /100      14897.17     14902        14894
JOB14793  0         /100      0            0            0
JOB14815  100       /100      61946.44     61948        61945
JOB14818  100       /100      18316.79     18317        18316
JOB14820  100       /100      66391.32     66400        66384
JOB14834  100       /100      47110.29     47111        47109
JOB14835  100       /100      12775.01     12778        12770
JOB14842  100       /100      12014.77     12018        12010
JOB14846  100       /100      33570.83     33573        33568
JOB14848  100       /100      18129.95     18133        18127
JOB14850  100       /100      16117.77     16120        16115
JOB14852  100       /100      11446.82     11448        11445
JOB14857  100       /100      17271.26     17274        17270
JOB14858  100       /100      28803.68     28805        28802
JOB14860  100       /100      61990.99     61996        61984
JOB14867  100       /100      15164.16     15166        15162
JOB14868  100       /100      8200.65      8202         8199
JOB14872  100       /100      20353.47     20354        20352
JOB14873  100       /100      23481.43     23484        23479
JOB14874  100       /100      11692.58     11700        11686
JOB14878  100       /100      14363.62     14365        14363
JOB14889  100       /100      41868.08     41870        41866
JOB14891  100       /100      13470.56     13471        13470
JOB14892  100       /100      26625.84     26628        26624
JOB14897  100       /100      14790.1      14798        14779
JOB14903  100       /100      15603.98     15608        15601
JOB14916  100       /100      66871.41     66873        66870
JOB14929  100       /100      69435.38     69436        69434
JOB14937  100       /100      18167.6      18170        18166
JOB14938  100       /100      12226.69     12237        12221
JOB14947  100       /100      17615.57     17619        17614
JOB14952  100       /100      15949.88     15952        15949
JOB14957  100       /100      12133.99     12135        12133
JOB14962  100       /100      14211.74     14213        14211
JOB14975  100       /100      13982.6      13984        13982
JOB14976  100       /100      13772.26     13776        13769
JOB14978  100       /100      13801.0      13804        13800
JOB14982  100       /100      17688.27     17689        17687
JOB14986  100       /100      13803.31     13808        13797
JOB14994  100       /100      11920.4      11927        11915
JOB14995  100       /100      12277.09     12280        12271
JOB15006  100       /100      20209.5      20211        20208
JOB15012  100       /100      16146.48     16148        16145
JOB15013  100       /100      21411.17     21413        21410
JOB15014  100       /100      19943.43     19945        19942
JOB15015  100       /100      11093.09     11095        11092
JOB15018  100       /100      12614.13     12617        12612
JOB15020  100       /100      17584.88     17587        17582
JOB15023  100       /100      15549.9      15552        15548
JOB15028  100       /100      12660.58     12665        12652
JOB15031  100       /100      10881.32     10883        10880
JOB15033  100       /100      14055.05     14057        14053
JOB15040  0         /100      0            0            0
JOB15043  100       /100      11379.98     11382        11379
JOB15045  100       /100      68813.85     68816        68811
JOB15050  100       /100      62312.92     62314        62312
JOB15051  100       /100      13515.22     13517        13514
JOB15058  100       /100      10698.88     10701        10696
JOB15060  100       /100      11909.87     11912        11907
JOB15063  100       /100      10933.21     10936        10931
JOB15064  100       /100      64831.0      64832        64830
JOB15066  100       /100      12510.88     12514        12509
JOB15069  100       /100      12679.11     12680        12678
JOB15075  100       /100      16557.19     16560        16554
JOB15076  100       /100      12623.74     12641        12613
JOB15087  100       /100      18125.44     18127        18124
JOB15095  100       /100      24996.9      25003        24991
JOB15100  100       /100      24240.6      24242        24240
JOB15104  100       /100      18454.73     18457        18451
JOB15105  100       /100      11654.85     11657        11654
JOB15115  100       /100      11677.4      11679        11672
missing   JOB14709  JOB14793  JOB15040
--------  --------  --------  -----------  -----------  -----------
