--------  --------  --------  -----------  -----------  -----------  --------
Job ID    found     total     avg latency  max latency  min latency
JOB16079  100       /100      45717.41     71565        1706
JOB16084  100       /100      64082.08     64084        64081
JOB16120  100       /100      19415.75     19417        19414
JOB16128  100       /100      15153.07     15159        15148
JOB16134  100       /100      79387.53     79392        79382
JOB16135  100       /100      15110.72     15116        15109
JOB16136  100       /100      12123.84     12125        12123
JOB16142  100       /100      62209.82     62217        62205
JOB16157  100       /100      10723.72     10725        10722
JOB16167  100       /100      16745.17     16747        16744
JOB16174  100       /100      62363.56     62368        62359
JOB16176  100       /100      11620.46     11622        11619
JOB16180  100       /100      13195.12     13197        13194
JOB16181  100       /100      20391.47     20393        20390
JOB16183  100       /100      10675.42     10676        10675
JOB16190  100       /100      10981.69     10983        10980
JOB16198  100       /100      68341.49     68350        68337
JOB16200  100       /100      11444.23     11447        11442
JOB16213  100       /100      62216.03     62220        62212
JOB16222  0         /100      0            0            0
JOB16225  100       /100      30842.0      30850        30836
JOB16227  100       /100      125045.49    125046       125045
JOB16246  100       /100      11745.31     11747        11744
JOB16248  100       /100      12783.17     12784        12782
JOB16249  100       /100      10765.18     10766        10761
JOB16268  0         /100      0            0            0
JOB16294  100       /100      10870.78     10871        10870
JOB16298  100       /100      17758.57     17760        17758
JOB16309  100       /100      11072.83     11076        11071
JOB16316  100       /100      67022.79     67024        67021
JOB16321  100       /100      62540.85     62543        62540
JOB16326  100       /100      13402.23     13404        13401
JOB16328  100       /100      12757.61     12760        12756
JOB16334  100       /100      11194.37     11197        11192
JOB16361  100       /100      11374.53     11379        11373
JOB16363  100       /100      71808.54     71816        71799
JOB16381  100       /100      61642.56     61646        61639
JOB16430  100       /100      10702.77     10704        10700
JOB16441  100       /100      64316.85     64318        64316
JOB16442  100       /100      12365.56     12366        12365
JOB16445  100       /100      69475.73     69487        69469
JOB16457  100       /100      11962.11     11969        11957
JOB16458  100       /100      130537.11    130546       130529
JOB16482  100       /100      15325.34     15326        15324
JOB16488  100       /100      13621.23     13622        13620
JOB16491  0         /100      0            0            0
JOB16522  0         /100      0            0            0
JOB16523  100       /100      17467.64     17471        17465
JOB16533  100       /100      14162.7      14163        14162
JOB16540  100       /100      75096.04     75099        75094
JOB16544  100       /100      63667.24     63668        63666
JOB16545  0         /100      0            0            0
JOB16550  100       /100      15861.53     15863        15860
JOB16551  0         /100      0            0            0
JOB16552  100       /100      12811.14     12818        12805
JOB16556  100       /100      15581.87     15583        15581
missing   JOB16222  JOB16268  JOB16491     JOB16522     JOB16545     JOB16551
--------  --------  --------  -----------  -----------  -----------  --------
