--------  --------  -----  -----------  -----------  -----------
Job ID    found     total  avg latency  max latency  min latency
JOB16576  100       /100   10996.55     10999        10996
JOB16579  200       /100   21064.45     21070        21059
JOB16580  100       /100   16073.24     16079        16070
JOB16581  100       /100   13452.04     13453        13449
JOB16615  100       /100   16417.3      16422        16408
JOB16618  100       /100   13083.24     13087        13081
JOB16621  100       /100   12214.88     12219        12213
JOB16623  100       /100   15018.94     15020        15018
JOB16645  100       /100   14285.35     14286        14284
JOB16649  100       /100   15856.83     15863        15852
JOB16654  100       /100   10574.64     10576        10573
JOB16666  100       /100   29672.5      29677        29671
JOB16669  100       /100   14332.83     14334        14332
JOB16681  100       /100   18346.79     18348        18346
JOB16684  100       /100   12058.09     12059        12057
JOB16694  100       /100   11639.05     11640        11638
JOB16696  100       /100   12994.8      13002        12992
JOB16703  100       /100   25442.79     25444        25442
JOB16706  100       /100   24588.73     24590        24587
JOB16713  100       /100   12317.42     12319        12315
JOB16715  100       /100   13218.13     13219        13217
JOB16718  100       /100   65783.79     65792        65776
JOB16728  100       /100   11746.75     11748        11744
JOB16731  100       /100   20440.62     20442        20440
JOB16749  100       /100   10911.27     10913        10910
JOB16752  100       /100   10935.0      10936        10934
JOB16753  100       /100   16451.08     16457        16443
JOB16755  100       /100   26448.31     26459        26441
JOB16778  100       /100   13666.06     13667        13665
JOB16799  100       /100   63908.11     63909        63907
JOB16804  100       /100   17319.81     17320        17319
JOB16816  100       /100   16318.53     16323        16311
JOB16819  100       /100   13748.31     13754        13743
JOB16822  100       /100   10774.0      10784        10771
JOB16830  100       /100   15361.05     15364        15352
JOB16831  100       /100   14596.67     14599        14594
JOB16834  100       /100   12814.23     12815        12813
JOB16844  100       /100   12009.0      12011        12007
JOB16846  100       /100   10964.06     10965        10962
JOB16864  100       /100   20303.34     20305        20300
JOB16879  0         /100   0            0            0
JOB16881  100       /100   62465.98     62467        62465
JOB16882  100       /100   11044.73     11060        11034
JOB16883  200       /100   23430.51     25250        21613
JOB16902  100       /100   11224.84     11226        11224
JOB16907  100       /100   12335.43     12338        12334
JOB16923  100       /100   14240.46     14242        14239
JOB16924  100       /100   64920.47     64923        64918
JOB16927  100       /100   13348.43     13349        13348
JOB16946  100       /100   62047.9      62049        62046
JOB16954  100       /100   15072.44     15075        15069
JOB16957  100       /100   15916.91     15918        15914
JOB16971  100       /100   11636.58     11640        11635
JOB16975  100       /100   11316.04     11323        11312
JOB16979  100       /100   63980.44     63981        63979
JOB16985  100       /100   13452.35     13455        13449
JOB16986  100       /100   65532.61     65534        65531
JOB17023  100       /100   13970.71     13973        13968
JOB17030  100       /100   27258.43     27262        27256
missing   JOB16879
--------  --------  -----  -----------  -----------  -----------
