--------  --------  -----  ------------------  -----------  -----------
Job ID    found     total  avg latency         max latency  min latency
JOB17532  100       /100   11130.52            11133        11126
JOB17533  100       /100   18689.19            18694        18684
JOB17537  100       /100   16100.26            16112        16091
JOB17543  100       /100   10558.45            10560        10557
JOB17544  300       /100   16180.773333333333  16187        16174
JOB17548  100       /100   12942.91            12944        12942
JOB17549  100       /100   31352.57            31360        31347
JOB17550  100       /100   61503.26            61505        61502
JOB17551  100       /100   14982.26            14984        14980
JOB17566  100       /100   12619.73            12621        12619
JOB17567  100       /100   14317.91            14319        14317
JOB17571  100       /100   15299.54            15301        15299
JOB17572  100       /100   14104.12            14106        14102
JOB17576  100       /100   11435.15            11436        11434
JOB17583  100       /100   65661.84            65662        65661
JOB17586  100       /100   16816.58            16827        16810
JOB17589  100       /100   19035.44            19037        19034
JOB17594  100       /100   68779.42            68790        68777
JOB17610  100       /100   17836.59            17840        17835
JOB17612  100       /100   11256.98            11262        11252
JOB17614  100       /100   12553.88            12556        12552
JOB17616  100       /100   27427.17            27434        27424
JOB17631  100       /100   20648.53            20652        20647
JOB17636  100       /100   13484.01            13485        13483
JOB17637  100       /100   12944.12            12951        12937
JOB17653  100       /100   11868.27            11870        11867
JOB17655  100       /100   62076.74            62079        62075
JOB17659  100       /100   66551.35            66555        66546
JOB17661  100       /100   11080.21            11085        11074
JOB17662  100       /100   15464.51            15466        15463
JOB17675  100       /100   44821.51            44827        44816
JOB17680  100       /100   24103.85            24105        24102
JOB17681  100       /100   25376.13            25378        25375
JOB17687  100       /100   14714.76            14716        14714
JOB17689  100       /100   11196.34            11199        11195
JOB17690  100       /100   70058.69            70061        70053
JOB17697  100       /100   11279.62            11281        11279
JOB17698  100       /100   23756.93            23760        23755
JOB17705  100       /100   70875.24            70877        70874
JOB17706  100       /100   12065.2             12068        12064
JOB17707  100       /100   11181.05            11182        11180
JOB17715  100       /100   63217.25            63220        63215
JOB17727  100       /100   25675.99            25677        25675
JOB17734  100       /100   11858.51            11862        11853
JOB17748  100       /100   17264.22            17272        17254
JOB17761  100       /100   19076.07            19077        19075
JOB17763  100       /100   11075.35            11077        11074
JOB17766  100       /100   22115.75            22117        22115
JOB17785  100       /100   121915.34           121921       121913
JOB17790  100       /100   14703.52            14706        14702
JOB17792  100       /100   66163.59            66170        66162
JOB17812  100       /100   24588.88            24592        24585
JOB17829  100       /100   11587.05            11589        11587
JOB17832  100       /100   15720.06            15724        15719
JOB17835  100       /100   10875.39            10878        10873
JOB17846  100       /100   74292.69            74295        74291
JOB17855  100       /100   14836.8             14840        14834
JOB17862  100       /100   17540.75            17542        17539
JOB17881  100       /100   13026.33            13028        13022
JOB17888  100       /100   65573.43            65580        65564
JOB17890  100       /100   12407.99            12411        12407
JOB17895  100       /100   18503.1             18504        18502
JOB17906  100       /100   19121.82            19128        19116
JOB17917  100       /100   12935.19            12937        12934
JOB17922  100       /100   65764.08            65769        65757
JOB17924  100       /100   13473.5             13476        13472
JOB17928  100       /100   25314.78            25316        25313
JOB17930  100       /100   12626.26            12627        12625
JOB17935  100       /100   17415.27            17417        17413
JOB17944  100       /100   13775.09            13777        13772
JOB17959  100       /100   61907.57            61909        61906
JOB17964  100       /100   14460.94            14463        14459
JOB17970  100       /100   64088.1             64091        64084
JOB17972  100       /100   11535.61            11537        11534
JOB17974  200       /100   13092.54            13097        13089
JOB17981  100       /100   11955.89            11958        11954
JOB17983  100       /100   67961.93            67975        67953
JOB17985  100       /100   13692.6             13695        13691
JOB17988  100       /100   11602.92            11604        11602
JOB17996  100       /100   24444.08            24446        24443
missing   JOB17544
--------  --------  -----  ------------------  -----------  -----------
