--------  --------  --------  -----------  -----------  -----------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------
Job ID    found     total     avg latency  max latency  min latency
JOB26637  0         /100      0            0            0
JOB26638  0         /100      0            0            0
JOB26639  0         /100      0            0            0
JOB26640  0         /100      0            0            0
JOB26641  0         /100      0            0            0
JOB26642  0         /100      0            0            0
JOB26643  0         /100      0            0            0
JOB26644  0         /100      0            0            0
JOB26645  0         /100      0            0            0
JOB26646  0         /100      0            0            0
JOB26647  0         /100      0            0            0
JOB26648  0         /100      0            0            0
JOB26649  0         /100      0            0            0
JOB26650  0         /100      0            0            0
JOB26651  0         /100      0            0            0
JOB26652  0         /100      0            0            0
JOB26653  0         /100      0            0            0
JOB26654  0         /100      0            0            0
JOB26655  0         /100      0            0            0
JOB26656  0         /100      0            0            0
JOB26657  0         /100      0            0            0
JOB26658  0         /100      0            0            0
JOB26659  0         /100      0            0            0
JOB26660  0         /100      0            0            0
JOB26661  0         /100      0            0            0
JOB26662  0         /100      0            0            0
JOB26663  0         /100      0            0            0
JOB26664  0         /100      0            0            0
JOB26665  0         /100      0            0            0
JOB26666  0         /100      0            0            0
JOB26667  0         /100      0            0            0
JOB26668  0         /100      0            0            0
JOB26669  0         /100      0            0            0
JOB26670  0         /100      0            0            0
JOB26671  0         /100      0            0            0
JOB26672  0         /100      0            0            0
JOB26673  0         /100      0            0            0
JOB26674  0         /100      0            0            0
JOB26675  0         /100      0            0            0
JOB26676  0         /100      0            0            0
JOB26677  0         /100      0            0            0
JOB26678  0         /100      0            0            0
JOB26679  0         /100      0            0            0
JOB26680  0         /100      0            0            0
JOB26681  0         /100      0            0            0
JOB26682  0         /100      0            0            0
JOB26683  0         /100      0            0            0
JOB26684  0         /100      0            0            0
JOB26685  0         /100      0            0            0
JOB26686  0         /100      0            0            0
JOB26687  0         /100      0            0            0
JOB26688  0         /100      0            0            0
JOB26689  0         /100      0            0            0
JOB26690  0         /100      0            0            0
JOB26691  0         /100      0            0            0
JOB26692  0         /100      0            0            0
JOB26693  0         /100      0            0            0
JOB26694  0         /100      0            0            0
JOB26695  0         /100      0            0            0
JOB26696  0         /100      0            0            0
JOB26697  0         /100      0            0            0
JOB26698  0         /100      0            0            0
JOB26699  0         /100      0            0            0
JOB26700  0         /100      0            0            0
JOB26701  0         /100      0            0            0
JOB26702  0         /100      0            0            0
JOB26703  0         /100      0            0            0
JOB26704  0         /100      0            0            0
JOB26705  0         /100      0            0            0
JOB26706  0         /100      0            0            0
JOB26707  0         /100      0            0            0
JOB26708  0         /100      0            0            0
JOB26709  0         /100      0            0            0
JOB26710  0         /100      0            0            0
JOB26711  0         /100      0            0            0
JOB26712  0         /100      0            0            0
JOB26713  0         /100      0            0            0
JOB26714  0         /100      0            0            0
JOB26715  0         /100      0            0            0
JOB26716  0         /100      0            0            0
JOB26717  0         /100      0            0            0
JOB26718  0         /100      0            0            0
JOB26719  0         /100      0            0            0
JOB26720  0         /100      0            0            0
JOB26721  0         /100      0            0            0
JOB26722  0         /100      0            0            0
