--------  --------  --------  -----------  -----------  -----------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------
Job ID    found     total     avg latency  max latency  min latency
JOB14157  100       /100      9140.67      9142         9139
JOB14158  100       /100      7964.97      7971         7957
JOB14159  100       /100      1853.5       1861         1848
JOB14160  100       /100      8525.54      8527         8524
JOB14161  100       /100      3695.79      3701         3691
JOB14162  100       /100      1772.74      1773         1772
JOB14163  100       /100      6234.84      6236         6234
JOB14164  0         /100      0            0            0
JOB14165  100       /100      2594.88      2598         2592
JOB14166  100       /100      2103.95      2107         2101
JOB14167  0         /100      0            0            0
JOB14168  100       /100      2664.49      2666         2663
JOB14169  100       /100      6741.12      6744         6738
JOB14170  100       /100      9802.42      9804         9801
JOB14171  100       /100      6780.8       6782         6780
JOB14172  0         /100      0            0            0
JOB14173  100       /100      4930.87      4932         4929
JOB14174  0         /100      0            0            0
JOB14175  100       /100      4796.53      4804         4792
JOB14176  100       /100      4075.46      4078         4072
JOB14177  100       /100      5590.38      5594         5586
JOB14178  100       /100      3775.89      3777         3775
JOB14179  100       /100      7422.89      7429         7420
JOB14180  100       /100      4034.9       4037         4032
JOB14181  100       /100      1813.21      1821         1808
JOB14182  0         /100      0            0            0
JOB14183  100       /100      3339.59      3345         3334
JOB14184  100       /100      2294.53      2297         2293
JOB14185  0         /100      0            0            0
JOB14186  100       /100      2687.46      2689         2686
JOB14187  100       /100      911.41       913          910
JOB14188  100       /100      4866.52      4869         4864
JOB14189  100       /100      9416.06      9424         9411
JOB14190  100       /100      2931.93      2933         2931
JOB14191  100       /100      2274.58      2275         2274
JOB14192  0         /100      0            0            0
JOB14193  100       /100      8562.36      8564         8559
JOB14194  100       /100      4252.26      4258         4249
JOB14195  100       /100      3265.68      3270         3264
JOB14196  100       /100      3935.74      3937         3934
JOB14197  100       /100      7138.0       7138         7138
JOB14198  0         /100      0            0            0
JOB14199  100       /100      8527.6       8530         8523
JOB14200  100       /100      3304.09      3308         3302
JOB14201  100       /100      7592.73      7599         7588
JOB14202  100       /100      1800.8       1802         1799
JOB14203  100       /100      3178.8       3180         3177
JOB14204  100       /100      2787.16      2789         2784
JOB14205  100       /100      5299.73      5303         5295
JOB14206  0         /100      0            0            0
JOB14207  100       /100      1954.09      1956         1951
JOB14208  100       /100      6659.62      6661         6659
JOB14209  100       /100      3645.82      3649         3644
JOB14210  100       /100      2280.2       2282         2279
JOB14211  100       /100      2625.9       2629         2618
JOB14212  100       /100      5110.12      5111         5109
JOB14213  100       /100      5892.61      5898         5891
JOB14214  100       /100      5036.17      5037         5035
JOB14215  100       /100      1729.27      1732         1728
JOB14216  0         /100      0            0            0
JOB14217  0         /100      0            0            0
JOB14218  100       /100      4104.18      4110         4099
JOB14219  0         /100      0            0            0
JOB14220  0         /100      0            0            0
JOB14221  100       /100      7934.71      7936         7933
JOB14222  0         /100      0            0            0
JOB14223  0         /100      0            0            0
JOB14224  100       /100      8239.5       8242         8237
JOB14225  100       /100      1916.8       1918         1916
JOB14226  100       /100      5800.77      5802         5798
JOB14227  100       /100      1738.94      1744         1734
JOB14228  100       /100      5737.87      5742         5734
JOB14229  100       /100      2031.93      2036         2027
JOB14230  100       /100      5309.43      5311         5308
JOB14231  100       /100      5858.27      5860         5857
JOB14232  100       /100      2512.4       2514         2511
JOB14233  100       /100      10433.8      10436        10432
JOB14234  100       /100      6571.11      6578         6566
JOB14235  100       /100      6482.4       6484         6481
