--------  --------  --------  -----------  -----------  -----------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------
Job ID    found     total     avg latency  max latency  min latency
JOB18477  100       /100      2906.26      2913         2899
JOB18478  100       /100      8057.07      8063         8053
JOB18479  0         /100      0            0            0
JOB18480  100       /100      5205.04      5206         5204
JOB18481  100       /100      6827.21      6830         6826
JOB18482  100       /100      1547.16      1553         1544
JOB18483  100       /100      7763.03      7764         7762
JOB18484  0         /100      0            0            0
JOB18485  100       /100      9205.61      9220         9195
JOB18486  100       /100      4293.34      4295         4292
JOB18487  100       /100      1943.19      1946         1942
JOB18488  100       /100      4303.18      4306         4301
JOB18489  100       /100      3063.01      3064         3063
JOB18490  100       /100      7909.2       7911         7908
JOB18491  100       /100      2214.96      2218         2212
JOB18492  0         /100      0            0            0
JOB18493  100       /100      5535.41      5538         5534
JOB18494  100       /100      1697.22      1698         1696
JOB18495  100       /100      8270.39      8278         8261
JOB18496  100       /100      4842.2       4844         4841
JOB18497  0         /100      0            0            0
JOB18498  100       /100      2662.89      2664         2662
JOB18499  100       /100      3479.65      3484         3476
JOB18500  100       /100      3646.07      3648         3645
JOB18501  100       /100      1088.23      1096         1082
JOB18502  100       /100      6680.47      6682         6679
JOB18503  100       /100      3458.19      3460         3457
JOB18504  100       /100      1744.04      1750         1741
JOB18505  0         /100      0            0            0
JOB18506  100       /100      5161.78      5164         5160
JOB18507  100       /100      9118.58      9119         9118
JOB18508  100       /100      1440.47      1442         1439
JOB18509  100       /100      8033.57      8044         8024
JOB18510  100       /100      6235.25      6236         6234
JOB18511  100       /100      2394.28      2396         2393
JOB18512  0         /100      0            0            0
JOB18513  100       /100      2335.63      2337         2335
JOB18514  100       /100      6860.34      6864         6856
JOB18515  100       /100      3015.06      3017         3014
JOB18516  100       /100      2042.22      2044         2041
JOB18517  0         /100      0            0            0
JOB18518  0         /100      0            0            0
JOB18519  100       /100      2320.72      2322         2319
JOB18520  100       /100      9617.96      9620         9616
JOB18521  0         /100      0            0            0
JOB18522  100       /100      7799.95      7807         7796
JOB18523  100       /100      7122.3       7124         7121
JOB18524  100       /100      2433.69      2442         2428
JOB18525  100       /100      2655.74      2660         2653
JOB18526  100       /100      2955.74      2958         2954
JOB18527  100       /100      3234.25      3235         3233
JOB18528  100       /100      9709.7       9715         9702
JOB18529  0         /100      0            0            0
JOB18530  100       /100      2870.7       2872         2869
JOB18531  100       /100      5891.57      5893         5890
JOB18532  100       /100      3773.67      3776         3773
JOB18533  100       /100      2222.02      2226         2218
JOB18534  100       /100      4223.84      4227         4221
JOB18535  0         /100      0            0            0
JOB18536  100       /100      1656.65      1660         1653
JOB18537  100       /100      2972.98      2974         2972
JOB18538  0         /100      0            0            0
JOB18539  100       /100      2846.9       2849         2845
JOB18540  100       /100      7355.38      7359         7349
JOB18541  0         /100      0            0            0
