--------  --------  --------  -----------  -----------  -----------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------
Job ID    found     total     avg latency  max latency  min latency
JOB18957  100       /100      2472.99      2486         2461
JOB18958  100       /100      2701.97      2703         2701
JOB18959  100       /100      9748.99      9751         9748
JOB18960  100       /100      3479.79      3481         3479
JOB18961  100       /100      3083.41      3084         3082
JOB18962  100       /100      5434.74      5436         5433
JOB18963  100       /100      6316.15      6318         6315
JOB18964  100       /100      4961.24      4962         4960
JOB18965  0         /100      0            0            0
JOB18966  100       /100      2753.36      2755         2751
JOB18967  100       /100      5932.42      5935         5930
JOB18968  100       /100      8653.29      8656         8650
JOB18969  100       /100      4307.54      4309         4306
JOB18970  100       /100      3773.91      3775         3772
JOB18971  100       /100      2833.53      2835         2832
JOB18972  0         /100      0            0            0
JOB18973  100       /100      2239.22      2240         2238
JOB18974  100       /100      7365.09      7367         7364
JOB18975  0         /100      0            0            0
JOB18976  100       /100      6415.12      6424         6407
JOB18977  0         /100      0            0            0
JOB18978  100       /100      3272.74      3276         3271
JOB18979  0         /100      0            0            0
JOB18980  100       /100      10363.54     10370        10356
JOB18981  100       /100      7005.82      7008         7004
JOB18982  0         /100      0            0            0
JOB18983  100       /100      6127.66      6129         6127
JOB18984  0         /100      0            0            0
JOB18985  100       /100      4493.92      4495         4492
JOB18986  100       /100      5163.01      5167         5159
JOB18987  100       /100      9542.28      9549         9535
JOB18988  100       /100      7471.54      7473         7470
JOB18989  0         /100      0            0            0
JOB18990  100       /100      1830.44      1834         1825
JOB18991  100       /100      2117.58      2118         2117
JOB18992  0         /100      0            0            0
JOB18993  100       /100      8283.7       8286         8282
JOB18994  0         /100      0            0            0
JOB18995  0         /100      0            0            0
JOB18996  100       /100      1866.68      1868         1865
JOB18997  100       /100      4509.87      4511         4508
JOB18998  100       /100      2095.22      2096         2094
JOB18999  100       /100      2250.38      2253         2249
JOB19000  100       /100      3084.6       3092         3082
JOB19001  0         /100      0            0            0
JOB19002  0         /100      0            0            0
JOB19003  100       /100      5138.32      5143         5133
JOB19004  100       /100      3840.47      3842         3839
JOB19005  100       /100      2906.11      2923         2901
JOB19006  100       /100      4107.44      4109         4105
JOB19007  100       /100      7129.04      7133         7125
JOB19008  100       /100      5674.0       5678         5671
JOB19009  100       /100      2913.05      2920         2908
JOB19010  100       /100      1474.1       1485         1466
JOB19011  100       /100      7113.6       7117         7112
JOB19012  0         /100      0            0            0
JOB19013  0         /100      0            0            0
JOB19014  100       /100      3067.75      3072         3064
JOB19015  0         /100      0            0            0
JOB19016  100       /100      1655.73      1657         1654
JOB19017  100       /100      2278.14      2281         2276
JOB19018  100       /100      5995.02      6003         5986
JOB19019  100       /100      1777.57      1780         1775
JOB19020  100       /100      2313.01      2314         2312
JOB19021  0         /100      0            0            0
JOB19022  100       /100      1786.34      1788         1785
JOB19023  0         /100      0            0            0
JOB19024  100       /100      2810.41      2811         2809
JOB19025  100       /100      4962.98      4966         4958
JOB19026  100       /100      3498.45      3501         3497
JOB19027  0         /100      0            0            0
JOB19028  0         /100      0            0            0
JOB19029  100       /100      3977.97      3986         3973
JOB19030  100       /100      2067.37      2068         2064
JOB19031  0         /100      0            0            0
JOB19032  100       /100      2426.04      2427         2425
JOB19033  100       /100      8799.4       8801         8798
JOB19034  100       /100      6529.8       6532         6521
JOB19035  100       /100      1704.89      1717         1699
JOB19036  100       /100      2284.38      2285         2284
JOB19037  100       /100      3024.36      3028         3023
JOB19038  100       /100      2949.68      2953         2947
JOB19039  100       /100      2819.46      2820         2819
JOB19040  100       /100      4950.68      4953         4950
JOB19041  0         /100      0            0            0
JOB19042  0         /100      0            0            0
JOB19043  100       /100      1742.65      1745         1741
JOB19044  100       /100      3696.67      3699         3694
JOB19045  100       /100      1835.27      1837         1834
JOB19046  100       /100      1942.14      1945         1940
JOB19047  100       /100      5146.09      5152         5143
JOB19048  100       /100      7585.74      7591         7584
JOB19049  100       /100      5822.0       5827         5820
JOB19050  100       /100      7289.45      7290         7289
JOB19051  100       /100      4941.61      4943         4940
JOB19052  100       /100      2486.0       2488         2485
JOB19053  100       /100      10079.9      10081        10079
JOB19054  100       /100      1814.2       1817         1811
JOB19055  0         /100      0            0            0
JOB19056  100       /100      2124.63      2131         2115
JOB19057  100       /100      7468.43      7470         7467
JOB19058  100       /100      2645.4       2647         2644
JOB19059  100       /100      6168.31      6170         6167
JOB19060  100       /100      7545.52      7547         7544
JOB19061  100       /100      6272.64      6275         6270
JOB19062  0         /100      0            0            0
JOB19063  100       /100      6835.08      6838         6830
JOB19064  100       /100      2030.02      2035         2028
JOB19065  100       /100      3007.09      3009         3006
JOB19066  100       /100      5213.27      5215         5211
JOB19067  100       /100      1603.34      1604         1602
JOB19068  100       /100      1061.1       1064         1058
JOB19069  0         /100      0            0            0
JOB19070  100       /100      8414.77      8418         8413
JOB19071  100       /100      8520.08      8525         8516
JOB19072  0         /100      0            0            0
JOB19073  100       /100      8420.21      8430         8413
JOB19074  100       /100      3292.12      3294         3290
JOB19075  100       /100      6503.53      6507         6502
JOB19076  100       /100      3545.65      3552         3543
JOB19077  100       /100      5762.65      5764         5762
JOB19078  100       /100      7865.56      7867         7865
JOB19079  100       /100      3457.22      3462         3454
JOB19080  100       /100      5785.61      5787         5783
JOB19081  0         /100      0            0            0
JOB19082  100       /100      1847.71      1853         1843
JOB19083  100       /100      3153.07      3157         3148
JOB19084  100       /100      2558.54      2561         2556
JOB19085  0         /100      0            0            0
JOB19086  100       /100      790.79       792          789
JOB19087  100       /100      7096.62      7098         7095
JOB19088  100       /100      2768.23      2770         2767
JOB19089  100       /100      722.95       731          718
JOB19090  100       /100      7258.25      7260         7256
JOB19091  100       /100      3496.25      3497         3495
JOB19092  100       /100      4075.08      4077         4074
JOB19093  100       /100      4430.39      4433         4428
JOB19094  100       /100      3582.52      3585         3580
JOB19095  100       /100      2475.23      2479         2474
JOB19096  100       /100      3431.51      3438         3430
JOB19097  100       /100      3221.16      3222         3220
JOB19098  100       /100      9048.48      9050         9047
JOB19099  100       /100      4556.89      4558         4556
JOB19100  100       /100      4369.23      4383         4358
JOB19101  100       /100      2465.22      2467         2464
JOB19102  100       /100      2505.52      2507         2504
JOB19103  100       /100      1721.44      1723         1720
JOB19104  100       /100      9255.73      9259         9254
JOB19105  100       /100      2912.52      2914         2912
JOB19106  0         /100      0            0            0
JOB19107  0         /100      0            0            0
JOB19108  0         /100      0            0            0
JOB19109  100       /100      4993.48      4998         4991
JOB19110  100       /100      1961.13      1964         1959
JOB19111  100       /100      5038.25      5039         5037
JOB19112  100       /100      2045.23      2057         2035
JOB19113  100       /100      3476.97      3481         3474
JOB19114  100       /100      1303.91      1311         1299
JOB19115  100       /100      5606.21      5607         5605
JOB19116  100       /100      7235.86      7238         7233
JOB19117  0         /100      0            0            0
JOB19118  100       /100      4409.75      4417         4400
JOB19119  100       /100      9426.5       9431         9423
JOB19120  100       /100      7077.08      7081         7074
JOB19121  100       /100      2874.26      2878         2872
JOB19122  100       /100      5433.11      5434         5431
JOB19123  100       /100      6070.72      6073         6068
JOB19124  100       /100      8431.55      8436         8430
JOB19125  100       /100      1184.41      1186         1183
JOB19126  100       /100      3205.14      3207         3201
JOB19127  0         /100      0            0            0
JOB19128  0         /100      0            0            0
JOB19129  100       /100      2149.22      2154         2145
JOB19130  100       /100      5720.68      5728         5709
JOB19131  100       /100      1926.5       1931         1923
JOB19132  100       /100      5766.82      5770         5762
JOB19133  100       /100      1517.14      1519         1515
JOB19134  100       /100      4357.56      4363         4355
JOB19135  100       /100      3809.78      3812         3808
JOB19136  100       /100      2385.8       2388         2384
JOB19137  100       /100      1240.51      1244         1239
JOB19138  100       /100      2227.59      2229         2226
JOB19139  100       /100      6295.92      6297         6294
JOB19140  100       /100      2399.2       2400         2398
JOB19141  100       /100      3042.74      3045         3039
JOB19142  0         /100      0            0            0
JOB19143  100       /100      1864.26      1866         1863
JOB19144  100       /100      625.4        626          625
JOB19145  100       /100      6521.58      6523         6520
JOB19146  100       /100      3985.94      3989         3984
JOB19147  100       /100      1344.66      1347         1343
JOB19148  100       /100      5730.29      5734         5719
JOB19149  100       /100      9035.05      9038         9032
JOB19150  100       /100      4024.23      4025         4023
JOB19151  100       /100      3929.13      3930         3928
JOB19152  100       /100      2997.46      3000         2996
JOB19153  100       /100      3964.35      3973         3960
JOB19154  100       /100      2112.09      2114         2111
JOB19155  100       /100      4377.04      4378         4376
JOB19156  100       /100      1769.54      1773         1766
JOB19157  100       /100      2736.1       2739         2729
JOB19158  100       /100      2807.89      2810         2806
JOB19159  100       /100      5269.61      5273         5267
JOB19160  100       /100      3010.86      3024         3001
JOB19161  0         /100      0            0            0
JOB19162  100       /100      2761.76      2764         2760
JOB19163  100       /100      8392.5       8397         8391
JOB19164  100       /100      2355.38      2366         2345
JOB19165  100       /100      7747.16      7752         7737
