--------  --------  --------  -----------  -----------  -----------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------
Job ID    found     total     avg latency  max latency  min latency
JOB19437  100       /100      826.22       827          823
JOB19438  0         /100      0            0            0
JOB19439  100       /100      3944.72      3948         3943
JOB19440  100       /100      1801.48      1804         1798
JOB19441  100       /100      2576.68      2578         2575
JOB19442  0         /100      0            0            0
JOB19443  100       /100      1961.96      1963         1960
JOB19444  100       /100      5342.0       5343         5341
JOB19445  100       /100      1924.08      1926         1922
JOB19446  100       /100      7858.46      7862         7853
JOB19447  0         /100      0            0            0
JOB19448  100       /100      7650.42      7653         7649
JOB19449  100       /100      3512.8       3514         3511
JOB19450  100       /100      7353.9       7354         7353
JOB19451  0         /100      0            0            0
JOB19452  100       /100      1762.72      1765         1760
JOB19453  100       /100      3725.05      3727         3724
JOB19454  100       /100      3888.71      3891         3886
JOB19455  100       /100      1890.38      1891         1889
JOB19456  100       /100      5290.9       5295         5285
JOB19457  100       /100      3020.1       3021         3019
JOB19458  100       /100      9175.24      9178         9171
JOB19459  100       /100      2308.25      2315         2301
JOB19460  100       /100      3369.8       3371         3368
JOB19461  100       /100      3508.82      3510         3508
JOB19462  0         /100      0            0            0
JOB19463  100       /100      3346.02      3348         3343
JOB19464  100       /100      8440.27      8443         8439
JOB19465  100       /100      2060.3       2062         2057
JOB19466  0         /100      0            0            0
JOB19467  0         /100      0            0            0
JOB19468  100       /100      3233.57      3236         3230
JOB19469  100       /100      1888.98      1891         1887
JOB19470  100       /100      8473.02      8474         8470
JOB19471  100       /100      3387.04      3389         3386
JOB19472  0         /100      0            0            0
JOB19473  100       /100      4254.15      4264         4246
JOB19474  100       /100      6511.56      6514         6510
JOB19475  100       /100      5937.6       5941         5935
JOB19476  100       /100      6367.65      6371         6365
JOB19477  100       /100      3453.61      3455         3453
JOB19478  0         /100      0            0            0
JOB19479  100       /100      5912.35      5913         5912
JOB19480  100       /100      2474.22      2477         2473
JOB19481  0         /100      0            0            0
JOB19482  0         /100      0            0            0
JOB19483  100       /100      3968.49      3970         3967
JOB19484  0         /100      0            0            0
JOB19485  100       /100      684.04       686          682
JOB19486  100       /100      4662.34      4664         4661
JOB19487  100       /100      8022.57      8028         8020
JOB19488  0         /100      0            0            0
JOB19489  100       /100      2420.91      2423         2419
JOB19490  100       /100      1263.88      1265         1263
JOB19491  100       /100      4816.46      4819         4815
JOB19492  0         /100      0            0            0
JOB19493  0         /100      0            0            0
JOB19494  100       /100      5334.85      5336         5333
JOB19495  100       /100      8047.44      8049         8046
JOB19496  100       /100      3635.41      3638         3632
JOB19497  0         /100      0            0            0
JOB19498  100       /100      3513.56      3515         3511
JOB19499  0         /100      0            0            0
JOB19500  0         /100      0            0            0
JOB19501  0         /100      0            0            0
JOB19502  100       /100      6647.64      6650         6646
JOB19503  100       /100      5715.88      5719         5714
JOB19504  100       /100      2972.45      2983         2964
JOB19505  100       /100      3395.51      3397         3394
JOB19506  100       /100      2188.34      2190         2187
JOB19507  100       /100      1990.18      1992         1988
JOB19508  0         /100      0            0            0
JOB19509  100       /100      3128.39      3130         3127
JOB19510  100       /100      8936.62      8939         8933
JOB19511  100       /100      4217.57      4219         4217
JOB19512  100       /100      10449.56     10451        10448
JOB19513  0         /100      0            0            0
JOB19514  100       /100      3090.69      3093         3088
JOB19515  0         /100      0            0            0
JOB19516  100       /100      6423.66      6426         6422
JOB19517  100       /100      2792.64      2794         2791
JOB19518  100       /100      3205.13      3207         3204
JOB19519  100       /100      607.47       609          606
JOB19520  0         /100      0            0            0
JOB19521  100       /100      2779.67      2782         2776
JOB19522  100       /100      2363.37      2373         2356
JOB19523  0         /100      0            0            0
JOB19524  0         /100      0            0            0
JOB19525  100       /100      2229.45      2233         2225
JOB19526  100       /100      2791.11      2797         2786
JOB19527  100       /100      5807.2       5813         5802
JOB19528  100       /100      8804.82      8810         8803
JOB19529  100       /100      2808.53      2810         2806
JOB19530  100       /100      3207.73      3209         3206
JOB19531  100       /100      1408.79      1410         1408
JOB19532  100       /100      1771.1       1773         1770
JOB19533  100       /100      3434.37      3435         3434
JOB19534  100       /100      3265.81      3274         3258
JOB19535  100       /100      4568.26      4572         4564
JOB19536  100       /100      5872.8       5874         5871
JOB19537  100       /100      6957.25      6959         6956
JOB19538  100       /100      6816.71      6820         6812
JOB19539  100       /100      3108.53      3110         3107
JOB19540  100       /100      1287.72      1292         1285
JOB19541  100       /100      3473.31      3475         3468
JOB19542  0         /100      0            0            0
JOB19543  100       /100      1997.18      2001         1995
JOB19544  100       /100      1581.09      1587         1579
JOB19545  100       /100      1795.13      1797         1794
JOB19546  100       /100      2429.19      2431         2428
JOB19547  100       /100      2120.11      2123         2115
JOB19548  0         /100      0            0            0
JOB19549  100       /100      4067.03      4070         4064
JOB19550  100       /100      1336.4       1337         1335
JOB19551  100       /100      6060.54      6064         6058
JOB19552  100       /100      2790.77      2793         2788
JOB19553  100       /100      4617.05      4623         4614
JOB19554  100       /100      3040.26      3045         3038
JOB19555  100       /100      1721.6       1727         1714
JOB19556  100       /100      3505.2       3506         3504
JOB19557  100       /100      5679.93      5684         5677
JOB19558  100       /100      4798.26      4801         4796
JOB19559  100       /100      1120.18      1123         1113
JOB19560  100       /100      1944.74      1949         1943
JOB19561  100       /100      10211.15     10213        10210
JOB19562  0         /100      0            0            0
JOB19563  100       /100      4168.79      4169         4168
JOB19564  0         /100      0            0            0
JOB19565  100       /100      1571.96      1573         1571
JOB19566  0         /100      0            0            0
JOB19567  0         /100      0            0            0
JOB19568  0         /100      0            0            0
JOB19569  200       /100      9180.09      9219         9143
JOB19570  0         /100      0            0            0
JOB19571  100       /100      2240.44      2246         2237
JOB19572  100       /100      2362.03      2363         2361
JOB19573  100       /100      5669.82      5681         5660
JOB19574  100       /100      3550.78      3552         3550
JOB19575  100       /100      6608.25      6614         6605
JOB19576  100       /100      3178.65      3182         3177
JOB19577  100       /100      2052.36      2054         2048
JOB19578  100       /100      2897.14      2899         2896
JOB19579  100       /100      3726.81      3728         3726
JOB19580  100       /100      4320.16      4334         4314
JOB19581  100       /100      2860.78      2864         2859
JOB19582  100       /100      1400.14      1403         1399
JOB19583  100       /100      5656.05      5664         5652
JOB19584  100       /100      5188.79      5190         5187
JOB19585  0         /100      0            0            0
JOB19586  100       /100      4381.69      4383         4380
JOB19587  100       /100      1964.46      1969         1961
JOB19588  100       /100      2452.81      2454         2451
JOB19589  100       /100      2657.83      2662         2655
JOB19590  100       /100      9662.96      9664         9662
JOB19591  100       /100      1647.31      1650         1643
JOB19592  100       /100      8894.9       8902         8891
JOB19593  100       /100      5533.05      5535         5532
JOB19594  100       /100      1337.86      1338         1337
JOB19595  0         /100      0            0            0
JOB19596  100       /100      1601.05      1602         1600
JOB19597  100       /100      5659.38      5662         5658
JOB19598  100       /100      3179.3       3180         3178
JOB19599  100       /100      2220.56      2224         2220
JOB19600  100       /100      1847.9       1849         1847
JOB19601  100       /100      2614.62      2618         2612
JOB19602  100       /100      4188.61      4191         4186
JOB19603  100       /100      7832.41      7836         7830
JOB19604  0         /100      0            0            0
JOB19605  100       /100      1680.02      1682         1678
JOB19606  100       /100      3693.96      3703         3686
JOB19607  100       /100      3546.62      8716         1000
JOB19608  100       /100      6204.07      6205         6203
JOB19609  100       /100      1739.28      1742         1736
JOB19610  100       /100      1925.97      1931         1918
JOB19611  100       /100      7785.16      7787         7783
JOB19612  100       /100      2604.03      2610         2598
JOB19613  100       /100      9397.15      9401         9390
JOB19614  0         /100      0            0            0
JOB19615  100       /100      3293.92      3295         3293
JOB19616  100       /100      3693.4       3707         3684
JOB19617  100       /100      2879.57      2881         2878
JOB19618  100       /100      8961.39      8963         8959
JOB19619  100       /100      2826.31      2827         2826
JOB19620  100       /100      9957.7       9962         9952
JOB19621  100       /100      3845.47      3847         3844
JOB19622  100       /100      3324.29      3326         3323
JOB19623  0         /100      0            0            0
JOB19624  100       /100      2791.06      2792         2790
JOB19625  100       /100      8302.47      8307         8298
JOB19626  0         /100      0            0            0
JOB19627  100       /100      1791.8       1793         1791
JOB19628  100       /100      4781.0       4782         4780
JOB19629  100       /100      4584.48      4586         4582
JOB19630  0         /100      0            0            0
JOB19631  100       /100      3420.26      3424         3419
JOB19632  100       /100      5069.7       5076         5066
JOB19633  100       /100      2648.21      2661         2638
JOB19634  100       /100      6729.76      6738         6725
JOB19635  100       /100      4558.37      4560         4556
JOB19636  100       /100      1602.43      1604         1601
JOB19637  100       /100      4207.93      4216         4198
JOB19638  0         /100      0            0            0
JOB19639  100       /100      5504.56      5507         5502
JOB19640  0         /100      0            0            0
JOB19641  100       /100      2381.53      2382         2381
JOB19642  100       /100      6011.23      6013         6010
JOB19643  100       /100      1967.2       1972         1962
JOB19644  100       /100      2812.18      2814         2811
JOB19645  100       /100      1799.54      1801         1798
JOB19646  0         /100      0            0            0
JOB19647  100       /100      3440.24      3442         3438
JOB19648  100       /100      6875.48      6884         6869
JOB19649  100       /100      3411.74      3415         3409
JOB19650  100       /100      5064.69      5069         5063
JOB19651  100       /100      1206.58      1223         1195
JOB19652  100       /100      3438.38      3440         3436
JOB19653  100       /100      1518.62      1526         1515
JOB19654  0         /100      0            0            0
JOB19655  100       /100      3061.56      3063         3059
JOB19656  100       /100      3211.42      3224         3202
JOB19657  100       /100      5264.84      5266         5263
JOB19658  100       /100      2484.33      2486         2481
JOB19659  100       /100      3336.92      3339         3336
JOB19660  100       /100      2067.05      2068         2065
JOB19661  0         /100      0            0            0
JOB19662  100       /100      2252.79      2254         2252
JOB19663  100       /100      8664.85      8672         8657
JOB19664  100       /100      4501.56      4506         4500
JOB19665  100       /100      2781.86      2786         2780
JOB19666  100       /100      3978.96      3979         3978
JOB19667  100       /100      6164.41      6166         6163
JOB19668  100       /100      6268.56      6269         6268
JOB19669  100       /100      6195.1       6197         6194
JOB19670  100       /100      3365.83      3367         3365
JOB19671  100       /100      5481.56      5483         5480
JOB19672  0         /100      0            0            0
JOB19673  100       /100      8847.11      8851         8844
JOB19674  100       /100      2690.89      2692         2688
JOB19675  100       /100      2881.48      2883         2880
JOB19676  100       /100      1794.17      1799         1790
JOB19677  100       /100      3285.74      3288         3284
JOB19678  100       /100      1917.69      1920         1915
JOB19679  100       /100      6344.71      6351         6340
JOB19680  100       /100      1259.35      1264         1256
JOB19681  100       /100      3189.67      3191         3188
JOB19682  100       /100      4397.61      4399         4397
JOB19683  100       /100      2774.19      2775         2774
JOB19684  100       /100      8738.05      8740         8737
JOB19685  100       /100      6990.32      6995         6983
JOB19686  100       /100      9451.36      9454         9449
JOB19687  100       /100      7131.02      7133         7130
JOB19688  100       /100      2138.98      2142         2130
JOB19689  100       /100      4518.35      4520         4517
JOB19690  100       /100      5649.88      5651         5648
JOB19691  100       /100      1355.1       1357         1354
JOB19692  100       /100      3071.2       3073         3070
JOB19693  100       /100      4004.84      4007         4003
JOB19694  100       /100      1670.0       1672         1669
JOB19695  100       /100      2156.49      2158         2155
JOB19696  100       /100      2934.42      2945         2927
JOB19697  100       /100      1926.8       1928         1926
JOB19698  100       /100      2827.43      2829         2826
JOB19699  100       /100      3006.17      3017         2999
JOB19700  100       /100      4010.05      4015         4006
JOB19701  100       /100      1914.69      1917         1913
JOB19702  100       /100      1449.64      1452         1448
JOB19703  100       /100      7109.73      7111         7108
JOB19704  100       /100      2824.68      2826         2823
JOB19705  100       /100      5536.25      5538         5535
JOB19706  100       /100      7304.47      7305         7304
JOB19707  100       /100      3418.73      3421         3417
JOB19708  0         /100      0            0            0
JOB19709  100       /100      5004.84      5007         5004
JOB19710  100       /100      1086.59      1092         1081
JOB19711  100       /100      2855.79      2856         2855
JOB19712  100       /100      1471.38      1479         1464
JOB19713  100       /100      2606.29      2611         2602
JOB19714  0         /100      0            0            0
JOB19715  100       /100      3904.49      3908         3903
JOB19716  100       /100      1747.63      1749         1747
JOB19717  100       /100      1745.39      1749         1739
JOB19718  100       /100      9341.48      9343         9340
JOB19719  100       /100      3490.26      3491         3489
JOB19720  100       /100      8960.18      8961         8959
JOB19721  100       /100      1926.48      1928         1925
JOB19722  100       /100      1573.1       1575         1570
JOB19723  100       /100      3004.87      3006         3004
JOB19724  100       /100      1939.43      1944         1935
JOB19725  100       /100      2595.6       2603         2591
JOB19726  100       /100      1610.63      1612         1609
JOB19727  100       /100      5039.63      5043         5036
JOB19728  100       /100      6105.26      6107         6104
JOB19729  100       /100      2789.08      2790         2788
JOB19730  0         /100      0            0            0
JOB19731  100       /100      3641.28      3643         3641
JOB19732  100       /100      3391.64      3397         3385
JOB19733  100       /100      1538.51      1541         1537
JOB19734  100       /100      5634.85      5637         5631
JOB19735  100       /100      6714.02      6715         6713
JOB19736  100       /100      1335.76      1340         1333
JOB19737  0         /100      0            0            0
JOB19738  100       /100      2005.85      2006         2005
JOB19739  100       /100      7853.87      7855         7852
JOB19740  100       /100      4344.17      4358         4335
JOB19741  100       /100      6889.8       6892         6885
JOB19742  100       /100      7617.84      7620         7616
JOB19743  100       /100      4128.45      4130         4127
JOB19744  100       /100      5296.82      5300         5295
JOB19745  100       /100      3378.75      3381         3376
JOB19746  100       /100      4347.16      4350         4344
JOB19747  100       /100      2368.4       2372         2365
JOB19748  100       /100      7743.47      7749         7741
JOB19749  100       /100      1326.92      1330         1325
JOB19750  100       /100      3949.6       3954         3946
JOB19751  100       /100      10201.3      10202        10199
JOB19752  100       /100      6044.64      6046         6043
JOB19753  100       /100      2581.1       2582         2580
JOB19754  0         /100      0            0            0
JOB19755  0         /100      0            0            0
JOB19756  100       /100      3333.86      3335         3333
JOB19757  100       /100      3706.56      3708         3705
JOB19758  100       /100      2482.84      2488         2476
JOB19759  100       /100      5353.0       5354         5352
JOB19760  100       /100      5628.08      5636         5625
JOB19761  100       /100      3074.31      3075         3073
JOB19762  100       /100      1822.81      1829         1817
JOB19763  100       /100      4144.55      4149         4143
JOB19764  100       /100      3617.25      3621         3613
JOB19765  0         /100      0            0            0
JOB19766  100       /100      3245.99      3261         3235
JOB19767  100       /100      5726.21      5732         5722
JOB19768  100       /100      2278.95      2281         2278
JOB19769  100       /100      2575.94      2578         2574
JOB19770  0         /100      0            0            0
JOB19771  0         /100      0            0            0
JOB19772  100       /100      6508.49      6516         6506
JOB19773  100       /100      1769.95      1777         1766
JOB19774  100       /100      2033.54      2035         2032
JOB19775  0         /100      0            0            0
JOB19776  100       /100      2185.18      2191         2181
JOB19777  100       /100      5247.8       5258         5240
JOB19778  100       /100      4995.46      4997         4994
JOB19779  0         /100      0            0            0
JOB19780  100       /100      4361.01      4362         4360
JOB19781  0         /100      0            0            0
JOB19782  100       /100      4522.38      4533         4517
JOB19783  100       /100      3335.08      3336         3334
JOB19784  0         /100      0            0            0
JOB19785  100       /100      3279.01      3281         3277
JOB19786  100       /100      5584.64      5587         5582
JOB19787  100       /100      1196.67      1201         1193
JOB19788  100       /100      6119.9       6122         6118
JOB19789  100       /100      4848.13      4854         4841
JOB19790  100       /100      2774.42      2776         2773
JOB19791  100       /100      3535.14      3536         3534
JOB19792  100       /100      9297.1       9309         9289
JOB19793  0         /100      0            0            0
JOB19794  100       /100      1703.79      1705         1702
JOB19795  100       /100      1728.22      1733         1724
JOB19796  0         /100      0            0            0
JOB19797  100       /100      2495.87      2496         2495
JOB19798  100       /100      2137.34      2144         2132
JOB19799  100       /100      6459.18      6461         6458
JOB19800  100       /100      1874.05      1878         1869
JOB19801  100       /100      3161.12      3162         3160
JOB19802  100       /100      8407.5       8413         8403
JOB19803  100       /100      1350.41      1354         1347
JOB19804  0         /100      0            0            0
JOB19805  100       /100      1453.53      1454         1453
JOB19806  0         /100      0            0            0
JOB19807  100       /100      3080.75      3083         3077
JOB19808  100       /100      4845.22      4847         4841
JOB19809  100       /100      2359.95      2361         2359
JOB19810  0         /100      0            0            0
JOB19811  100       /100      1834.78      1836         1833
JOB19812  100       /100      2698.58      2707         2694
JOB19813  100       /100      10057.44     10059        10056
JOB19814  100       /100      2422.91      2424         2421
JOB19815  100       /100      6978.47      6992         6970
JOB19816  100       /100      2115.44      2116         2115
JOB19817  0         /100      0            0            0
JOB19818  100       /100      1648.44      1650         1648
JOB19819  100       /100      4024.29      4027         4021
JOB19820  100       /100      3552.17      3555         3550
JOB19821  100       /100      8773.02      8776         8771
JOB19822  100       /100      1768.1       1773         1765
JOB19823  100       /100      3003.03      3008         3000
JOB19824  100       /100      5189.17      5191         5187
JOB19825  100       /100      2296.75      2299         2294
JOB19826  100       /100      1327.01      1331         1325
JOB19827  100       /100      4372.72      4374         4371
JOB19828  0         /100      0            0            0
JOB19829  100       /100      1954.35      1955         1954
JOB19830  100       /100      1809.45      1811         1808
JOB19831  100       /100      5751.92      5757         5744
JOB19832  100       /100      10176.2      10179        10174
JOB19833  100       /100      1780.76      1782         1780
JOB19834  100       /100      6138.76      6148         6130
