--------  --------  --------  ------------------  -----------  -----------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------
Job ID    found     total     avg latency         max latency  min latency
JOB19917  100       /100      4611.56             4613         4611
JOB19918  0         /100      0                   0            0
JOB19919  100       /100      4132.22             4138         4126
JOB19920  0         /100      0                   0            0
JOB19921  100       /100      5766.06             5768         5765
JOB19922  100       /100      2642.91             2644         2642
JOB19923  100       /100      3522.13             3523         3519
JOB19924  100       /100      2787.75             2789         2786
JOB19925  100       /100      5625.27             5627         5624
JOB19926  100       /100      1294.44             1296         1293
JOB19927  100       /100      6298.85             6301         6297
JOB19928  100       /100      7719.31             7721         7718
JOB19929  100       /100      3969.91             3973         3967
JOB19930  100       /100      3301.09             3978         1272
JOB19931  100       /100      2089.85             2095         2083
JOB19932  100       /100      6735.8              6737         6735
JOB19933  100       /100      1682.3              1686         1679
JOB19934  0         /100      0                   0            0
JOB19935  100       /100      2478.78             2479         2477
JOB19936  100       /100      2342.96             2348         2339
JOB19937  0         /100      0                   0            0
JOB19938  100       /100      3153.85             3156         3152
JOB19939  200       /100      10292.95            10321        10267
JOB19940  100       /100      1971.45             1982         1963
JOB19941  100       /100      8991.71             8995         8989
JOB19942  100       /100      4032.94             4051         4019
JOB19943  100       /100      2186.14             2192         2181
JOB19944  100       /100      6193.14             6195         6191
JOB19945  100       /100      2100.69             2105         2094
JOB19946  100       /100      3107.05             3108         3106
JOB19947  100       /100      1576.95             1586         1571
JOB19948  0         /100      0                   0            0
JOB19949  100       /100      8924.28             8927         8923
JOB19950  100       /100      4318.28             4322         4314
JOB19951  0         /100      0                   0            0
JOB19952  0         /100      0                   0            0
JOB19953  100       /100      5103.08             5108         5100
JOB19954  100       /100      4876.64             4879         4875
JOB19955  100       /100      2224.93             2228         2224
JOB19956  100       /100      6443.25             6445         6442
JOB19957  100       /100      2021.42             2027         2017
JOB19958  100       /100      6057.67             6059         6056
JOB19959  100       /100      2357.12             2359         2356
JOB19960  100       /100      5422.67             5428         5419
JOB19961  100       /100      6084.69             6086         6084
JOB19962  100       /100      1859.61             1862         1858
JOB19963  0         /100      0                   0            0
JOB19964  100       /100      3537.35             3542         3534
JOB19965  100       /100      5560.0              5564         5558
JOB19966  0         /100      0                   0            0
JOB19967  0         /100      0                   0            0
JOB19968  0         /100      0                   0            0
JOB19969  100       /100      5676.33             5680         5675
JOB19970  0         /100      0                   0            0
JOB19971  100       /100      2051.1              2054         2049
JOB19972  100       /100      3455.02             3457         3450
JOB19973  0         /100      0                   0            0
JOB19974  100       /100      1904.77             1906         1903
JOB19975  100       /100      2862.1              2865         2860
JOB19976  100       /100      6940.72             6942         6940
JOB19977  0         /100      0                   0            0
JOB19978  0         /100      0                   0            0
JOB19979  0         /100      0                   0            0
JOB19980  100       /100      2321.08             2324         2319
JOB19981  100       /100      6727.18             6731         6725
JOB19982  100       /100      8398.95             8403         8396
JOB19983  100       /100      2158.52             2160         2156
JOB19984  0         /100      0                   0            0
JOB19985  100       /100      3985.93             3987         3985
JOB19986  100       /100      2470.53             2472         2469
JOB19987  0         /100      0                   0            0
JOB19988  100       /100      2472.69             2476         2471
JOB19989  0         /100      0                   0            0
JOB19990  100       /100      2318.28             2320         2317
JOB19991  100       /100      1224.56             1226         1224
JOB19992  100       /100      5818.24             5821         5816
JOB19993  0         /100      0                   0            0
JOB19994  100       /100      2864.51             2865         2864
JOB19995  100       /100      4836.59             4841         4824
JOB19996  100       /100      3957.47             3961         3955
JOB19997  100       /100      2305.4              2306         2305
JOB19998  0         /100      0                   0            0
JOB19999  100       /100      2541.15             2543         2540
JOB20000  100       /100      1760.51             1762         1760
JOB20001  0         /100      0                   0            0
JOB20002  100       /100      1294.36             1296         1293
JOB20003  100       /100      2322.05             2324         2321
JOB20004  100       /100      3191.72             3193         3190
JOB20005  100       /100      4462.46             4467         4459
JOB20006  100       /100      6398.98             6400         6397
JOB20007  100       /100      2438.75             2451         2431
JOB20008  100       /100      7338.85             7343         7335
JOB20009  100       /100      4370.16             4379         4366
JOB20010  100       /100      8285.37             8286         8285
JOB20011  100       /100      1910.23             1911         1909
JOB20012  100       /100      4324.43             4326         4323
JOB20013  100       /100      2844.82             2847         2842
JOB20014  100       /100      1755.68             1756         1755
JOB20015  100       /100      2055.48             2058         2054
JOB20016  100       /100      1677.81             1679         1676
JOB20017  100       /100      6383.02             6385         6382
JOB20018  100       /100      2961.0              2961         2961
JOB20019  100       /100      2198.83             2204         2195
