--------  --------  --------  -----------  -----------  -----------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------
Job ID    found     total     avg latency  max latency  min latency
JOB20397  0         /100      0            0            0
JOB20398  100       /100      5174.06      5177         5170
JOB20399  100       /100      2469.12      2471         2467
JOB20400  100       /100      2503.83      2506         2502
JOB20401  0         /100      0            0            0
JOB20402  100       /100      3700.17      3704         3697
JOB20403  100       /100      3264.53      3266         3263
JOB20404  100       /100      3756.21      3757         3755
JOB20405  100       /100      6484.98      6487         6484
JOB20406  100       /100      1850.93      1858         1836
JOB20407  100       /100      1346.43      1349         1345
JOB20408  100       /100      3246.19      3248         3245
JOB20409  100       /100      2566.3       2569         2564
JOB20410  100       /100      2741.2       2749         2736
JOB20411  100       /100      10104.98     10107        10103
JOB20412  100       /100      3212.88      3215         3211
JOB20413  100       /100      1376.26      1379         1372
JOB20414  100       /100      6303.03      6304         6302
JOB20415  100       /100      2098.06      2101         2097
JOB20416  100       /100      9328.38      9337         9318
JOB20417  100       /100      6137.19      6202         3065
JOB20418  100       /100      1105.93      1113         1102
JOB20419  100       /100      2125.36      2128         2123
JOB20420  100       /100      4586.37      4588         4583
JOB20421  100       /100      2240.69      2242         2240
JOB20422  100       /100      2646.58      2659         2638
JOB20423  100       /100      3233.65      3242         3227
JOB20424  100       /100      3215.01      3216         3214
JOB20425  100       /100      8308.48      8312         8301
JOB20426  100       /100      5124.43      5126         5122
JOB20427  100       /100      4227.49      4229         4225
JOB20428  0         /100      0            0            0
JOB20429  100       /100      6492.29      6500         6486
JOB20430  100       /100      9246.36      9249         9245
JOB20431  0         /100      0            0            0
JOB20432  100       /100      3102.02      3104         3098
