--------  --------  --------  -----------  -----------  -----------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------
Job ID    found     total     avg latency  max latency  min latency
JOB21357  0         /100      0            0            0
JOB21358  0         /100      0            0            0
JOB21359  0         /100      0            0            0
JOB21360  0         /100      0            0            0
JOB21361  0         /100      0            0            0
JOB21362  0         /100      0            0            0
JOB21363  0         /100      0            0            0
JOB21364  0         /100      0            0            0
JOB21365  0         /100      0            0            0
JOB21366  0         /100      0            0            0
JOB21367  0         /100      0            0            0
JOB21368  0         /100      0            0            0
JOB21369  0         /100      0            0            0
JOB21370  0         /100      0            0            0
JOB21371  0         /100      0            0            0
JOB21372  0         /100      0            0            0
JOB21373  0         /100      0            0            0
JOB21374  0         /100      0            0            0
JOB21375  0         /100      0            0            0
JOB21376  0         /100      0            0            0
JOB21377  0         /100      0            0            0
JOB21378  0         /100      0            0            0
JOB21379  0         /100      0            0            0
JOB21380  0         /100      0            0            0
JOB21381  0         /100      0            0            0
JOB21382  0         /100      0            0            0
JOB21383  0         /100      0            0            0
JOB21384  0         /100      0            0            0
JOB21385  0         /100      0            0            0
JOB21386  0         /100      0            0            0
JOB21387  0         /100      0            0            0
JOB21388  0         /100      0            0            0
JOB21389  0         /100      0            0            0
JOB21390  0         /100      0            0            0
JOB21391  0         /100      0            0            0
JOB21392  0         /100      0            0            0
JOB21393  0         /100      0            0            0
JOB21394  0         /100      0            0            0
JOB21395  0         /100      0            0            0
JOB21396  0         /100      0            0            0
JOB21397  0         /100      0            0            0
JOB21398  0         /100      0            0            0
JOB21399  0         /100      0            0            0
JOB21400  0         /100      0            0            0
JOB21401  0         /100      0            0            0
JOB21402  0         /100      0            0            0
JOB21403  0         /100      0            0            0
JOB21404  0         /100      0            0            0
JOB21405  0         /100      0            0            0
JOB21406  0         /100      0            0            0
JOB21407  0         /100      0            0            0
JOB21408  0         /100      0            0            0
JOB21409  0         /100      0            0            0
JOB21410  0         /100      0            0            0
JOB21411  0         /100      0            0            0
JOB21412  0         /100      0            0            0
JOB21413  0         /100      0            0            0
JOB21414  0         /100      0            0            0
JOB21415  0         /100      0            0            0
JOB21416  0         /100      0            0            0
JOB21417  0         /100      0            0            0
JOB21418  0         /100      0            0            0
JOB21419  0         /100      0            0            0
JOB21420  0         /100      0            0            0
JOB21421  0         /100      0            0            0
JOB21422  0         /100      0            0            0
JOB21423  0         /100      0            0            0
JOB21424  0         /100      0            0            0
JOB21425  0         /100      0            0            0
JOB21426  0         /100      0            0            0
JOB21427  0         /100      0            0            0
JOB21428  0         /100      0            0            0
JOB21429  0         /100      0            0            0
JOB21430  0         /100      0            0            0
JOB21431  0         /100      0            0            0
JOB21432  0         /100      0            0            0
JOB21433  0         /100      0            0            0
JOB21434  0         /100      0            0            0
JOB21435  0         /100      0            0            0
JOB21436  0         /100      0            0            0
JOB21437  0         /100      0            0            0
JOB21438  0         /100      0            0            0
JOB21439  0         /100      0            0            0
JOB21440  0         /100      0            0            0
JOB21441  0         /100      0            0            0
JOB21442  0         /100      0            0            0
JOB21443  0         /100      0            0            0
JOB21444  0         /100      0            0            0
JOB21445  0         /100      0            0            0
JOB21446  0         /100      0            0            0
JOB21447  0         /100      0            0            0
JOB21448  0         /100      0            0            0
JOB21449  0         /100      0            0            0
JOB21450  0         /100      0            0            0
JOB21451  0         /100      0            0            0
JOB21452  0         /100      0            0            0
JOB21453  0         /100      0            0            0
JOB21454  0         /100      0            0            0
JOB21455  0         /100      0            0            0
JOB21456  0         /100      0            0            0
JOB21457  0         /100      0            0            0
JOB21458  0         /100      0            0            0
JOB21459  0         /100      0            0            0
JOB21460  0         /100      0            0            0
JOB21461  0         /100      0            0            0
JOB21462  0         /100      0            0            0
JOB21463  0         /100      0            0            0
JOB21464  0         /100      0            0            0
JOB21465  0         /100      0            0            0
JOB21466  0         /100      0            0            0
JOB21467  0         /100      0            0            0
JOB21468  0         /100      0            0            0
JOB21469  0         /100      0            0            0
JOB21470  0         /100      0            0            0
JOB21471  0         /100      0            0            0
JOB21472  0         /100      0            0            0
JOB21473  0         /100      0            0            0
JOB21474  0         /100      0            0            0
JOB21475  0         /100      0            0            0
JOB21476  0         /100      0            0            0
JOB21477  0         /100      0            0            0
JOB21478  0         /100      0            0            0
JOB21479  0         /100      0            0            0
JOB21480  0         /100      0            0            0
JOB21481  0         /100      0            0            0
JOB21482  0         /100      0            0            0
JOB21483  0         /100      0            0            0
JOB21484  0         /100      0            0            0
JOB21485  0         /100      0            0            0
JOB21486  0         /100      0            0            0
JOB21487  0         /100      0            0            0
JOB21488  0         /100      0            0            0
JOB21489  0         /100      0            0            0
JOB21490  0         /100      0            0            0
JOB21491  0         /100      0            0            0
JOB21492  0         /100      0            0            0
JOB21493  0         /100      0            0            0
JOB21494  0         /100      0            0            0
JOB21495  0         /100      0            0            0
JOB21496  0         /100      0            0            0
JOB21497  0         /100      0            0            0
JOB21498  0         /100      0            0            0
JOB21499  0         /100      0            0            0
JOB21500  0         /100      0            0            0
JOB21501  0         /100      0            0            0
JOB21502  0         /100      0            0            0
JOB21503  0         /100      0            0            0
JOB21504  0         /100      0            0            0
JOB21505  0         /100      0            0            0
JOB21506  0         /100      0            0            0
JOB21507  0         /100      0            0            0
JOB21508  0         /100      0            0            0
JOB21509  0         /100      0            0            0
JOB21510  0         /100      0            0            0
JOB21511  0         /100      0            0            0
JOB21512  0         /100      0            0            0
JOB21513  0         /100      0            0            0
JOB21514  0         /100      0            0            0
JOB21515  0         /100      0            0            0
JOB21516  0         /100      0            0            0
JOB21517  0         /100      0            0            0
JOB21518  0         /100      0            0            0
JOB21519  0         /100      0            0            0
JOB21520  0         /100      0            0            0
JOB21521  0         /100      0            0            0
JOB21522  0         /100      0            0            0
JOB21523  0         /100      0            0            0
JOB21524  0         /100      0            0            0
JOB21525  0         /100      0            0            0
JOB21526  0         /100      0            0            0
JOB21527  0         /100      0            0            0
JOB21528  0         /100      0            0            0
JOB21529  0         /100      0            0            0
JOB21530  0         /100      0            0            0
JOB21531  0         /100      0            0            0
JOB21532  0         /100      0            0            0
JOB21533  0         /100      0            0            0
JOB21534  0         /100      0            0            0
JOB21535  0         /100      0            0            0
JOB21536  0         /100      0            0            0
JOB21537  0         /100      0            0            0
JOB21538  0         /100      0            0            0
JOB21539  0         /100      0            0            0
JOB21540  0         /100      0            0            0
JOB21541  0         /100      0            0            0
JOB21542  0         /100      0            0            0
JOB21543  0         /100      0            0            0
JOB21544  0         /100      0            0            0
JOB21545  0         /100      0            0            0
JOB21546  0         /100      0            0            0
JOB21547  0         /100      0            0            0
JOB21548  0         /100      0            0            0
JOB21549  0         /100      0            0            0
JOB21550  0         /100      0            0            0
JOB21551  0         /100      0            0            0
JOB21552  0         /100      0            0            0
JOB21553  0         /100      0            0            0
JOB21554  0         /100      0            0            0
JOB21555  0         /100      0            0            0
JOB21556  0         /100      0            0            0
JOB21557  0         /100      0            0            0
JOB21558  0         /100      0            0            0
JOB21559  0         /100      0            0            0
JOB21560  0         /100      0            0            0
JOB21561  0         /100      0            0            0
JOB21562  0         /100      0            0            0
JOB21563  0         /100      0            0            0
JOB21564  0         /100      0            0            0
JOB21565  0         /100      0            0            0
JOB21566  0         /100      0            0            0
JOB21567  0         /100      0            0            0
JOB21568  0         /100      0            0            0
JOB21569  0         /100      0            0            0
JOB21570  0         /100      0            0            0
JOB21571  0         /100      0            0            0
JOB21572  0         /100      0            0            0
JOB21573  0         /100      0            0            0
JOB21574  0         /100      0            0            0
JOB21575  0         /100      0            0            0
JOB21576  0         /100      0            0            0
JOB21577  0         /100      0            0            0
JOB21578  0         /100      0            0            0
