--------  --------  --------  -----------  -----------  -----------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------
Job ID    found     total     avg latency  max latency  min latency
JOB14637  100       /100      1439.73      1443         1432
JOB14638  100       /100      4300.81      4302         4300
JOB14639  100       /100      2418.06      2432         2413
JOB14640  100       /100      9415.79      9417         9415
JOB14641  100       /100      5210.53      5212         5209
JOB14642  0         /100      0            0            0
JOB14643  100       /100      4091.09      4095         4089
JOB14644  100       /100      6741.65      6745         6739
JOB14645  0         /100      0            0            0
JOB14646  100       /100      2765.88      2766         2765
JOB14647  100       /100      1282.24      1289         1278
JOB14648  0         /100      0            0            0
JOB14649  0         /100      0            0            0
JOB14650  100       /100      2139.81      2142         2138
JOB14651  0         /100      0            0            0
JOB14652  100       /100      9345.15      9346         9344
JOB14653  100       /100      6255.28      6261         6250
JOB14654  100       /100      3172.73      3175         3169
JOB14655  100       /100      1840.49      1846         1836
JOB14656  100       /100      3601.34      3602         3600
JOB14657  100       /100      1111.07      1123         1102
JOB14658  100       /100      6285.43      6288         6283
JOB14659  0         /100      0            0            0
JOB14660  100       /100      1360.06      1361         1359
JOB14661  0         /100      0            0            0
JOB14662  0         /100      0            0            0
JOB14663  100       /100      589.9        591          589
JOB14664  0         /100      0            0            0
JOB14665  100       /100      4921.8       4923         4920
JOB14666  100       /100      3342.09      3344         3341
JOB14667  0         /100      0            0            0
JOB14668  0         /100      0            0            0
JOB14669  100       /100      5127.14      5129         5126
JOB14670  100       /100      9962.42      9964         9961
JOB14671  100       /100      2618.23      2624         2614
JOB14672  100       /100      3221.08      3222         3220
JOB14673  100       /100      3651.7       3653         3650
JOB14674  100       /100      2455.94      2458         2454
JOB14675  100       /100      3074.99      3076         3074
JOB14676  100       /100      4393.98      4396         4392
JOB14677  100       /100      2322.88      2324         2321
JOB14678  100       /100      2501.83      2505         2500
JOB14679  0         /100      0            0            0
JOB14680  100       /100      2952.44      2954         2951
JOB14681  100       /100      6357.83      6361         6356
JOB14682  100       /100      2978.22      2981         2977
JOB14683  0         /100      0            0            0
JOB14684  100       /100      1049.99      1052         1048
JOB14685  100       /100      2321.0       2322         2320
JOB14686  0         /100      0            0            0
JOB14687  100       /100      9252.79      9255         9252
JOB14688  100       /100      4097.77      4105         4089
JOB14689  100       /100      982.91       985          981
JOB14690  100       /100      7170.35      7177         7163
JOB14691  100       /100      5519.74      5524         5517
JOB14692  0         /100      0            0            0
JOB14693  100       /100      4729.93      4733         4727
JOB14694  100       /100      3425.68      3427         3424
JOB14695  100       /100      1561.62      1563         1561
JOB14696  0         /100      0            0            0
JOB14697  100       /100      6483.76      6485         6482
JOB14698  0         /100      0            0            0
JOB14699  100       /100      1517.96      1521         1514
JOB14700  100       /100      3479.6       3485         3473
JOB14701  100       /100      10476.83     10480        10474
JOB14702  100       /100      2963.0       2966         2959
JOB14703  100       /100      911.52       915          906
JOB14704  100       /100      1407.18      1408         1406
JOB14705  100       /100      5951.07      5953         5949
JOB14706  0         /100      0            0            0
JOB14707  100       /100      4251.52      4254         4249
JOB14708  100       /100      1183.98      1185         1183
JOB14709  0         /100      0            0            0
JOB14710  100       /100      3826.87      3830         3825
JOB14711  100       /100      3248.34      3249         3247
JOB14712  100       /100      2199.47      2203         2197
JOB14713  100       /100      6792.29      6796         6790
JOB14714  100       /100      6051.62      6053         6051
JOB14715  100       /100      5212.55      5218         5210
JOB14716  100       /100      1801.15      1803         1798
JOB14717  100       /100      4886.25      4887         4885
JOB14718  100       /100      2434.55      2436         2433
JOB14719  100       /100      5830.23      5833         5828
JOB14720  100       /100      4173.71      4185         4168
JOB14721  100       /100      9505.83      9507         9505
JOB14722  100       /100      5187.04      5188         5186
JOB14723  100       /100      6615.63      6617         6614
JOB14724  0         /100      0            0            0
JOB14725  100       /100      8274.73      8277         8271
JOB14726  0         /100      0            0            0
JOB14727  0         /100      0            0            0
JOB14728  100       /100      3721.86      3724         3720
JOB14729  100       /100      2431.17      2432         2430
JOB14730  100       /100      8648.33      8650         8647
JOB14731  0         /100      0            0            0
JOB14732  0         /100      0            0            0
JOB14733  100       /100      7024.94      7027         7023
JOB14734  100       /100      4399.37      4404         4394
JOB14735  100       /100      7830.81      7833         7829
JOB14736  100       /100      2367.81      2369         2367
JOB14737  100       /100      7599.7       7605         7597
JOB14738  0         /100      0            0            0
JOB14739  100       /100      8828.05      8830         8826
JOB14740  100       /100      2507.85      2510         2506
JOB14741  100       /100      4582.09      4583         4581
JOB14742  100       /100      5230.35      5233         5228
JOB14743  100       /100      1158.07      1160         1157
JOB14744  100       /100      4768.05      4773         4763
JOB14745  0         /100      0            0            0
JOB14746  100       /100      1212.27      1214         1211
JOB14747  100       /100      4997.47      4999         4996
JOB14748  100       /100      805.01       816          797
JOB14749  0         /100      0            0            0
JOB14750  100       /100      3332.14      3334         3330
JOB14751  100       /100      3894.53      3896         3893
JOB14752  100       /100      6740.17      6742         6739
JOB14753  100       /100      1329.73      1335         1326
JOB14754  100       /100      8014.43      8016         8013
JOB14755  0         /100      0            0            0
JOB14756  100       /100      3071.55      3076         3068
JOB14757  100       /100      1631.56      1634         1630
JOB14758  100       /100      3366.01      3367         3364
JOB14759  100       /100      3609.28      3611         3608
JOB14760  100       /100      8438.1       8449         8432
JOB14761  100       /100      3850.73      3856         3847
JOB14762  100       /100      4753.75      4758         4751
JOB14763  100       /100      3553.01      3560         3549
JOB14764  100       /100      1959.26      1960         1958
JOB14765  100       /100      7437.06      7443         7434
JOB14766  100       /100      6879.47      6881         6877
JOB14767  100       /100      2484.99      2488         2483
JOB14768  100       /100      8178.85      8180         8178
JOB14769  100       /100      761.35       762          760
JOB14770  100       /100      1725.75      1728         1724
JOB14771  100       /100      1569.79      1571         1569
JOB14772  0         /100      0            0            0
JOB14773  0         /100      0            0            0
JOB14774  100       /100      7692.68      7697         7690
JOB14775  100       /100      5644.13      5645         5643
JOB14776  0         /100      0            0            0
JOB14777  0         /100      0            0            0
JOB14778  100       /100      4742.52      4744         4741
JOB14779  100       /100      7307.21      7308         7307
JOB14780  100       /100      2671.59      2676         2669
JOB14781  100       /100      865.42       870          860
JOB14782  100       /100      1711.32      1714         1706
JOB14783  100       /100      5212.97      8461         5144
JOB14784  100       /100      2951.01      2952         2950
JOB14785  100       /100      6240.34      6241         6240
JOB14786  0         /100      0            0            0
JOB14787  0         /100      0            0            0
JOB14788  100       /100      3460.41      3464         3455
JOB14789  0         /100      0            0            0
JOB14790  100       /100      6946.22      6948         6943
JOB14791  100       /100      1224.66      1228         1222
JOB14792  0         /100      0            0            0
JOB14793  0         /100      0            0            0
JOB14794  100       /100      10678.18     10679        10676
JOB14795  100       /100      6937.73      6943         6935
JOB14796  100       /100      1781.34      1783         1780
JOB14797  100       /100      6963.24      6966         6962
JOB14798  100       /100      9103.5       9106         9102
JOB14799  100       /100      8992.05      8993         8991
JOB14800  100       /100      1525.25      1526         1524
JOB14801  100       /100      4772.92      4776         4770
JOB14802  100       /100      4745.04      4746         4744
JOB14803  100       /100      2682.57      2685         2681
JOB14804  100       /100      2227.15      2228         2226
JOB14805  100       /100      1792.1       1793         1791
JOB14806  100       /100      2405.8       2407         2404
JOB14807  100       /100      8615.43      8617         8615
JOB14808  100       /100      2703.72      2708         2700
JOB14809  100       /100      3891.82      3893         3891
JOB14810  100       /100      9619.74      9622         9617
JOB14811  100       /100      934.58       936          934
JOB14812  100       /100      7156.32      7157         7156
JOB14813  100       /100      1111.65      1113         1109
JOB14814  100       /100      7649.01      7654         7644
JOB14815  0         /100      0            0            0
JOB14816  100       /100      6517.11      6525         6511
JOB14817  100       /100      9678.49      9681         9675
JOB14818  0         /100      0            0            0
JOB14819  100       /100      3391.14      3394         3390
JOB14820  0         /100      0            0            0
JOB14821  100       /100      5496.96      5499         5495
JOB14822  100       /100      5645.69      5647         5644
JOB14823  100       /100      2133.2       2136         2131
JOB14824  100       /100      2598.52      2600         2598
JOB14825  100       /100      7980.83      7983         7979
JOB14826  100       /100      4893.7       4896         4892
JOB14827  100       /100      6787.31      6788         6786
JOB14828  100       /100      1696.47      1705         1690
JOB14829  100       /100      2153.93      2161         2148
JOB14830  100       /100      2725.73      2727         2725
JOB14831  100       /100      3785.36      3786         3785
JOB14832  100       /100      2014.32      2021         2005
JOB14833  100       /100      2343.94      2344         2343
JOB14834  0         /100      0            0            0
JOB14835  0         /100      0            0            0
JOB14836  100       /100      3946.51      3955         3938
JOB14837  100       /100      5332.78      5334         5332
JOB14838  100       /100      3100.46      3101         3100
JOB14839  100       /100      3300.56      3302         3299
JOB14840  100       /100      2119.72      2121         2119
JOB14841  100       /100      6508.92      6512         6507
JOB14842  0         /100      0            0            0
JOB14843  100       /100      8174.21      8175         8173
JOB14844  100       /100      2054.92      2058         2053
JOB14845  100       /100      6310.41      6315         6300
JOB14846  0         /100      0            0            0
JOB14847  100       /100      2179.43      2181         2178
JOB14848  0         /100      0            0            0
JOB14849  100       /100      6812.88      6818         6808
JOB14850  0         /100      0            0            0
JOB14851  100       /100      8062.33      8070         8056
JOB14852  0         /100      0            0            0
JOB14853  100       /100      9817.11      9823         9812
JOB14854  100       /100      4532.32      4534         4531
JOB14855  100       /100      3431.54      3436         3429
JOB14856  100       /100      3171.56      3174         3170
JOB14857  0         /100      0            0            0
JOB14858  0         /100      0            0            0
JOB14859  100       /100      5117.61      5119         5116
JOB14860  0         /100      0            0            0
JOB14861  100       /100      5230.18      5231         5229
JOB14862  100       /100      5724.23      5725         5723
JOB14863  100       /100      4050.19      4053         4047
JOB14864  100       /100      6913.03      6923         6906
JOB14865  100       /100      2318.18      2320         2317
JOB14866  100       /100      3384.32      3386         3383
JOB14867  0         /100      0            0            0
JOB14868  0         /100      0            0            0
JOB14869  100       /100      1071.57      1075         1069
JOB14870  100       /100      1881.07      1884         1880
JOB14871  100       /100      2109.07      2111         2108
JOB14872  0         /100      0            0            0
JOB14873  0         /100      0            0            0
JOB14874  0         /100      0            0            0
JOB14875  100       /100      3401.77      3404         3400
JOB14876  100       /100      8576.66      8584         8570
JOB14877  100       /100      8024.94      8032         8019
JOB14878  0         /100      0            0            0
JOB14879  100       /100      5374.51      5378         5367
JOB14880  100       /100      6172.24      6180         6164
JOB14881  100       /100      4900.37      4902         4899
JOB14882  100       /100      4594.11      4596         4592
JOB14883  100       /100      2629.86      2634         2627
JOB14884  100       /100      5208.26      5210         5207
JOB14885  100       /100      2255.95      2257         2255
JOB14886  100       /100      3165.92      3173         3159
JOB14887  100       /100      2488.04      2490         2486
JOB14888  100       /100      4518.25      4519         4518
JOB14889  0         /100      0            0            0
JOB14890  100       /100      6096.28      6098         6093
JOB14891  0         /100      0            0            0
JOB14892  0         /100      0            0            0
JOB14893  100       /100      2465.15      2466         2464
JOB14894  100       /100      4156.59      4158         4155
JOB14895  100       /100      8874.88      8878         8873
JOB14896  100       /100      5995.6       5997         5994
JOB14897  0         /100      0            0            0
JOB14898  100       /100      4513.53      4522         4504
JOB14899  100       /100      2131.79      2137         2126
JOB14900  100       /100      2780.42      3046         1280
JOB14901  100       /100      8965.49      8967         8964
JOB14902  100       /100      1433.16      1434         1432
JOB14903  0         /100      0            0            0
JOB14904  100       /100      4590.22      4591         4589
JOB14905  100       /100      6786.89      6788         6786
JOB14906  100       /100      5635.99      5638         5635
JOB14907  100       /100      3938.25      3947         3932
JOB14908  100       /100      8703.71      8705         8702
JOB14909  100       /100      10379.03     10386        10374
JOB14910  100       /100      2998.12      3000         2997
JOB14911  100       /100      5190.73      5194         5188
JOB14912  100       /100      1262.64      1264         1261
JOB14913  100       /100      8660.7       8666         8656
JOB14914  100       /100      2342.2       2346         2341
JOB14915  100       /100      2886.67      2891         2883
JOB14916  0         /100      0            0            0
JOB14917  100       /100      1805.54      1806         1805
JOB14918  100       /100      2044.7       2046         2044
JOB14919  100       /100      8980.74      8985         8976
JOB14920  100       /100      4559.98      4563         4558
JOB14921  100       /100      5314.36      5315         5314
JOB14922  100       /100      6337.57      6339         6336
JOB14923  100       /100      1100.8       1103         1096
JOB14924  100       /100      1422.88      1425         1421
JOB14925  100       /100      6468.32      6474         6466
JOB14926  100       /100      1271.57      1273         1270
JOB14927  100       /100      3237.91      3239         3237
JOB14928  100       /100      6952.6       6954         6951
JOB14929  0         /100      0            0            0
JOB14930  100       /100      2980.07      2982         2979
JOB14931  100       /100      5873.53      5878         5866
JOB14932  100       /100      3927.52      3934         3923
JOB14933  100       /100      2886.5       2888         2885
JOB14934  100       /100      4416.41      4418         4415
JOB14935  100       /100      6724.36      6730         6718
JOB14936  100       /100      5431.64      5434         5429
JOB14937  0         /100      0            0            0
JOB14938  0         /100      0            0            0
JOB14939  100       /100      9188.31      9204         9176
JOB14940  100       /100      1290.1       1292         1289
JOB14941  100       /100      1793.2       1803         1786
JOB14942  100       /100      1106.62      1114         1101
JOB14943  100       /100      7889.11      7906         7880
JOB14944  100       /100      2129.74      2133         2126
JOB14945  100       /100      2736.92      2738         2735
JOB14946  100       /100      4838.12      4845         4835
JOB14947  0         /100      0            0            0
JOB14948  100       /100      4865.34      4866         4864
JOB14949  100       /100      1645.87      1648         1645
JOB14950  100       /100      3063.87      3065         3063
JOB14951  100       /100      2117.14      2119         2116
JOB14952  0         /100      0            0            0
JOB14953  100       /100      2941.15      2944         2939
JOB14954  100       /100      6611.37      6612         6611
JOB14955  100       /100      4025.72      4031         4021
JOB14956  100       /100      2310.11      2322         2309
JOB14957  0         /100      0            0            0
JOB14958  100       /100      1999.93      2001         1999
JOB14959  100       /100      6712.22      6714         6710
JOB14960  100       /100      6409.34      6411         6408
JOB14961  100       /100      2465.0       2471         2462
JOB14962  0         /100      0            0            0
JOB14963  100       /100      1715.13      1717         1713
JOB14964  100       /100      7107.26      7123         7099
JOB14965  100       /100      4200.87      4203         4197
JOB14966  100       /100      3462.77      3465         3460
JOB14967  100       /100      5151.75      5153         5151
JOB14968  100       /100      7926.04      7929         7925
JOB14969  100       /100      1421.85      1423         1421
JOB14970  100       /100      2717.43      2720         2715
JOB14971  100       /100      3371.47      3373         3370
JOB14972  100       /100      4712.29      4715         4711
JOB14973  100       /100      3153.97      3155         3153
JOB14974  100       /100      9187.84      9198         9179
JOB14975  0         /100      0            0            0
JOB14976  0         /100      0            0            0
JOB14977  100       /100      3166.21      3168         3165
JOB14978  0         /100      0            0            0
JOB14979  100       /100      3224.44      3225         3224
JOB14980  100       /100      3317.51      3327         3310
JOB14981  100       /100      3564.97      3575         3557
JOB14982  0         /100      0            0            0
JOB14983  100       /100      729.72       745          719
JOB14984  100       /100      7470.22      7481         7462
JOB14985  100       /100      5402.96      5405         5400
JOB14986  0         /100      0            0            0
JOB14987  100       /100      10298.66     10302        10295
JOB14988  100       /100      4910.76      4917         4903
JOB14989  100       /100      3429.85      3438         3424
JOB14990  100       /100      7077.0       7079         7075
JOB14991  100       /100      9362.47      9363         9362
JOB14992  100       /100      4125.39      4126         4125
JOB14993  100       /100      10541.07     10542        10540
JOB14994  0         /100      0            0            0
JOB14995  0         /100      0            0            0
JOB14996  100       /100      8260.35      8262         8258
JOB14997  100       /100      2083.39      2085         2081
JOB14998  100       /100      6404.39      6406         6403
JOB14999  100       /100      3742.31      3744         3741
JOB15000  100       /100      2192.05      2194         2191
JOB15001  100       /100      7639.14      7647         7629
JOB15002  100       /100      3156.62      3165         3150
JOB15003  100       /100      9294.76      9297         9293
JOB15004  100       /100      7810.24      7812         7809
JOB15005  100       /100      8660.11      8662         8658
JOB15006  0         /100      0            0            0
JOB15007  100       /100      2726.52      2732         2721
JOB15008  100       /100      10094.01     10098        10090
JOB15009  100       /100      5978.45      5980         5977
JOB15010  100       /100      2431.25      2433         2430
JOB15011  100       /100      8760.52      8762         8759
JOB15012  0         /100      0            0            0
JOB15013  0         /100      0            0            0
JOB15014  0         /100      0            0            0
JOB15015  0         /100      0            0            0
JOB15016  100       /100      1171.11      1173         1170
JOB15017  100       /100      5227.87      5238         5219
JOB15018  0         /100      0            0            0
JOB15019  100       /100      10581.17     10584        10580
JOB15020  0         /100      0            0            0
JOB15021  100       /100      3642.28      3644         3640
JOB15022  100       /100      1929.81      1930         1929
JOB15023  0         /100      0            0            0
JOB15024  100       /100      2194.19      2195         2194
JOB15025  100       /100      3225.62      3227         3225
JOB15026  100       /100      5117.09      5118         5116
JOB15027  100       /100      2569.18      2570         2568
JOB15028  0         /100      0            0            0
JOB15029  100       /100      3594.03      3595         3593
JOB15030  100       /100      10231.25     10232        10230
JOB15031  0         /100      0            0            0
JOB15032  100       /100      5924.43      5926         5923
JOB15033  0         /100      0            0            0
JOB15034  100       /100      8700.23      8701         8700
JOB15035  100       /100      4709.81      4713         4707
JOB15036  100       /100      5352.03      5368         5343
JOB15037  100       /100      2076.19      2081         2072
JOB15038  100       /100      2628.66      2631         2626
JOB15039  100       /100      2414.74      2416         2413
JOB15040  0         /100      0            0            0
JOB15041  100       /100      7333.04      7334         7332
JOB15042  100       /100      9581.47      9584         9580
JOB15043  0         /100      0            0            0
JOB15044  100       /100      5337.85      5339         5337
JOB15045  0         /100      0            0            0
JOB15046  100       /100      1073.59      1075         1072
JOB15047  100       /100      1689.27      1691         1687
JOB15048  100       /100      8368.12      8370         8367
JOB15049  100       /100      4795.32      4920         2912
JOB15050  0         /100      0            0            0
JOB15051  0         /100      0            0            0
JOB15052  100       /100      6352.78      6354         6351
JOB15053  100       /100      1725.53      1729         1724
JOB15054  100       /100      2030.45      2033         2029
JOB15055  100       /100      10393.78     10401        10389
JOB15056  100       /100      6250.08      6254         6247
JOB15057  100       /100      5296.64      5298         5296
JOB15058  0         /100      0            0            0
JOB15059  100       /100      1246.01      1247         1245
JOB15060  0         /100      0            0            0
JOB15061  100       /100      4299.68      4303         4298
JOB15062  100       /100      2006.45      2008         2005
JOB15063  0         /100      0            0            0
JOB15064  0         /100      0            0            0
JOB15065  100       /100      1892.81      1896         1889
JOB15066  0         /100      0            0            0
JOB15067  100       /100      3131.68      3132         3131
JOB15068  100       /100      2406.01      2410         2403
JOB15069  0         /100      0            0            0
JOB15070  100       /100      4967.63      4970         4966
JOB15071  100       /100      8620.43      8621         8620
JOB15072  100       /100      4351.46      4354         4349
JOB15073  100       /100      10272.3      10274        10271
JOB15074  100       /100      1983.19      1984         1982
JOB15075  0         /100      0            0            0
JOB15076  0         /100      0            0            0
JOB15077  100       /100      2751.94      2756         2750
JOB15078  100       /100      2274.68      2276         2272
JOB15079  100       /100      4182.96      4188         4171
JOB15080  100       /100      10600.92     10602        10600
JOB15081  100       /100      10506.04     10514        10501
JOB15082  100       /100      4633.89      4635         4633
JOB15083  100       /100      9983.34      9984         9982
JOB15084  100       /100      1419.9       1423         1418
JOB15085  100       /100      8810.14      8812         8809
JOB15086  100       /100      3347.18      3348         3346
JOB15087  0         /100      0            0            0
JOB15088  100       /100      8897.37      8902         8896
JOB15089  100       /100      9849.27      9851         9848
JOB15090  100       /100      2641.53      2643         2640
JOB15091  100       /100      5264.4       5266         5263
JOB15092  100       /100      2189.17      2191         2188
JOB15093  100       /100      2439.09      2442         2434
JOB15094  100       /100      4562.44      4567         4559
JOB15095  0         /100      0            0            0
JOB15096  100       /100      3830.4       3834         3826
JOB15097  100       /100      4755.16      4757         4754
JOB15098  100       /100      1488.62      1490         1487
JOB15099  100       /100      7800.72      7802         7799
JOB15100  0         /100      0            0            0
JOB15101  100       /100      4121.0       4121         4121
JOB15102  100       /100      7165.92      7169         7163
JOB15103  100       /100      2861.28      2862         2860
JOB15104  0         /100      0            0            0
JOB15105  0         /100      0            0            0
JOB15106  100       /100      3106.61      3108         3105
JOB15107  100       /100      2982.14      2985         2980
JOB15108  100       /100      1670.67      1672         1669
JOB15109  100       /100      2615.56      2619         2614
JOB15110  100       /100      8414.0       8417         8411
JOB15111  100       /100      2151.1       2153         2149
JOB15112  100       /100      2520.03      2531         2511
JOB15113  100       /100      2896.1       2898         2894
JOB15114  100       /100      2458.96      2462         2456
JOB15115  0         /100      0            0            0
JOB15116  100       /100      982.92       984          982
