--------  --------  --------  ------------------  -----------  -----------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------
Job ID    found     total     avg latency         max latency  min latency
JOB15117  100       /100      3986.6              3988         3986
JOB15118  100       /100      7036.33             7041         7033
JOB15119  100       /100      2931.4              2937         2926
JOB15120  100       /100      1916.71             1920         1913
JOB15121  0         /100      0                   0            0
JOB15122  0         /100      0                   0            0
JOB15123  100       /100      2273.78             2285         2268
JOB15124  100       /100      1538.93             1542         1537
JOB15125  100       /100      5366.42             5369         5364
JOB15126  100       /100      2843.55             2845         2842
JOB15127  0         /100      0                   0            0
JOB15128  100       /100      8777.27             8779         8776
JOB15129  100       /100      2177.68             2185         2168
JOB15130  100       /100      5340.8              5343         5340
JOB15131  100       /100      2607.41             2610         2606
JOB15132  0         /100      0                   0            0
JOB15133  0         /100      0                   0            0
JOB15134  100       /100      7330.93             7335         7327
JOB15135  100       /100      1700.8              1702         1700
JOB15136  100       /100      2257.56             2260         2255
JOB15137  0         /100      0                   0            0
JOB15138  100       /100      2644.93             2647         2643
JOB15139  0         /100      0                   0            0
JOB15140  0         /100      0                   0            0
JOB15141  100       /100      10220.97            10224        10218
JOB15142  0         /100      0                   0            0
JOB15143  100       /100      3258.55             3265         3256
JOB15144  100       /100      1564.31             1566         1563
JOB15145  100       /100      8779.38             8781         8778
JOB15146  0         /100      0                   0            0
JOB15147  100       /100      4735.5              4737         4734
JOB15148  100       /100      2396.99             2399         2393
JOB15149  100       /100      5441.99             5444         5440
JOB15150  100       /100      6050.87             6056         6046
JOB15151  100       /100      3173.97             3176         3173
JOB15152  100       /100      8999.27             9005         8996
