--------  --------  --------  -----------  -----------  -----------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------
Job ID    found     total     avg latency  max latency  min latency
JOB15597  100       /100      4656.17      4657         4655
JOB15598  0         /100      0            0            0
JOB15599  100       /100      1720.04      1724         1718
JOB15600  100       /100      5016.97      5019         5016
JOB15601  100       /100      2431.91      2435         2430
JOB15602  100       /100      2000.93      2003         1999
JOB15603  100       /100      913.0        918          909
JOB15604  100       /100      4255.49      4258         4253
JOB15605  100       /100      1646.64      1649         1644
JOB15606  100       /100      2273.69      2275         2272
JOB15607  100       /100      6735.56      6738         6733
JOB15608  100       /100      5796.21      5808         5785
JOB15609  100       /100      4052.74      4054         4051
JOB15610  100       /100      5240.6       5242         5240
JOB15611  0         /100      0            0            0
JOB15612  100       /100      6848.78      6851         6846
JOB15613  100       /100      8734.52      8741         8732
JOB15614  100       /100      2067.44      2070         2066
JOB15615  100       /100      8938.5       8948         8928
JOB15616  100       /100      8422.72      8424         8419
JOB15617  100       /100      5421.48      5425         5419
JOB15618  100       /100      9467.25      9468         9466
JOB15619  100       /100      8027.35      8031         8023
JOB15620  0         /100      0            0            0
JOB15621  100       /100      1511.8       1514         1510
JOB15622  100       /100      1976.31      1978         1975
JOB15623  100       /100      1706.74      1716         1700
JOB15624  100       /100      3755.61      3767         3751
JOB15625  100       /100      6633.31      6636         6629
JOB15626  100       /100      3480.33      3488         3476
JOB15627  100       /100      2798.17      2799         2797
JOB15628  100       /100      1138.36      1139         1138
JOB15629  100       /100      1177.24      1183         1171
JOB15630  100       /100      2164.17      2173         2160
JOB15631  100       /100      8024.76      8025         8024
JOB15632  0         /100      0            0            0
JOB15633  100       /100      5147.36      5149         5146
JOB15634  100       /100      6990.89      6992         6989
JOB15635  100       /100      5068.26      5069         5067
JOB15636  100       /100      1348.31      1350         1346
JOB15637  100       /100      8638.09      8646         8630
JOB15638  100       /100      2435.1       2438         2431
JOB15639  0         /100      0            0            0
JOB15640  100       /100      1420.62      1423         1419
