--------  --------  --------  ------------------  -----------  -----------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------
Job ID    found     total     avg latency         max latency  min latency
JOB16077  100       /100      6241.29             6244         6239
JOB16078  100       /100      3618.68             3620         3616
JOB16079  37        /100      1706.6486486486488  1707         1706
JOB16080  100       /100      2192.69             2204         2185
JOB16081  100       /100      5812.94             5819         5810
JOB16082  100       /100      8263.98             8265         8263
JOB16083  100       /100      5179.96             5181         5179
JOB16084  0         /100      0                   0            0
JOB16085  100       /100      3127.05             3134         3122
JOB16086  100       /100      2498.82             2502         2495
JOB16087  100       /100      6608.48             6610         6608
JOB16088  100       /100      4498.28             4500         4497
JOB16089  100       /100      7012.16             7014         7006
JOB16090  100       /100      1800.84             1802         1799
JOB16091  100       /100      3135.03             3136         3132
JOB16092  100       /100      5295.01             5296         5294
JOB16093  100       /100      4209.48             4212         4204
JOB16094  100       /100      3747.12             3749         3746
JOB16095  100       /100      2730.76             2732         2730
JOB16096  100       /100      824.75              826          824
JOB16097  100       /100      3231.88             3246         3218
JOB16098  100       /100      9177.03             9182         9172
JOB16099  100       /100      1611.07             1617         1607
JOB16100  100       /100      6602.56             6606         6600
JOB16101  100       /100      3706.23             3709         3704
JOB16102  100       /100      1674.44             1676         1669
JOB16103  100       /100      1579.37             1581         1578
JOB16104  100       /100      6373.17             6374         6372
JOB16105  100       /100      2345.71             2354         2339
JOB16106  100       /100      3770.19             3771         3769
JOB16107  100       /100      7429.56             7433         7428
JOB16108  100       /100      2866.64             2871         2863
JOB16109  100       /100      5408.98             5410         5408
JOB16110  100       /100      8673.55             8675         8673
JOB16111  100       /100      7242.51             7245         7240
JOB16112  100       /100      5500.27             5501         5500
JOB16113  100       /100      9560.32             9562         9559
JOB16114  100       /100      4500.01             4509         4490
JOB16115  100       /100      2462.04             2469         2456
JOB16116  100       /100      3143.85             3145         3143
JOB16117  100       /100      5418.85             5422         5415
JOB16118  100       /100      7202.79             7204         7201
JOB16119  100       /100      2552.12             2556         2550
JOB16120  0         /100      0                   0            0
JOB16121  100       /100      1681.13             1684         1680
JOB16122  100       /100      8604.91             8614         8598
JOB16123  100       /100      6084.38             6092         6080
JOB16124  100       /100      8436.41             8438         8435
JOB16125  100       /100      4517.07             4519         4515
JOB16126  100       /100      2457.92             2461         2457
JOB16127  100       /100      2179.32             2181         2177
JOB16128  0         /100      0                   0            0
JOB16129  100       /100      6393.48             6395         6392
JOB16130  100       /100      1267.22             1271         1257
JOB16131  100       /100      6521.18             6523         6519
JOB16132  100       /100      3705.35             3707         3704
JOB16133  100       /100      2215.02             2228         2204
JOB16134  0         /100      0                   0            0
JOB16135  0         /100      0                   0            0
JOB16136  0         /100      0                   0            0
JOB16137  100       /100      1047.87             1048         1047
JOB16138  100       /100      8841.26             8847         8838
JOB16139  100       /100      3335.42             3337         3334
JOB16140  100       /100      8360.54             8372         8354
