--------  --------  --------  -----------  -----------  -----------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------
Job ID    found     total     avg latency  max latency  min latency
JOB16557  100       /100      4154.46      4156         4153
JOB16558  100       /100      9482.65      9484         9482
JOB16559  100       /100      3160.06      3161         3159
JOB16560  100       /100      4405.06      4411         4402
JOB16561  100       /100      3213.59      3215         3211
JOB16562  100       /100      2026.37      2029         2025
JOB16563  100       /100      3273.89      3276         3273
JOB16564  100       /100      4384.43      4390         4381
JOB16565  100       /100      1503.98      1507         1502
JOB16566  100       /100      4447.72      4450         4444
JOB16567  100       /100      8205.68      8206         8205
JOB16568  100       /100      2935.68      2936         2935
JOB16569  100       /100      3748.3       3751         3747
JOB16570  100       /100      9377.98      9379         9377
JOB16571  100       /100      8196.66      8197         8196
JOB16572  100       /100      4038.58      4041         4037
JOB16573  100       /100      3945.08      3954         3939
JOB16574  100       /100      9728.4       9731         9725
JOB16575  100       /100      2413.14      2416         2411
JOB16576  0         /100      0            0            0
JOB16577  100       /100      2973.69      2982         2971
JOB16578  100       /100      7785.53      7787         7784
JOB16579  0         /100      0            0            0
JOB16580  0         /100      0            0            0
JOB16581  0         /100      0            0            0
JOB16582  100       /100      8592.25      8594         8590
JOB16583  100       /100      3603.69      3609         3600
JOB16584  100       /100      2315.83      2319         2313
JOB16585  100       /100      7613.11      7617         7607
JOB16586  100       /100      2326.16      2331         2322
JOB16587  100       /100      2292.75      2294         2292
JOB16588  100       /100      6844.63      6848         6838
JOB16589  100       /100      4054.76      4056         4053
JOB16590  100       /100      8059.68      8061         8058
JOB16591  100       /100      2766.75      2768         2765
JOB16592  100       /100      3255.66      3264         3250
JOB16593  100       /100      3586.57      3587         3586
JOB16594  100       /100      9832.83      9834         9832
JOB16595  100       /100      7511.65      7513         7511
JOB16596  100       /100      5440.39      5442         5438
JOB16597  100       /100      5034.11      5038         5030
JOB16598  100       /100      5234.43      5236         5233
JOB16599  100       /100      10181.48     10182        10181
JOB16600  100       /100      9721.83      9727         9719
JOB16601  100       /100      4449.0       4451         4448
JOB16602  100       /100      9205.37      9210         9201
JOB16603  100       /100      3965.34      3971         3962
JOB16604  100       /100      1944.69      1955         1937
JOB16605  100       /100      6696.3       6697         6696
JOB16606  100       /100      4851.07      4852         4850
JOB16607  100       /100      3953.99      3965         3944
JOB16608  100       /100      2854.64      2861         2851
JOB16609  100       /100      3245.93      3478         3196
JOB16610  100       /100      5944.45      5948         5941
JOB16611  100       /100      1672.2       1675         1669
JOB16612  100       /100      1457.82      1462         1451
JOB16613  100       /100      4338.97      4340         4338
JOB16614  100       /100      1655.91      1657         1655
JOB16615  0         /100      0            0            0
JOB16616  100       /100      5368.38      5369         5367
JOB16617  100       /100      1949.01      1951         1947
JOB16618  0         /100      0            0            0
JOB16619  100       /100      5758.11      5765         5751
JOB16620  100       /100      3721.12      3731         3712
JOB16621  0         /100      0            0            0
JOB16622  100       /100      4981.41      4983         4980
JOB16623  0         /100      0            0            0
JOB16624  100       /100      7796.34      7798         7794
JOB16625  100       /100      2444.22      2446         2443
JOB16626  100       /100      7123.2       7124         7122
JOB16627  100       /100      8964.95      8967         8964
JOB16628  100       /100      3978.42      3981         3976
JOB16629  100       /100      3471.93      3473         3471
JOB16630  100       /100      2877.22      2878         2876
JOB16631  100       /100      2777.57      2781         2776
JOB16632  100       /100      7377.77      7381         7375
JOB16633  100       /100      7355.2       7356         7354
JOB16634  100       /100      2692.94      2697         2691
JOB16635  100       /100      7331.75      7333         7331
JOB16636  100       /100      7383.68      7385         7382
JOB16637  100       /100      1939.36      1943         1936
JOB16638  100       /100      2484.97      2497         2474
JOB16639  100       /100      2151.2       2164         2143
JOB16640  100       /100      2057.96      2062         2057
JOB16641  100       /100      3244.51      3246         3243
JOB16642  100       /100      5400.79      5403         5398
JOB16643  100       /100      2877.02      2880         2875
JOB16644  100       /100      4656.02      4657         4652
JOB16645  0         /100      0            0            0
JOB16646  100       /100      2894.18      2895         2893
JOB16647  100       /100      1752.34      1754         1750
JOB16648  100       /100      1822.08      1823         1821
JOB16649  0         /100      0            0            0
JOB16650  100       /100      4759.12      4760         4758
JOB16651  100       /100      9255.5       9258         9249
JOB16652  100       /100      9024.49      9030         9021
JOB16653  100       /100      2664.36      2666         2663
JOB16654  0         /100      0            0            0
JOB16655  100       /100      5791.72      5793         5791
JOB16656  100       /100      6105.6       6114         6097
JOB16657  100       /100      3642.28      3644         3638
JOB16658  100       /100      2292.61      2295         2290
JOB16659  100       /100      3028.3       3036         3017
JOB16660  100       /100      1760.64      1764         1758
JOB16661  100       /100      9923.17      9925         9921
JOB16662  100       /100      5626.71      5629         5626
JOB16663  100       /100      5575.09      5577         5574
JOB16664  100       /100      6242.37      6247         6240
JOB16665  100       /100      6020.39      6023         6018
JOB16666  0         /100      0            0            0
JOB16667  100       /100      2603.49      2604         2603
JOB16668  100       /100      2835.54      2837         2834
JOB16669  0         /100      0            0            0
JOB16670  100       /100      5351.88      5357         5345
JOB16671  100       /100      3303.15      3310         3297
JOB16672  100       /100      3350.37      3354         3348
JOB16673  100       /100      2946.02      2947         2945
JOB16674  100       /100      5927.59      5930         5926
JOB16675  100       /100      5939.32      5940         5939
JOB16676  100       /100      4991.79      4993         4991
JOB16677  100       /100      3789.85      3792         3786
JOB16678  100       /100      1955.67      1963         1948
