--------  --------  --------  ------------------  -----------  -----------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------
Job ID    found     total     avg latency         max latency  min latency
JOB17997  100       /100      2772.27             2779         2767
JOB17998  100       /100      4316.68             4321         4314
JOB17999  100       /100      4751.31             4754         4750
JOB18000  0         /100      0                   0            0
JOB18001  100       /100      4958.93             4961         4957
JOB18002  100       /100      4370.06             4373         4366
JOB18003  100       /100      930.71              932          930
JOB18004  100       /100      4107.76             4115         4102
JOB18005  100       /100      4990.41             4992         4988
JOB18006  100       /100      3352.45             3354         3350
JOB18007  100       /100      883.18              885          882
JOB18008  0         /100      0                   0            0
JOB18009  100       /100      2519.37             2521         2518
JOB18010  100       /100      2188.52             2190         2188
JOB18011  100       /100      3253.75             3260         3247
JOB18012  100       /100      8405.95             8409         8401
JOB18013  100       /100      3199.45             3202         3196
JOB18014  0         /100      0                   0            0
JOB18015  100       /100      3063.05             3065         3061
JOB18016  100       /100      6977.0              6985         6969
JOB18017  100       /100      6453.0              6453         6453
JOB18018  100       /100      3991.82             4003         3984
JOB18019  100       /100      9684.07             9686         9682
JOB18020  100       /100      1583.26             1592         1577
JOB18021  100       /100      4551.23             4563         4545
JOB18022  0         /100      0                   0            0
JOB18023  0         /100      0                   0            0
JOB18024  100       /100      2224.46             2226         2223
JOB18025  0         /100      0                   0            0
JOB18026  100       /100      1533.64             1537         1531
JOB18027  0         /100      0                   0            0
JOB18028  100       /100      4719.76             4721         4719
JOB18029  100       /100      4880.22             4882         4879
JOB18030  100       /100      7027.63             7030         7026
JOB18031  100       /100      9676.16             9679         9675
JOB18032  100       /100      1457.56             1460         1456
JOB18033  100       /100      3931.85             3935         3928
JOB18034  100       /100      2644.48             2646         2643
JOB18035  100       /100      1635.33             1636         1634
JOB18036  0         /100      0                   0            0
JOB18037  100       /100      3483.65             3485         3483
JOB18038  100       /100      7384.99             7386         7384
JOB18039  100       /100      10111.79            10114        10110
JOB18040  100       /100      1347.92             1350         1347
JOB18041  100       /100      1965.16             1967         1964
JOB18042  0         /100      0                   0            0
