-----------------  ----------  ---------  -------  -----------  -----------
Success Rate       total jobs  caputured  missing  latency<10s  latency>10s
99.58333333333333  480         478        2        383          95
99.375             480         477        3        374          103
99.375             480         477        3        400          77
98.95833333333334  480         475        5        408          67
98.75              480         474        6        424          50
99.79166666666667  480         479        1        421          58
99.16666666666667  480         476        4        407          69
99.79166666666667  480         479        1        400          79
99.79166666666667  480         479        1        392          87
99.58333333333333  480         478        2        393          85
100.0              480         480        0        407          73
100.0              480         480        0        399          81
100.0              480         480        0        405          75
72.70833333333333  480         349        131      349          0
0.0                480         0          480      0            0
0.0                480         0          480      0            0
0.0                480         0          480      0            0
0.0                480         0          480      0            0
0.0                480         0          480      0            0
0.0                480         0          480      0            0
0.0                480         0          480      0            0
0.0                480         0          480      0            0
0.0                480         0          480      0            0
0.0                480         0          480      0            0
0.0                480         0          480      0            0
0.0                480         0          480      0            0
-----------------  ----------  ---------  -------  -----------  -----------
