--------  -----  -----  -----------  -----------  -----------
Job ID    found  total  avg latency  max latency  min latency
JOB26796  100    /100   11706.99     11708        11705
JOB26804  100    /100   10595.54     10598        10594
JOB26807  100    /100   64995.1      64996        64994
JOB26811  100    /100   11511.1      11516        11509
JOB26818  100    /100   29826.43     29828        29825
JOB26819  100    /100   17750.32     17754        17747
JOB26826  100    /100   11938.85     11941        11936
JOB26828  100    /100   18309.13     18319        18308
JOB26830  100    /100   17288.69     17291        17287
JOB26831  100    /100   73764.57     73767        73763
JOB26834  100    /100   14202.53     14203        14202
JOB26835  100    /100   12546.57     12547        12546
JOB26837  100    /100   18483.06     18485        18481
JOB26838  100    /100   18264.56     18267        18262
JOB26856  100    /100   16664.94     16668        16662
JOB26858  100    /100   12494.99     12500        12491
JOB26868  100    /100   17207.05     17208        17206
JOB26875  100    /100   15636.25     15637        15636
JOB26880  100    /100   13624.96     13626        13624
JOB26884  100    /100   10476.43     10487        10468
JOB26888  100    /100   17138.34     17139        17137
JOB26900  100    /100   29613.94     29616        29613
JOB26909  100    /100   30369.62     30371        30368
JOB26915  100    /100   11892.82     11897        11889
JOB26920  100    /100   11829.43     11833        11825
JOB26931  100    /100   11427.68     11429        11427
JOB26952  100    /100   22167.26     22171        22164
JOB26954  100    /100   13436.32     13437        13435
JOB26957  200    /100   13751.41     14538        12965
JOB26962  100    /100   64894.75     64899        64892
JOB26973  100    /100   42870.76     42872        42870
JOB26982  100    /100   20321.14     20324        20319
JOB26992  100    /100   14366.3      14369        14364
JOB26997  100    /100   65738.47     65741        65737
JOB26998  100    /100   12997.03     13000        12995
JOB27003  100    /100   24045.31     24052        24038
JOB27007  100    /100   21695.5      21698        21693
JOB27031  100    /100   21270.57     21271        21270
JOB27032  100    /100   61730.11     61732        61729
JOB27040  100    /100   84543.92     84546        84540
JOB27046  100    /100   25002.71     25005        25002
JOB27047  100    /100   15495.47     15499        15492
JOB27048  100    /100   64440.62     64443        64439
JOB27055  100    /100   12827.6      12830        12826
JOB27060  100    /100   62702.16     62705        62700
JOB27068  100    /100   15089.52     15092        15087
JOB27070  100    /100   16310.95     16313        16309
JOB27071  100    /100   67666.71     67669        67661
JOB27079  100    /100   91184.31     91190        91179
JOB27088  100    /100   29976.64     29979        29975
JOB27089  100    /100   12537.58     12540        12536
JOB27101  100    /100   19471.94     19474        19469
JOB27102  100    /100   12882.47     12886        12874
JOB27104  100    /100   23002.87     23012        22996
JOB27106  100    /100   20593.05     20595        20592
JOB27123  100    /100   21361.8      21363        21360
JOB27130  100    /100   21782.77     21787        21778
JOB27143  100    /100   11303.0      11305        11302
JOB27164  100    /100   15850.71     15852        15849
JOB27166  200    /100   22628.44     22632        22625
JOB27183  100    /100   62570.71     62572        62569
JOB27189  100    /100   15244.6      15246        15243
JOB27212  100    /100   62837.21     62840        62836
JOB27220  100    /100   18326.16     18331        18324
JOB27230  100    /100   11802.93     11811        11793
JOB27245  100    /100   108156.92    108159       108154
JOB27247  100    /100   13805.07     13807        13804
JOB27252  100    /100   17719.81     17723        17718
JOB27256  100    /100   16514.73     16517        16513
JOB27261  100    /100   12821.39     12823        12819
JOB27263  100    /100   11088.42     11096        11084
JOB27274  100    /100   27289.55     27291        27288
missing
--------  -----  -----  -----------  -----------  -----------
