--------  --------  --------  ------------------  -----------  -----------
Job ID    found     total     avg latency         max latency  min latency
JOB27276  100       /100      62804.07            62806        62802
JOB27279  100       /100      13029.44            13031        13028
JOB27284  100       /100      62625.36            62628        62623
JOB27285  300       /100      17462.53            17474        17453
JOB27303  100       /100      20328.77            20329        20328
JOB27310  100       /100      62590.37            62594        62586
JOB27313  100       /100      20108.21            20113        20103
JOB27319  100       /100      13575.79            13576        13575
JOB27325  100       /100      10729.67            10731        10726
JOB27341  100       /100      18457.15            18458        18456
JOB27346  100       /100      67326.09            67329        67323
JOB27347  100       /100      21872.78            21884        21867
JOB27370  100       /100      62292.55            62302        62281
JOB27372  100       /100      11610.48            11612        11609
JOB27393  100       /100      13057.41            13058        13057
JOB27406  100       /100      38156.08            38160        38152
JOB27413  100       /100      13661.78            13663        13661
JOB27416  100       /100      12500.47            12507        12497
JOB27420  100       /100      18861.57            18865        18857
JOB27424  100       /100      13297.06            13299        13295
JOB27432  100       /100      64211.41            64216        64210
JOB27436  200       /100      13631.14            13663        13598
JOB27439  300       /100      12144.253333333334  12195        12067
JOB27441  100       /100      62393.22            62397        62388
JOB27460  100       /100      12917.03            12919        12914
JOB27461  100       /100      21699.54            21705        21696
JOB27463  100       /100      84923.5             84937        84914
JOB27469  100       /100      123204.59           123210       123202
JOB27470  100       /100      63750.32            63753        63746
JOB27476  100       /100      84629.76            84632        84627
JOB27486  100       /100      29036.34            29041        29034
JOB27489  100       /100      24349.3             24351        24348
JOB27501  100       /100      14158.7             14160        14157
JOB27517  100       /100      31488.46            31489        31488
JOB27545  100       /100      15851.67            15859        15846
JOB27553  100       /100      18486.68            18490        18484
JOB27554  100       /100      19860.17            19862        19858
JOB27563  100       /100      31994.53            31997        31993
JOB27568  100       /100      14165.85            14168        14164
JOB27571  100       /100      14759.0             14759        14759
JOB27579  100       /100      11693.09            11696        11690
JOB27580  100       /100      14738.96            14743        14736
JOB27581  100       /100      27458.14            27460        27457
JOB27582  100       /100      61831.21            61833        61830
JOB27588  100       /100      11467.52            11468        11467
JOB27605  100       /100      13635.21            13638        13634
JOB27606  100       /100      17197.28            17199        17195
JOB27617  100       /100      64810.2             64812        64809
JOB27621  100       /100      15373.82            15378        15372
JOB27623  100       /100      16917.1             16921        16911
JOB27628  100       /100      63130.92            63135        63129
JOB27636  100       /100      11485.58            11488        11482
JOB27644  100       /100      13507.48            13509        13506
JOB27650  100       /100      16754.3             16755        16754
JOB27655  100       /100      13274.1             13279        13268
JOB27678  100       /100      11297.42            11298        11297
JOB27695  100       /100      17368.33            17370        17367
JOB27698  100       /100      11605.47            11614        11602
JOB27701  100       /100      17773.43            17775        17773
JOB27704  100       /100      23148.42            23159        23141
JOB27742  100       /100      18003.68            18005        18002
JOB27747  100       /100      28799.21            28802        28798
JOB27749  100       /100      13009.32            13010        13008
missing   JOB27285  JOB27439
--------  --------  --------  ------------------  -----------  -----------
