--------  --------  -----  ------------------  -----------  -----------
Job ID    found     total  avg latency         max latency  min latency
JOB27756  100       /100   11470.24            11473        11467
JOB27769  100       /100   64016.88            64018        64016
JOB27776  300       /100   12154.726666666667  12204        12126
JOB27796  100       /100   14571.19            14573        14569
JOB27798  100       /100   61945.47            61955        61937
JOB27799  100       /100   11019.47            11020        11019
JOB27815  100       /100   10626.38            10628        10625
JOB27818  100       /100   16735.11            16736        16734
JOB27850  100       /100   15202.81            15204        15201
JOB27851  100       /100   11148.67            11150        11147
JOB27867  100       /100   62304.77            62306        62303
JOB27882  100       /100   18576.36            18579        18574
JOB27885  100       /100   19477.25            19483        19475
JOB27888  100       /100   10792.57            10795        10791
JOB27890  100       /100   16890.34            16893        16887
JOB27891  100       /100   16959.62            16964        16949
JOB27892  100       /100   61012.8             61014        61011
JOB27893  100       /100   14473.01            14478        14471
JOB27899  100       /100   17797.36            17798        17797
JOB27901  100       /100   13757.44            13760        13754
JOB27903  100       /100   19531.75            19533        19531
JOB27912  100       /100   63988.68            63990        63987
JOB27925  100       /100   15110.8             15118        15105
JOB27931  100       /100   12561.76            12565        12559
JOB27951  100       /100   24882.85            24885        24882
JOB27983  100       /100   67822.86            67825        67822
JOB27988  100       /100   16152.84            16154        16151
JOB28001  100       /100   34399.66            34402        34396
JOB28014  100       /100   36447.74            36453        36443
JOB28019  100       /100   18907.13            18909        18906
JOB28020  100       /100   11097.67            11099        11096
JOB28028  100       /100   64632.37            64633        64632
JOB28032  100       /100   74202.8             74204        74202
JOB28034  100       /100   18426.1             18428        18424
JOB28041  100       /100   63477.1             63486        63470
JOB28043  100       /100   11515.46            11516        11515
JOB28059  100       /100   10926.81            10928        10926
JOB28063  100       /100   62547.2             62550        62543
JOB28072  100       /100   81615.52            81618        81614
JOB28078  100       /100   10664.64            10670        10660
JOB28086  100       /100   11741.07            11743        11737
JOB28087  100       /100   14478.94            14489        14473
JOB28112  100       /100   21759.99            21761        21759
JOB28132  100       /100   17193.04            17195        17189
JOB28136  100       /100   16209.48            16211        16208
JOB28142  100       /100   15073.34            15076        15069
JOB28147  100       /100   10841.16            10843        10840
JOB28153  100       /100   63821.84            63826        63820
JOB28172  100       /100   24298.37            24305        24291
JOB28181  100       /100   12513.34            12515        12512
JOB28189  100       /100   15322.96            15329        15317
JOB28195  100       /100   19277.31            19283        19273
JOB28200  100       /100   28758.9             28762        28756
JOB28207  100       /100   11218.44            11230        11210
JOB28211  100       /100   70830.5             70840        70823
JOB28219  100       /100   61596.68            61602        61593
JOB28233  100       /100   46238.1             46241        46235
missing   JOB27776
--------  --------  -----  ------------------  -----------  -----------
