--------  --------  --------  -----------  -----------  -----------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------
Job ID    found     total     avg latency  max latency  min latency
JOB28236  100       /100      1172.16      1174         1170
JOB28237  100       /100      8923.5       8925         8923
JOB28238  100       /100      4637.19      4639         4636
JOB28239  0         /100      0            0            0
JOB28240  100       /100      3665.94      3671         3665
JOB28241  100       /100      8158.12      8161         8154
JOB28242  100       /100      4007.97      4009         4007
JOB28243  100       /100      4877.3       4891         4866
JOB28244  0         /100      0            0            0
JOB28245  100       /100      6976.22      6980         6973
JOB28246  100       /100      1931.76      1933         1931
JOB28247  100       /100      6098.02      6100         6097
JOB28248  100       /100      2542.18      2546         2539
JOB28249  100       /100      4050.55      4054         4049
JOB28250  100       /100      866.52       867          866
JOB28251  100       /100      5090.17      5092         5088
JOB28252  100       /100      1563.92      1572         1560
JOB28253  100       /100      3792.6       3794         3791
JOB28254  100       /100      7350.22      7353         7349
JOB28255  100       /100      2976.18      2982         2972
JOB28256  100       /100      2974.63      2976         2974
JOB28257  0         /100      0            0            0
JOB28258  100       /100      5076.68      5078         5074
JOB28259  100       /100      2983.21      2993         2971
JOB28260  100       /100      8574.3       8576         8573
JOB28261  0         /100      0            0            0
JOB28262  0         /100      0            0            0
JOB28263  100       /100      3564.89      3567         3564
JOB28264  100       /100      6484.96      6486         6484
JOB28265  100       /100      2731.3       2734         2728
JOB28266  100       /100      2262.77      2265         2261
JOB28267  100       /100      2005.44      2006         2005
JOB28268  100       /100      6998.55      7002         6996
JOB28269  100       /100      4319.86      4320         4319
JOB28270  100       /100      9888.46      9889         9888
JOB28271  100       /100      2847.53      2860         2839
JOB28272  100       /100      2994.39      2996         2992
JOB28273  100       /100      4067.56      4075         4061
JOB28274  100       /100      6359.29      6368         6354
JOB28275  100       /100      3239.12      3250         3232
JOB28276  0         /100      0            0            0
JOB28277  100       /100      3603.38      3604         3603
JOB28278  100       /100      3545.62      3549         3543
JOB28279  100       /100      5862.38      5864         5861
JOB28280  100       /100      2172.8       2174         2170
JOB28281  0         /100      0            0            0
JOB28282  100       /100      8821.98      8824         8820
JOB28283  100       /100      6340.17      6341         6339
JOB28284  100       /100      4795.46      4797         4795
JOB28285  0         /100      0            0            0
JOB28286  100       /100      1656.2       1657         1655
JOB28287  100       /100      9113.57      9117         9112
JOB28288  100       /100      2486.24      2490         2484
JOB28289  100       /100      6675.79      6679         6673
JOB28290  0         /100      0            0            0
JOB28291  100       /100      3288.96      3291         3288
JOB28292  0         /100      0            0            0
JOB28293  100       /100      5276.29      5278         5275
JOB28294  100       /100      1748.61      1750         1748
JOB28295  100       /100      1289.49      1291         1288
JOB28296  100       /100      2060.37      2062         2059
JOB28297  100       /100      1782.27      1788         1777
JOB28298  100       /100      1712.76      1718         1711
JOB28299  100       /100      1662.21      1664         1661
JOB28300  100       /100      1830.65      1836         1826
JOB28301  100       /100      3217.19      3220         3215
JOB28302  100       /100      2766.12      2774         2761
JOB28303  100       /100      3269.14      3279         3264
JOB28304  100       /100      1823.34      1826         1821
JOB28305  100       /100      3014.79      3022         3009
JOB28306  100       /100      1243.19      1245         1242
JOB28307  100       /100      2607.24      2611         2602
JOB28308  0         /100      0            0            0
JOB28309  0         /100      0            0            0
JOB28310  100       /100      4571.65      4579         4565
JOB28311  100       /100      3731.95      3733         3731
JOB28312  100       /100      6017.78      6019         6016
JOB28313  100       /100      3548.19      3553         3546
JOB28314  0         /100      0            0            0
JOB28315  0         /100      0            0            0
JOB28316  100       /100      1809.43      1814         1802
