--------  --------  --------  -----------  -----------  -----------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------
Job ID    found     total     avg latency  max latency  min latency
JOB26796  0         /100      0            0            0
JOB26797  100       /100      2423.14      2426         2421
JOB26798  100       /100      6428.13      6429         6427
JOB26799  100       /100      5154.42      5156         5153
JOB26800  100       /100      2302.74      2307         2301
JOB26801  100       /100      3333.09      3334         3332
JOB26802  100       /100      3578.32      3585         3576
JOB26803  100       /100      4304.33      4306         4303
JOB26804  0         /100      0            0            0
JOB26805  100       /100      8464.1       8470         8459
JOB26806  100       /100      2680.2       2681         2679
JOB26807  0         /100      0            0            0
JOB26808  100       /100      2588.15      2589         2587
JOB26809  100       /100      8904.45      8906         8903
JOB26810  100       /100      4546.9       4549         4543
JOB26811  0         /100      0            0            0
JOB26812  100       /100      4402.4       4403         4402
JOB26813  100       /100      4462.94      4465         4462
JOB26814  100       /100      1149.29      1153         1148
JOB26815  100       /100      2372.81      2375         2370
JOB26816  100       /100      1047.86      1049         1047
JOB26817  100       /100      4114.74      4118         4108
JOB26818  0         /100      0            0            0
JOB26819  0         /100      0            0            0
JOB26820  100       /100      2377.29      2378         2376
JOB26821  100       /100      5578.3       5581         5576
JOB26822  100       /100      4705.88      4707         4704
JOB26823  100       /100      7172.36      7175         7171
JOB26824  100       /100      2886.66      2888         2885
JOB26825  100       /100      2527.7       2534         2522
JOB26826  0         /100      0            0            0
JOB26827  100       /100      6479.0       6480         6478
JOB26828  0         /100      0            0            0
JOB26829  100       /100      5358.08      5359         5357
JOB26830  0         /100      0            0            0
JOB26831  0         /100      0            0            0
JOB26832  100       /100      1663.5       5509         1584
JOB26833  100       /100      3071.6       3073         3070
JOB26834  0         /100      0            0            0
JOB26835  0         /100      0            0            0
JOB26836  100       /100      5593.91      5595         5593
JOB26837  0         /100      0            0            0
JOB26838  0         /100      0            0            0
JOB26839  100       /100      5985.79      5987         5985
JOB26840  100       /100      4672.59      4674         4671
JOB26841  100       /100      10058.33     10060        10057
JOB26842  100       /100      2475.05      2476         2474
JOB26843  100       /100      7511.02      7513         7510
