--------  --------  --------  -----------------  -----------  -----------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------
Job ID    found     total     avg latency        max latency  min latency
JOB27276  0         /100      0                  0            0
JOB27277  100       /100      6635.62            6638         6633
JOB27278  100       /100      4108.9             4111         4107
JOB27279  0         /100      0                  0            0
JOB27280  100       /100      5959.91            5962         5958
JOB27281  100       /100      4367.79            4369         4367
JOB27282  100       /100      1867.17            1869         1865
JOB27283  100       /100      1492.61            1494         1491
JOB27284  0         /100      0                  0            0
JOB27285  0         /100      0                  0            0
JOB27286  100       /100      1993.82            1996         1992
JOB27287  100       /100      3254.41            3258         3253
JOB27288  100       /100      4053.67            4057         4049
JOB27289  100       /100      2599.83            2608         2593
JOB27290  100       /100      2847.47            2849         2844
JOB27291  100       /100      2670.66            2674         2667
JOB27292  100       /100      2802.45            2804         2801
JOB27293  100       /100      1710.56            1712         1709
JOB27294  55        /100      4390.181818181818  4391         4390
JOB27295  100       /100      3275.38            3278         3273
JOB27296  100       /100      6444.08            6447         6441
JOB27297  100       /100      4615.41            4617         4614
JOB27298  100       /100      6954.26            6961         6946
JOB27299  100       /100      1757.82            1759         1757
JOB27300  100       /100      4704.07            4713         4693
JOB27301  100       /100      3256.45            3269         3248
JOB27302  100       /100      4595.62            4597         4593
JOB27303  0         /100      0                  0            0
JOB27304  100       /100      1905.4             1907         1904
JOB27305  100       /100      1783.93            1787         1781
JOB27306  100       /100      2172.88            2182         2167
JOB27307  100       /100      6645.58            6647         6644
JOB27308  100       /100      3107.51            3111         3103
JOB27309  100       /100      4150.01            4155         4139
JOB27310  0         /100      0                  0            0
JOB27311  100       /100      6879.29            6882         6878
JOB27312  100       /100      1596.03            1604         1592
JOB27313  0         /100      0                  0            0
JOB27314  100       /100      983.5              984          983
JOB27315  100       /100      2006.64            2008         2006
JOB27316  100       /100      6271.95            6273         6271
JOB27317  100       /100      1484.12            1486         1481
JOB27318  100       /100      2997.13            3003         2990
JOB27319  0         /100      0                  0            0
JOB27320  100       /100      7245.88            7247         7245
JOB27321  100       /100      6148.3             6149         6147
JOB27322  100       /100      5402.29            5404         5401
JOB27323  100       /100      5053.95            5061         5047
JOB27324  100       /100      3265.41            3269         3261
JOB27325  0         /100      0                  0            0
JOB27326  100       /100      4648.31            4651         4646
JOB27327  100       /100      6842.18            6844         6841
JOB27328  100       /100      2617.85            2620         2617
JOB27329  100       /100      2227.18            2229         2225
JOB27330  100       /100      3888.63            3896         3881
JOB27331  100       /100      2455.12            2457         2453
JOB27332  100       /100      2300.32            2303         2295
JOB27333  100       /100      1600.3             1616         1592
JOB27334  100       /100      2649.24            2650         2648
JOB27335  100       /100      1402.55            1404         1400
JOB27336  100       /100      3911.84            3917         3910
JOB27337  100       /100      2798.73            2800         2798
JOB27338  100       /100      5758.79            5760         5757
JOB27339  100       /100      1613.33            1615         1611
JOB27340  100       /100      3999.0             4001         3998
JOB27341  0         /100      0                  0            0
JOB27342  100       /100      3974.68            3978         3971
JOB27343  100       /100      2317.58            2320         2316
JOB27344  100       /100      7970.47            7971         7970
JOB27345  100       /100      5308.74            5310         5307
JOB27346  0         /100      0                  0            0
JOB27347  0         /100      0                  0            0
JOB27348  100       /100      3072.6             3074         3071
JOB27349  100       /100      2451.24            2453         2450
JOB27350  100       /100      6377.51            6379         6376
JOB27351  100       /100      2683.99            2684         2683
JOB27352  100       /100      5974.11            5982         5968
JOB27353  100       /100      4981.19            4984         4980
JOB27354  100       /100      1434.02            1437         1433
JOB27355  100       /100      6776.56            6778         6775
JOB27356  100       /100      1847.14            1849         1846
JOB27357  100       /100      1170.83            1172         1169
JOB27358  100       /100      2318.18            2320         2317
JOB27359  100       /100      4347.37            4354         4341
JOB27360  100       /100      2157.38            2163         2153
JOB27361  100       /100      1478.67            1480         1478
JOB27362  100       /100      2184.53            2188         2183
JOB27363  100       /100      3433.32            3435         3431
JOB27364  100       /100      1427.56            1444         1424
JOB27365  100       /100      3579.55            3583         3578
JOB27366  100       /100      2473.97            2475         2473
JOB27367  100       /100      3227.95            3231         3226
JOB27368  100       /100      9406.72            9408         9405
JOB27369  100       /100      3123.31            3128         3120
JOB27370  0         /100      0                  0            0
JOB27371  100       /100      2964.01            2969         2960
JOB27372  0         /100      0                  0            0
JOB27373  100       /100      1793.93            1797         1791
JOB27374  100       /100      3803.26            3805         3801
JOB27375  100       /100      3523.65            3529         3520
JOB27376  100       /100      1726.59            1728         1725
JOB27377  100       /100      5195.66            5198         5193
JOB27378  100       /100      8219.41            8224         8216
JOB27379  100       /100      2614.3             2616         2613
JOB27380  100       /100      9021.76            9024         9019
JOB27381  100       /100      6527.08            6529         6525
JOB27382  100       /100      2759.8             2764         2754
JOB27383  100       /100      8316.31            8318         8314
JOB27384  100       /100      8617.93            8619         8617
JOB27385  100       /100      3142.53            3145         3141
JOB27386  100       /100      6995.0             6997         6993
JOB27387  100       /100      7619.51            7621         7617
JOB27388  100       /100      5873.55            5875         5872
JOB27389  100       /100      2007.64            2010         2006
JOB27390  100       /100      7308.58            7314         7306
JOB27391  100       /100      2636.8             2641         2632
JOB27392  100       /100      2396.45            2397         2395
JOB27393  0         /100      0                  0            0
JOB27394  100       /100      1419.13            1425         1417
JOB27395  100       /100      1588.37            1589         1587
JOB27396  100       /100      6208.76            6211         6207
JOB27397  100       /100      3409.85            3412         3407
JOB27398  100       /100      3261.51            3267         3257
