--------  --------  --------  -----------  -----------  -----------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------
Job ID    found     total     avg latency  max latency  min latency
JOB27756  0         /100      0            0            0
JOB27757  100       /100      3661.98      3667         3660
JOB27758  100       /100      3097.33      3099         3096
JOB27759  100       /100      7253.3       7259         7248
JOB27760  100       /100      2805.42      2806         2805
JOB27761  100       /100      4860.85      4865         4851
JOB27762  100       /100      8565.1       8567         8562
JOB27763  100       /100      7885.36      7886         7884
JOB27764  100       /100      2481.18      2483         2480
JOB27765  100       /100      2482.69      2485         2481
JOB27766  100       /100      6861.03      6862         6860
JOB27767  100       /100      3342.35      3344         3341
JOB27768  100       /100      4027.16      4028         4026
JOB27769  0         /100      0            0            0
JOB27770  100       /100      4228.0       4230         4227
JOB27771  100       /100      2534.17      2542         2532
JOB27772  100       /100      5417.82      5420         5415
JOB27773  100       /100      2869.84      2872         2869
JOB27774  100       /100      3189.44      3192         3187
JOB27775  100       /100      3341.94      3349         3339
JOB27776  0         /100      0            0            0
JOB27777  100       /100      5459.13      5461         5458
JOB27778  100       /100      3434.79      3436         3433
JOB27779  100       /100      4715.26      4717         4714
JOB27780  100       /100      4649.47      4651         4648
JOB27781  100       /100      2993.11      2994         2992
JOB27782  100       /100      5915.43      5917         5914
JOB27783  100       /100      581.95       583          581
JOB27784  100       /100      2236.29      2237         2235
JOB27785  100       /100      3982.34      3984         3981
JOB27786  100       /100      3674.39      3677         3672
JOB27787  100       /100      2209.83      2212         2208
JOB27788  100       /100      4340.0       4341         4339
JOB27789  100       /100      3943.75      3946         3941
JOB27790  100       /100      3095.08      3096         3095
JOB27791  100       /100      6461.36      6464         6459
JOB27792  100       /100      1267.83      1273         1265
JOB27793  100       /100      989.22       991          985
JOB27794  100       /100      6401.03      6402         6399
JOB27795  100       /100      4459.01      4461         4458
JOB27796  0         /100      0            0            0
JOB27797  100       /100      2593.62      2949         1589
JOB27798  0         /100      0            0            0
JOB27799  0         /100      0            0            0
JOB27800  100       /100      6754.2       6756         6752
JOB27801  100       /100      7037.0       7040         7036
JOB27802  100       /100      2478.73      2481         2477
JOB27803  100       /100      1897.58      1898         1897
JOB27804  100       /100      4422.11      4424         4421
JOB27805  100       /100      3757.06      3759         3756
JOB27806  100       /100      7322.25      7326         7321
JOB27807  100       /100      7183.13      7189         7179
JOB27808  100       /100      5019.37      5021         5018
JOB27809  100       /100      8489.74      8495         8485
JOB27810  100       /100      1792.08      1797         1789
JOB27811  100       /100      5602.35      5604         5601
JOB27812  100       /100      1581.31      1583         1580
JOB27813  100       /100      6709.93      6711         6709
JOB27814  100       /100      2167.93      2170         2166
JOB27815  0         /100      0            0            0
JOB27816  100       /100      6000.47      6006         5991
JOB27817  100       /100      2074.97      2079         2071
JOB27818  0         /100      0            0            0
JOB27819  100       /100      2597.58      2598         2597
JOB27820  100       /100      1277.62      1279         1276
JOB27821  100       /100      1246.99      1250         1245
JOB27822  100       /100      8597.17      8601         8596
JOB27823  100       /100      3024.94      3029         3023
