--------  --------------------------  --------  -----  -----------  -----------  -----------
Job ID    Time Stamp in UTC           found     total  avg latency  max latency  min latency
JOB45835  2021-05-14 07:33:46.299000  100       /100   4113.23      4114         4112
JOB45836  2021-05-14 07:33:47.320000  100       /100   2200.62      2203         2199
JOB45837  2021-05-14 07:33:48.344000  100       /100   6388.71      6394         6387
JOB45838  2021-05-14 07:33:49.384000  100       /100   2332.67      2343         2325
JOB45839  2021-05-14 07:33:50.424000  100       /100   1293.42      1307         1285
JOB45840  2021-05-14 07:33:51.445000  100       /100   2959.22      2961         2958
JOB45841  2021-05-14 07:33:52.466000  100       /100   1938.49      1940         1937
JOB45842  2021-05-14 07:33:53.494000  100       /100   2368.29      2376         2365
JOB45843  2021-05-14 07:33:54.514000  100       /100   1346.44      1348         1345
JOB45844  2021-05-14 07:33:55.539000  100       /100   4034.25      4039         4031
JOB45845  2021-05-14 07:33:56.570000  100       /100   2625.73      2632         2619
JOB45846  2021-05-14 07:33:57.599000  100       /100   1594.39      1601         1590
JOB45847  2021-05-14 07:33:58.620000  100       /100   7494.69      7496         7493
JOB45848  2021-05-14 07:33:59.655000  100       /100   2688.48      2694         2678
JOB45849  2021-05-14 07:34:00.686000  100       /100   1653.31      1660         1647
JOB45850  2021-05-14 07:34:01.706000  100       /100   8146.13      8148         8145
JOB45851  2021-05-14 07:34:02.727000  100       /100   2701.54      2703         2700
JOB45852  2021-05-14 07:34:03.751000  100       /100   3820.75      3824         3818
JOB45853  2021-05-14 07:34:04.772000  100       /100   2798.13      2800         2797
JOB45854  2021-05-14 07:34:05.791000  100       /100   1829.39      1830         1829
JOB45855  2021-05-14 07:34:06.812000  100       /100   6631.56      6633         6631
JOB45856  2021-05-14 07:34:07.834000  100       /100   2763.99      2766         2762
JOB45857  2021-05-14 07:34:08.853000  100       /100   1661.46      1662         1661
JOB45858  2021-05-14 07:34:09.879000  100       /100   2101.67      2106         2098
JOB45859  2021-05-14 07:34:10.904000  100       /100   2964.42      2965         2964
JOB45860  2021-05-14 07:34:11.942000  100       /100   1934.18      1946         1926
