--------  --------------------------  --------  -----  ------------------  -----------  -----------
Job ID    Time Stamp in UTC           found     total  avg latency         max latency  min latency
JOB49435  2021-05-14 14:49:26.221000  100       /100   3369.45             3371         3366
JOB49436  2021-05-14 14:49:27.250000  100       /100   10674.02            10681        10669
JOB49437  2021-05-14 14:49:28.285000  100       /100   4201.59             4212         4194
JOB49438  2021-05-14 14:49:29.314000  100       /100   6245.65             6251         6240
JOB49439  2021-05-14 14:49:30.348000  100       /100   5206.89             5211         5206
JOB49440  2021-05-14 14:49:31.368000  100       /100   20885.28            20886        20884
JOB49441  2021-05-14 14:49:32.389000  100       /100   1937.14             1939         1936
JOB49442  2021-05-14 14:49:33.411000  100       /100   11932.38            11934        11930
JOB49443  2021-05-14 14:49:34.440000  100       /100   10903.65            10912        10901
JOB49444  2021-05-14 14:49:35.470000  100       /100   3288.49             3290         3287
JOB49445  2021-05-14 14:49:36.494000  100       /100   3649.4              3653         3647
JOB49446  2021-05-14 14:49:37.517000  100       /100   2625.76             2629         2624
JOB49447  2021-05-14 14:49:38.541000  100       /100   3288.56             3291         3287
JOB49448  2021-05-14 14:49:39.566000  100       /100   2884.42             2888         2881
JOB49449  2021-05-14 14:49:40.603000  100       /100   1184.14             1194         1175
JOB49450  2021-05-14 14:49:41.630000  100       /100   5160.68             5165         5158
JOB49451  2021-05-14 14:49:42.651000  100       /100   2828.29             2830         2827
JOB49452  2021-05-14 14:49:43.673000  100       /100   3241.79             3243         3240
JOB49453  2021-05-14 14:49:44.693000  100       /100   2220.97             2222         2220
JOB49454  2021-05-14 14:49:45.719000  100       /100   1579.33             1582         1575
JOB49455  2021-05-14 14:49:46.740000  100       /100   8767.07             8769         8766
JOB49456  2021-05-14 14:49:47.770000  100       /100   1900.21             1901         1899
JOB49457  2021-05-14 14:49:48.789000  100       /100   880.81              882          880
JOB49458  2021-05-14 14:49:49.826000  100       /100   6788.95             6801         6782
JOB49459  2021-05-14 14:49:50.854000  100       /100   2715.95             2721         2711
JOB49460  2021-05-14 14:49:51.875000  100       /100   10072.48            10074        10072
JOB49461  2021-05-14 14:49:52.910000  100       /100   3358.78             3360         3358
JOB49462  2021-05-14 14:49:53.941000  100       /100   2902.34             2910         2897
JOB49463  2021-05-14 14:49:54.966000  100       /100   1875.44             1879         1872
JOB49464  2021-05-14 14:49:55.988000  100       /100   1223.57             1225         1222
JOB49465  2021-05-14 14:49:57.019000  100       /100   7897.8              7908         7896
JOB49466  2021-05-14 14:49:58.041000  100       /100   2635.87             2638         2634
JOB49467  2021-05-14 14:49:59.065000  100       /100   2996.43             2999         2993
JOB49468  2021-05-14 14:50:00.087000  100       /100   1972.99             1975         1971
JOB49469  2021-05-14 14:50:01.113000  100       /100   3437.73             3441         3434
JOB49470  2021-05-14 14:50:02.143000  100       /100   15924.14            15932        15920
JOB49471  2021-05-14 14:50:03.164000  100       /100   3048.59             3050         3047
JOB49472  2021-05-14 14:50:04.184000  100       /100   6388.63             6390         6388
JOB49473  2021-05-14 14:50:05.205000  100       /100   12858.77            12860        12858
JOB49474  2021-05-14 14:50:06.227000  100       /100   11837.21            11840        11836
JOB49475  2021-05-14 14:50:07.266000  100       /100   7533.0              7548         7528
JOB49476  2021-05-14 14:50:08.288000  100       /100   6507.64             6509         6506
JOB49477  2021-05-14 14:50:09.311000  100       /100   1872.71             1875         1870
JOB49478  2021-05-14 14:50:10.331000  100       /100   2959.12             2961         2958
JOB49479  2021-05-14 14:50:11.353000  100       /100   2852.56             2855         2851
JOB49480  2021-05-14 14:50:12.389000  100       /100   13401.39            13402        13400
JOB49481  2021-05-14 14:50:13.410000  100       /100   5519.42             5521         5518
JOB49482  2021-05-14 14:50:14.432000  100       /100   3263.74             3265         3262
JOB49483  2021-05-14 14:50:15.453000  100       /100   13425.52            13427        13424
JOB49484  2021-05-14 14:50:16.477000  100       /100   12403.17            12406        12400
JOB49485  2021-05-14 14:50:17.498000  100       /100   2630.36             2633         2629
JOB49486  2021-05-14 14:50:18.521000  100       /100   1608.09             1611         1606
JOB49487  2021-05-14 14:50:19.543000  100       /100   9174.91             9176         9173
JOB49488  2021-05-14 14:50:20.570000  100       /100   8150.12             8154         8146
JOB49489  2021-05-14 14:50:21.592000  100       /100   2426.06             2427         2425
JOB49490  2021-05-14 14:50:22.615000  100       /100   7201.43             7203         7199
JOB49491  2021-05-14 14:50:23.653000  100       /100   3645.16             3656         3638
JOB49492  2021-05-14 14:50:24.685000  100       /100   2610.6              2618         2606
JOB49493  2021-05-14 14:50:25.705000  100       /100   1228.97             1230         1228
JOB49494  2021-05-14 14:50:26.735000  100       /100   3786.24             3791         3781
JOB49495  2021-05-14 14:50:27.770000  100       /100   2754.21             2762         2746
