--------  --------------------------  -----  -----  ------------------  -----------  -----------
Job ID    Time Stamp in UTC           found  total  avg latency         max latency  min latency
JOB41035  2021-05-13 21:47:46.151000  100    /100   3360.13             3362         3359
JOB41036  2021-05-13 21:47:47.193000  100    /100   2772.1              2784         2762
JOB41037  2021-05-13 21:47:48.213000  100    /100   9982.34             9983         9982
JOB41038  2021-05-13 21:47:49.239000  100    /100   7787.42             7792         7785
JOB41039  2021-05-13 21:47:50.266000  100    /100   6760.53             6765         6758
JOB41040  2021-05-13 21:47:51.289000  100    /100   1997.28             1999         1995
JOB41041  2021-05-13 21:47:52.315000  100    /100   4566.43             4570         4563
JOB41042  2021-05-13 21:47:53.338000  100    /100   8323.46             8325         8322
JOB41043  2021-05-13 21:47:54.359000  100    /100   2390.25             2391         2389
JOB41044  2021-05-13 21:47:55.398000  100    /100   1351.52             1353         1350
JOB41045  2021-05-13 21:47:56.421000  100    /100   2139.77             2143         2139
JOB41046  2021-05-13 21:47:57.446000  100    /100   4550.78             4553         4548
JOB41047  2021-05-13 21:47:58.468000  100    /100   7380.57             7381         7379
JOB41048  2021-05-13 21:47:59.498000  100    /100   4774.43             4780         4770
JOB41049  2021-05-13 21:48:00.520000  100    /100   3748.75             3750         3748
JOB41050  2021-05-13 21:48:01.539000  100    /100   1620.01             1621         1620
JOB41051  2021-05-13 21:48:02.574000  100    /100   3646.9              3658         3642
JOB41052  2021-05-13 21:48:03.597000  100    /100   2765.24             2767         2764
JOB41053  2021-05-13 21:48:04.626000  100    /100   1738.08             1741         1735
JOB41054  2021-05-13 21:48:05.650000  100    /100   5842.42             5845         5840
JOB41055  2021-05-13 21:48:06.670000  100    /100   2836.63             2837         2836
JOB41056  2021-05-13 21:48:07.691000  100    /100   6972.51             6974         6972
JOB41057  2021-05-13 21:48:08.728000  100    /100   5624.32             5633         5616
JOB41058  2021-05-13 21:48:09.771000  100    /100   7807.54             7821         7798
JOB41059  2021-05-13 21:48:10.802000  100    /100   1479.74             1487         1475
JOB41060  2021-05-13 21:48:11.824000  100    /100   9943.69             9945         9942
JOB41061  2021-05-13 21:48:12.850000  100    /100   4315.42             4319         4312
JOB41062  2021-05-13 21:48:13.875000  100    /100   5994.56             5997         5992
JOB41063  2021-05-13 21:48:14.907000  100    /100   1867.95             1875         1865
JOB41064  2021-05-13 21:48:15.938000  100    /100   62144.06            62150        62138
JOB41065  2021-05-13 21:48:16.961000  100    /100   2060.47             2062         2059
JOB41066  2021-05-13 21:48:18.010000  100    /100   16052.41            16069        16041
JOB41067  2021-05-13 21:48:19.048000  100    /100   1785.67             1798         1781
JOB41068  2021-05-13 21:48:20.072000  100    /100   1941.28             1943         1940
JOB41069  2021-05-13 21:48:21.105000  100    /100   3229.79             3237         3224
JOB41070  2021-05-13 21:48:22.129000  100    /100   1998.88             2000         1997
JOB41071  2021-05-13 21:48:23.152000  100    /100   975.93              978          974
JOB41072  2021-05-13 21:48:24.177000  100    /100   10053.1             10057        10052
JOB41073  2021-05-13 21:48:25.199000  100    /100   8748.71             8750         8748
JOB41074  2021-05-13 21:48:26.225000  100    /100   7726.08             7728         7722
JOB41075  2021-05-13 21:48:27.279000  100    /100   9886.93             9898         9876
JOB41076  2021-05-13 21:48:28.316000  100    /100   6145.27             6154         6139
JOB41077  2021-05-13 21:48:29.337000  100    /100   2721.55             2722         2721
JOB41078  2021-05-13 21:48:30.360000  100    /100   1699.18             1700         1698
JOB41079  2021-05-13 21:48:31.385000  100    /100   2355.03             2358         2352
JOB41080  2021-05-13 21:48:32.411000  100    /100   2845.83             2848         2843
JOB41081  2021-05-13 21:48:33.441000  100    /100   8666.83             8670         8661
JOB41082  2021-05-13 21:48:34.471000  100    /100   7632.65             7639         7631
