--------------------------  ------------  ----------  ---------  -------  -----------  -----------
Last job Time Stamp in UTC  Success Rate  total jobs  caputured  
2021-05-13 18:37:24.767000  100.0         400         400        
2021-05-13 19:27:37.064000  99.75         400         399        
2021-05-13 20:16:46.926000  99.75         400         399        
2021-05-13 21:05:37.193000  100.0         400         400         
2021-05-13 21:54:36.982000  99.75         400         399          
2021-05-13 22:43:37.023000  100.0         400         400         
2021-05-13 23:32:27.191000  100.0         400         400         
2021-05-14 00:21:26.883000  100.0         400         400         
2021-05-14 01:10:57.556000  100.0         400         400         
2021-05-14 02:00:16.398000  100.0         400         400         
2021-05-14 02:49:16.501000  100.0         400         400         
2021-05-14 03:38:26.506000  99.75         400         400          
2021-05-14 04:26:46.313000  100.0         400         400         
2021-05-14 05:15:16.772000  100.0         400         400         
2021-05-14 06:03:36.297000  100.0         400         400         
2021-05-14 06:52:06.433000  100.0         400         400         
2021-05-14 07:40:36.491000  100.0         400         400          
2021-05-14 08:29:37.655000  100.0         400         400         
2021-05-14 09:18:32.012000  100.0         400         400         
2021-05-14 10:06:46.312000  100.0         400         400         
2021-05-14 10:55:16.226000  100.0         400         400         
2021-05-14 11:43:36.385000  100.0         400         400         
2021-05-14 12:31:56.194000  100.0         400         400         
2021-05-14 13:19:56.409000  100.0         400         400         
2021-05-14 14:08:05.975000  100.0         400         400         
2021-05-14 14:56:16.400000  100.0         400         400         
--------------------------  ------------  ----------  ---------  -------  -----------  -----------
