--------  --------------------------  -----  -----  -----------  -----------  -----------
Job ID    Time Stamp in UTC           found  total  avg latency  max latency  min latency
JOB65112  2021-05-17 20:38:40.099000  100    /100   2275.53      2277         2274
JOB65113  2021-05-17 20:38:41.123000  100    /100   2264.56      2269         2263
JOB65114  2021-05-17 20:38:42.147000  100    /100   2179.75      2181         2178
JOB65115  2021-05-17 20:38:43.171000  100    /100   12461.84     12466        12459
JOB65116  2021-05-17 20:38:44.208000  100    /100   11429.3      11440        11422
JOB65117  2021-05-17 20:38:45.245000  100    /100   2592.59      2604         2585
JOB65118  2021-05-17 20:38:46.282000  100    /100   1550.66      1552         1548
JOB65119  2021-05-17 20:38:47.309000  100    /100   1833.35      1836         1830
JOB65120  2021-05-17 20:38:48.329000  100    /100   4198.68      4200         4198
JOB65121  2021-05-17 20:38:49.352000  100    /100   3699.84      3701         3698
JOB65122  2021-05-17 20:38:50.374000  100    /100   2678.04      2680         2676
JOB65123  2021-05-17 20:38:51.393000  100    /100   4875.38      4876         4875
JOB65124  2021-05-17 20:38:52.422000  100    /100   3432.53      3438         3428
JOB65125  2021-05-17 20:38:53.451000  100    /100   2404.77      2411         2399
JOB65126  2021-05-17 20:38:54.472000  100    /100   7654.72      7656         7653
JOB65127  2021-05-17 20:38:55.494000  100    /100   6633.46      6636         6631
JOB65128  2021-05-17 20:38:56.515000  100    /100   2729.87      2731         2729
JOB65129  2021-05-17 20:38:57.537000  100    /100   2102.42      2104         2100
JOB65130  2021-05-17 20:38:58.563000  100    /100   2756.66      2758         2752
JOB65131  2021-05-17 20:38:59.583000  100    /100   1732.99      1734         1732
JOB65132  2021-05-17 20:39:00.604000  100    /100   3083.96      3085         3083
JOB65133  2021-05-17 20:39:01.632000  100    /100   2057.5       2061         2055
JOB65134  2021-05-17 20:39:02.652000  100    /100   1927.13      1928         1926
JOB65135  2021-05-17 20:39:03.672000  100    /100   2054.73      2056         2054
JOB65136  2021-05-17 20:39:04.694000  100    /100   5163.69      5165         5162
JOB65137  2021-05-17 20:39:05.716000  100    /100   7255.36      7256         7252
JOB65138  2021-05-17 20:39:06.752000  100    /100   6224.12      6234         6216
JOB65139  2021-05-17 20:39:07.774000  100    /100   1477.4       1478         1476
JOB65140  2021-05-17 20:39:08.801000  100    /100   11711.97     11717        11708
JOB65141  2021-05-17 20:39:09.837000  100    /100   7439.08      7447         7431
JOB65142  2021-05-17 20:39:10.865000  100    /100   6405.68      6413         6403
JOB65143  2021-05-17 20:39:11.887000  100    /100   1747.58      1749         1746
JOB65144  2021-05-17 20:39:12.917000  100    /100   8154.74      8156         8152
JOB65145  2021-05-17 20:39:13.939000  100    /100   7879.16      7881         7877
JOB65146  2021-05-17 20:39:14.964000  100    /100   65773.73     65776        65771
JOB65147  2021-05-17 20:39:15.983000  100    /100   64752.21     64753        64752
JOB65148  2021-05-17 20:39:17.005000  100    /100   3404.34      3406         3402
JOB65149  2021-05-17 20:39:18.033000  100    /100   2377.56      2383         2374
JOB65150  2021-05-17 20:39:19.056000  100    /100   2866.45      2867         2866
JOB65151  2021-05-17 20:39:20.078000  100    /100   1845.07      1846         1844
JOB65152  2021-05-17 20:39:21.104000  100    /100   7050.35      7055         7047
JOB65153  2021-05-17 20:39:22.128000  100    /100   4535.39      4537         4533
JOB65154  2021-05-17 20:39:23.151000  100    /100   3074.42      3076         3073
JOB65155  2021-05-17 20:39:24.186000  100    /100   2814.62      2824         2807
JOB65156  2021-05-17 20:39:25.211000  100    /100   2957.64      2963         2956
JOB65157  2021-05-17 20:39:26.233000  100    /100   1934.95      1936         1934
JOB65158  2021-05-17 20:39:27.253000  100    /100   2152.9       2154         2152
