--------  --------------------------  --------  --------  -----------  -----------  -----------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------
Job ID    Time Stamp in UTC           found     total     avg latency  max latency  min latency
JOB85912  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85913  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85914  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85915  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85916  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85917  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85918  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85919  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85920  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85921  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85922  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85923  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85924  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85925  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85926  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85927  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85928  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85929  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85930  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85931  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85932  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85933  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85934  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85935  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85936  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85937  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85938  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85939  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85940  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85941  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85942  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85943  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85944  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85945  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85946  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85947  2021-05-18 02:20:07.833000  0         /100      0            0            0
JOB85948  2021-05-18 02:20:07.833000  0         /100      0            0            0
