---------  --------------------------  -----  -----  ------------------  -----------  -----------
Job ID     Time Stamp in UTC           found  total  avg latency         max latency  min latency
JOB107805  2021-05-19 12:57:57.530000  100    /100   17356.98            17359        17356
JOB107806  2021-05-19 12:57:58.551000  100    /100   16336.29            16338        16335
JOB107807  2021-05-19 12:57:59.571000  100    /100   1251.27             1253         1250
JOB107808  2021-05-19 12:58:00.594000  100    /100   4155.75             4158         4153
JOB107809  2021-05-19 12:58:01.612000  100    /100   13569.02            13570        13569
JOB107810  2021-05-19 12:58:02.632000  100    /100   1602.35             1604         1601
JOB107811  2021-05-19 12:58:03.652000  100    /100   21173.5             21174        21173
JOB107812  2021-05-19 12:58:04.673000  100    /100   2405.19             2408         2404
JOB107813  2021-05-19 12:58:05.704000  100    /100   8806.33             8814         8803
JOB107814  2021-05-19 12:58:06.725000  100    /100   7783.26             7785         7782
JOB107815  2021-05-19 12:58:07.756000  100    /100   2798.2              2805         2792
JOB107816  2021-05-19 12:58:08.777000  100    /100   1772.35             1774         1771
JOB107817  2021-05-19 12:58:09.798000  100    /100   9369.75             9371         9368
JOB107818  2021-05-19 12:58:10.818000  100    /100   8349.78             8351         8348
JOB107819  2021-05-19 12:58:11.839000  100    /100   11025.27            11028        11023
JOB107820  2021-05-19 12:58:12.860000  100    /100   2311.63             2314         2310
JOB107821  2021-05-19 12:58:13.882000  100    /100   2316.28             2319         2314
JOB107822  2021-05-19 12:58:14.914000  100    /100   2272.66             2279         2264
JOB107823  2021-05-19 12:58:15.953000  100    /100   1611.62             1625         1604
JOB107824  2021-05-19 12:58:16.981000  100    /100   3239.56             3246         3236
JOB107825  2021-05-19 12:58:18.002000  100    /100   2896.37             2898         2895
JOB107826  2021-05-19 12:58:19.027000  100    /100   3092.69             3098         3090
JOB107827  2021-05-19 12:58:20.047000  100    /100   2070.66             2072         2070
JOB107828  2021-05-19 12:58:21.074000  100    /100   4972.86             4978         4971
JOB107829  2021-05-19 12:58:22.096000  100    /100   2616.54             2618         2615
JOB107830  2021-05-19 12:58:23.144000  100    /100   4642.68             4652         4635
JOB107831  2021-05-19 12:58:24.165000  100    /100   4125.68             4127         4125
JOB107832  2021-05-19 12:58:25.193000  100    /100   18201.54            18206        18197
JOB107833  2021-05-19 12:58:26.221000  100    /100   17174.39            17179        17169
JOB107834  2021-05-19 12:58:27.244000  100    /100   2470.24             2473         2468
JOB107835  2021-05-19 12:58:28.265000  100    /100   1448.25             1450         1447
JOB107836  2021-05-19 12:58:29.289000  100    /100   5644.28             5647         5642
JOB107837  2021-05-19 12:58:30.313000  100    /100   4621.06             4624         4618
JOB107838  2021-05-19 12:58:31.333000  100    /100   6722.0              6723         6721
JOB107839  2021-05-19 12:58:32.354000  100    /100   2719.67             2721         2718
JOB107840  2021-05-19 12:58:33.375000  100    /100   1698.6              1700         1697
JOB107841  2021-05-19 12:58:34.410000  100    /100   1900.29             1909         1892
JOB107842  2021-05-19 12:58:35.447000  100    /100   2881.44             2892         2874
JOB107843  2021-05-19 12:58:36.483000  100    /100   1843.34             1854         1838
JOB107844  2021-05-19 12:58:37.514000  100    /100   2163.95             2170         2157
JOB107845  2021-05-19 12:58:38.534000  100    /100   1308.61             1310         1308
JOB107846  2021-05-19 12:58:39.556000  100    /100   64811.77            64814        64810
JOB107847  2021-05-19 12:58:40.582000  100    /100   63786.14            63791        63784
JOB107848  2021-05-19 12:58:41.609000  100    /100   62758.65            62761        62757
JOB107849  2021-05-19 12:58:42.634000  100    /100   11612.56            11615        11608
JOB107850  2021-05-19 12:58:43.655000  100    /100   10588.98            10590        10587
JOB107851  2021-05-19 12:58:44.680000  100    /100   1406.32             1410         1404
JOB107852  2021-05-19 12:58:45.713000  100    /100   17482.41            17489        17474
JOB107853  2021-05-19 12:58:46.741000  100    /100   5431.37             5433         5429
JOB107854  2021-05-19 12:58:47.762000  100    /100   6842.93             6844         6842
JOB107855  2021-05-19 12:58:48.785000  100    /100   918.88              920          918
JOB107856  2021-05-19 12:58:49.809000  100    /100   3379.46             3381         3377
JOB107857  2021-05-19 12:58:50.835000  100    /100   1896.66             1903         1895
JOB107858  2021-05-19 12:58:51.860000  100    /100   871.15              876          870
JOB107859  2021-05-19 12:58:52.884000  100    /100   2199.41             2202         2197
JOB107860  2021-05-19 12:58:53.906000  100    /100   2431.31             2433         2429
JOB107861  2021-05-19 12:58:54.929000  100    /100   2258.25             2260         2257
JOB107862  2021-05-19 12:58:55.951000  100    /100   1236.2              1238         1235
JOB107863  2021-05-19 12:58:56.975000  100    /100   63507.54            63511        63505
JOB107864  2021-05-19 12:58:57.999000  100    /100   4807.74             4810         4806
JOB107865  2021-05-19 12:58:59.021000  100    /100   5731.98             5733         5731
JOB107866  2021-05-19 12:59:00.043000  100    /100   4711.23             4712         4709
JOB107867  2021-05-19 12:59:01.067000  100    /100   4446.16             4449         4443
JOB107868  2021-05-19 12:59:02.089000  100    /100   3338.11             3339         3337
JOB107869  2021-05-19 12:59:03.122000  100    /100   2304.71             2306         2304
JOB107870  2021-05-19 12:59:04.157000  100    /100   3910.54             3919         3903
JOB107871  2021-05-19 12:59:05.182000  100    /100   2880.86             2883         2878
JOB107872  2021-05-19 12:59:06.207000  100    /100   1855.96             1858         1853
JOB107873  2021-05-19 12:59:07.229000  100    /100   2826.67             2829         2826
JOB107874  2021-05-19 12:59:08.253000  100    /100   3860.92             3862         3860
JOB107875  2021-05-19 12:59:09.290000  100    /100   2831.9              2841         2823
JOB107876  2021-05-19 12:59:10.326000  100    /100   5222.6              5233         5216
JOB107877  2021-05-19 12:59:11.350000  100    /100   4193.72             4197         4192
JOB107878  2021-05-19 12:59:12.379000  100    /100   7976.97             7981         7971
JOB107879  2021-05-19 12:59:13.402000  100    /100   6371.15             6373         6370
JOB107880  2021-05-19 12:59:14.427000  100    /100   3202.24             3204         3200
JOB107881  2021-05-19 12:59:15.450000  100    /100   3916.98             3919         3915
JOB107882  2021-05-19 12:59:16.470000  100    /100   1679.26             1680         1679
JOB107883  2021-05-19 12:59:17.493000  100    /100   4721.13             4723         4719
JOB107884  2021-05-19 12:59:18.523000  100    /100   11394.1             11396        11392
JOB107885  2021-05-19 12:59:19.545000  100    /100   1876.24             1877         1875
JOB107886  2021-05-19 12:59:20.567000  100    /100   7312.09             7313         7311
JOB107887  2021-05-19 12:59:21.596000  100    /100   2051.24             2055         2046
JOB107888  2021-05-19 12:59:22.620000  100    /100   3171.74             3174         3170
JOB107889  2021-05-19 12:59:23.642000  100    /100   2149.27             2150         2148
JOB107890  2021-05-19 12:59:24.667000  300    /100   17000.636666666665  17076        16959
JOB107891  2021-05-19 12:59:25.690000  100    /100   3676.38             3678         3674
JOB107892  2021-05-19 12:59:26.709000  100    /100   6029.43             6030         6029
JOB107893  2021-05-19 12:59:27.733000  100    /100   5007.41             5010         5005
JOB107894  2021-05-19 12:59:28.765000  100    /100   8974.65             8980         8968
JOB107895  2021-05-19 12:59:29.789000  100    /100   13332.0             13334        13329
JOB107896  2021-05-19 12:59:30.816000  100    /100   12306.43            12310        12302
JOB107897  2021-05-19 12:59:31.842000  100    /100   6916.68             6920         6913
JOB107898  2021-05-19 12:59:32.866000  100    /100   9930.1              9933         9929
