---------  --------------------------  ---------  -----  ------------------  -----------  -----------
Job ID     Time Stamp in UTC           found      total  avg latency         max latency  min latency
JOB108605  2021-05-19 14:37:07.485000  100        /100   7133.74             7136         7130
JOB108606  2021-05-19 14:37:08.508000  100        /100   6109.9              6112         6107
JOB108607  2021-05-19 14:37:09.546000  100        /100   6420.11             6432         6412
JOB108608  2021-05-19 14:37:10.566000  100        /100   15992.93            15994        15992
JOB108609  2021-05-19 14:37:11.592000  100        /100   14968.93            14973        14966
JOB108610  2021-05-19 14:37:12.617000  100        /100   2912.6              2915         2908
JOB108611  2021-05-19 14:37:13.638000  100        /100   3189.28             3191         3188
JOB108612  2021-05-19 14:37:14.657000  100        /100   2169.51             2171         2169
JOB108613  2021-05-19 14:37:15.677000  100        /100   6618.5              6620         6617
JOB108614  2021-05-19 14:37:16.696000  100        /100   1655.61             1657         1655
JOB108615  2021-05-19 14:37:17.727000  100        /100   12042.49            12049        12037
JOB108616  2021-05-19 14:37:18.755000  100        /100   11013.5             11019        11009
JOB108617  2021-05-19 14:37:19.779000  100        /100   14195.05            14198        14192
JOB108618  2021-05-19 14:37:20.820000  100        /100   2910.85             2915         2907
JOB108619  2021-05-19 14:37:21.841000  100        /100   12132.02            12134        12130
JOB108620  2021-05-19 14:37:22.865000  100        /100   2608.5              2611         2605
JOB108621  2021-05-19 14:37:23.887000  100        /100   27325.8             27327        27324
JOB108622  2021-05-19 14:37:24.910000  100        /100   26303.05            26306        26301
JOB108623  2021-05-19 14:37:25.931000  100        /100   6436.26             6438         6435
JOB108624  2021-05-19 14:37:26.952000  100        /100   53208.81            53211        53207
JOB108625  2021-05-19 14:37:27.973000  100        /100   52187.85            52190        52186
JOB108626  2021-05-19 14:37:28.998000  100        /100   9261.51             9264         9258
JOB108627  2021-05-19 14:37:30.021000  100        /100   3934.22             3936         3933
JOB108628  2021-05-19 14:37:31.043000  100        /100   2303.77             2305         2302
JOB108629  2021-05-19 14:37:32.063000  100        /100   4219.75             4221         4219
JOB108630  2021-05-19 14:37:33.095000  100        /100   2240.63             2245         2237
JOB108631  2021-05-19 14:37:34.116000  100        /100   3968.12             3970         3967
JOB108632  2021-05-19 14:37:35.138000  100        /100   4959.15             4961         4958
JOB108633  2021-05-19 14:37:36.181000  100        /100   3924.82             3940         3915
JOB108634  2021-05-19 14:37:37.216000  100        /100   2682.25             2691         2674
JOB108635  2021-05-19 14:37:38.240000  100        /100   1466.23             1470         1465
JOB108636  2021-05-19 14:37:39.264000  100        /100   2149.34             2153         2148
JOB108637  2021-05-19 14:37:40.288000  100        /100   8402.18             8405         8400
JOB108638  2021-05-19 14:37:41.314000  100        /100   2617.9              2620         2615
JOB108639  2021-05-19 14:37:42.343000  100        /100   2979.66             2985         2975
JOB108640  2021-05-19 14:37:43.364000  100        /100   1955.0              1956         1954
JOB108641  2021-05-19 14:37:44.387000  100        /100   2127.94             2129         2127
JOB108642  2021-05-19 14:37:45.409000  100        /100   10077.44            10079        10076
JOB108643  2021-05-19 14:37:46.430000  100        /100   9056.16             9057         9055
JOB108644  2021-05-19 14:37:47.456000  100        /100   66312.21            66316        66308
JOB108645  2021-05-19 14:37:48.476000  100        /100   65288.21            65289        65288
JOB108646  2021-05-19 14:37:49.497000  100        /100   3414.47             3416         3413
JOB108647  2021-05-19 14:37:50.517000  100        /100   2393.7              2395         2393
JOB108648  2021-05-19 14:37:51.539000  100        /100   1376.22             1377         1375
JOB108649  2021-05-19 14:37:52.562000  100        /100   3096.93             3100         3095
