---------  --------------------------  ---------  -----  -----------  -----------  -----------
Job ID     Time Stamp in UTC           found      total  avg latency  max latency  min latency
JOB110205  2021-05-19 17:55:57.893000  100        /100   6590.92      6592         6590
JOB110206  2021-05-19 17:55:58.913000  100        /100   5708.92      5710         5708
JOB110207  2021-05-19 17:55:59.945000  100        /100   2407.53      2408         2407
JOB110208  2021-05-19 17:56:00.967000  100        /100   2266.11      2268         2265
JOB110209  2021-05-19 17:56:01.988000  100        /100   1245.28      1247         1244
JOB110210  2021-05-19 17:56:03.007000  100        /100   2201.71      2202         2201
JOB110211  2021-05-19 17:56:04.038000  100        /100   31869.81     31873        31860
JOB110212  2021-05-19 17:56:05.084000  100        /100   30821.04     30840        30814
JOB110213  2021-05-19 17:56:06.108000  100        /100   2488.27      2489         2487
JOB110214  2021-05-19 17:56:07.127000  100        /100   2778.91      2780         2778
JOB110215  2021-05-19 17:56:08.163000  100        /100   1746.71      1760         1742
JOB110216  2021-05-19 17:56:09.182000  100        /100   3622.63      3624         3622
JOB110217  2021-05-19 17:56:10.205000  100        /100   1668.97      1671         1666
JOB110218  2021-05-19 17:56:11.234000  100        /100   1999.71      2003         1992
JOB110219  2021-05-19 17:56:12.262000  100        /100   69677.26     69679        69676
JOB110220  2021-05-19 17:56:13.292000  100        /100   68654.91     68657        68646
JOB110221  2021-05-19 17:56:14.312000  100        /100   3506.45      3507         3506
JOB110222  2021-05-19 17:56:15.336000  100        /100   2412.64      2417         2412
JOB110223  2021-05-19 17:56:16.359000  100        /100   1391.24      1394         1389
JOB110224  2021-05-19 17:56:17.383000  100        /100   4018.96      4022         4016
JOB110225  2021-05-19 17:56:18.406000  100        /100   2994.91      2997         2993
JOB110226  2021-05-19 17:56:19.428000  100        /100   5294.1       5295         5293
JOB110227  2021-05-19 17:56:20.449000  100        /100   4273.77      4275         4272
JOB110228  2021-05-19 17:56:21.469000  100        /100   1410.06      1411         1408
JOB110229  2021-05-19 17:56:22.489000  100        /100   5939.0       5940         5938
JOB110230  2021-05-19 17:56:23.511000  100        /100   2302.05      2304         2300
JOB110231  2021-05-19 17:56:24.533000  100        /100   2594.46      2596         2593
JOB110232  2021-05-19 17:56:25.559000  100        /100   2552.81      2557         2549
JOB110233  2021-05-19 17:56:26.589000  100        /100   1523.86      1531         1519
JOB110234  2021-05-19 17:56:27.629000  100        /100   5957.14      5969         5947
JOB110235  2021-05-19 17:56:28.667000  100        /100   4917.96      4928         4909
JOB110236  2021-05-19 17:56:29.693000  100        /100   3882.08      3884         3881
JOB110237  2021-05-19 17:56:30.715000  100        /100   2860.72      2862         2859
JOB110238  2021-05-19 17:56:31.735000  100        /100   11169.81     11171        11169
JOB110239  2021-05-19 17:56:32.761000  100        /100   3983.77      3990         3982
JOB110240  2021-05-19 17:56:33.783000  100        /100   2961.49      2963         2960
JOB110241  2021-05-19 17:56:34.805000  100        /100   5301.37      5303         5300
JOB110242  2021-05-19 17:56:35.826000  100        /100   4279.93      4281         4279
JOB110243  2021-05-19 17:56:36.846000  100        /100   9491.9       9493         9491
JOB110244  2021-05-19 17:56:37.869000  100        /100   2653.4       2656         2652
JOB110245  2021-05-19 17:56:38.890000  100        /100   1866.59      1868         1866
JOB110246  2021-05-19 17:56:39.915000  100        /100   2213.37      2215         2212
JOB110247  2021-05-19 17:56:40.951000  100        /100   6425.76      6435         6418
JOB110248  2021-05-19 17:56:41.972000  100        /100   26458.32     26459        26457
JOB110249  2021-05-19 17:56:42.997000  100        /100   5480.02      5484         5479
JOB110250  2021-05-19 17:56:44.019000  100        /100   2060.82      2062         2060
JOB110251  2021-05-19 17:56:45.041000  100        /100   2360.62      2362         2359
JOB110252  2021-05-19 17:56:46.062000  100        /100   1339.86      1341         1338
JOB110253  2021-05-19 17:56:47.091000  100        /100   2223.47      2229         2218
JOB110254  2021-05-19 17:56:48.131000  100        /100   1190.48      1198         1178
JOB110255  2021-05-19 17:56:49.154000  100        /100   2496.21      2499         2494
JOB110256  2021-05-19 17:56:50.175000  100        /100   2307.44      2309         2306
JOB110257  2021-05-19 17:56:51.200000  100        /100   50946.14     50948        50945
JOB110258  2021-05-19 17:56:52.237000  100        /100   3952.99      3953         3952
JOB110259  2021-05-19 17:56:53.262000  100        /100   2930.36      2934         2927
JOB110260  2021-05-19 17:56:54.297000  100        /100   6733.81      6743         6727
JOB110261  2021-05-19 17:56:55.320000  100        /100   2109.35      2112         2108
JOB110262  2021-05-19 17:56:56.348000  100        /100   36077.55     36083        36074
JOB110263  2021-05-19 17:56:57.370000  100        /100   2834.7       2836         2834
JOB110264  2021-05-19 17:56:58.400000  100        /100   3885.53      3890         3881
JOB110265  2021-05-19 17:56:59.423000  100        /100   2330.7       2333         2329
