---------  --------------------------  -----  -----  -----------------  -----------  -----------
Job ID     Time Stamp in UTC           found  total  avg latency        max latency  min latency
JOB110605  2021-05-19 18:45:17.401000  100    /100   6260.79            6264         6259
JOB110606  2021-05-19 18:45:18.427000  100    /100   4767.06            4770         4762
JOB110607  2021-05-19 18:45:19.448000  100    /100   62325.93           62328        62325
JOB110608  2021-05-19 18:45:20.471000  100    /100   4199.56            4201         4198
JOB110609  2021-05-19 18:45:21.492000  100    /100   1953.75            1956         1952
JOB110610  2021-05-19 18:45:22.512000  100    /100   3364.97            3366         3364
JOB110611  2021-05-19 18:45:23.531000  100    /100   2663.8             2664         2663
JOB110612  2021-05-19 18:45:24.550000  100    /100   6074.82            6076         6074
JOB110613  2021-05-19 18:45:25.570000  100    /100   3300.28            3301         3299
JOB110614  2021-05-19 18:45:26.591000  100    /100   2279.16            2282         2278
JOB110615  2021-05-19 18:45:27.628000  100    /100   10315.76           10326        10307
JOB110616  2021-05-19 18:45:28.668000  100    /100   1886.96            1900         1878
JOB110617  2021-05-19 18:45:29.699000  100    /100   6745.77            6749         6737
JOB110618  2021-05-19 18:45:30.727000  100    /100   7108.85            7116         7106
JOB110619  2021-05-19 18:45:31.749000  100    /100   12313.98           12316        12312
JOB110620  2021-05-19 18:45:32.779000  100    /100   2690.69            2697         2685
JOB110621  2021-05-19 18:45:33.800000  100    /100   5748.47            5750         5747
JOB110622  2021-05-19 18:45:34.824000  100    /100   11690.93           11693        11688
JOB110623  2021-05-19 18:45:35.844000  100    /100   10668.6            10670        10668
JOB110624  2021-05-19 18:45:36.864000  100    /100   3860.59            3861         3860
JOB110625  2021-05-19 18:45:37.890000  100    /100   2835.89            2842         2834
JOB110626  2021-05-19 18:45:38.911000  100    /100   1404.37            1405         1404
JOB110627  2021-05-19 18:45:39.934000  100    /100   3383.86            3386         3381
JOB110628  2021-05-19 18:45:40.954000  100    /100   5338.75            5340         5338
JOB110629  2021-05-19 18:45:41.973000  100    /100   70275.57           70276        70275
JOB110630  2021-05-19 18:45:42.995000  100    /100   69253.93           69257        69253
JOB110631  2021-05-19 18:45:44.017000  100    /100   2518.52            2520         2517
JOB110632  2021-05-19 18:45:45.054000  100    /100   1483.15            1486         1480
JOB110633  2021-05-19 18:45:46.076000  100    /100   8395.13            8396         8394
JOB110634  2021-05-19 18:45:47.097000  100    /100   5866.03            5867         5864
JOB110635  2021-05-19 18:45:48.122000  100    /100   2710.82            2714         2709
JOB110636  2021-05-19 18:45:49.143000  100    /100   2195.05            2196         2194
JOB110637  2021-05-19 18:45:50.164000  100    /100   3456.58            3458         3456
JOB110638  2021-05-19 18:45:51.188000  100    /100   2433.82            2437         2432
JOB110639  2021-05-19 18:45:52.210000  100    /100   6745.63            6747         6744
JOB110640  2021-05-19 18:45:53.234000  100    /100   5722.08            5725         5720
JOB110641  2021-05-19 18:45:54.253000  100    /100   18334.55           18335        18334
JOB110642  2021-05-19 18:45:55.282000  100    /100   17310.31           17315        17305
JOB110643  2021-05-19 18:45:56.304000  100    /100   1004.32            1005         1003
JOB110644  2021-05-19 18:45:57.325000  100    /100   8606.14            8608         8605
JOB110645  2021-05-19 18:45:58.351000  100    /100   2082.22            2088         2080
JOB110646  2021-05-19 18:45:59.373000  100    /100   2598.05            2600         2596
JOB110647  2021-05-19 18:46:00.401000  100    /100   7785.9             7790         7781
JOB110648  2021-05-19 18:46:01.423000  100    /100   6502.88            6503         6502
JOB110649  2021-05-19 18:46:02.453000  115    /100   8292.139130434784  16398        5476
JOB110650  2021-05-19 18:46:03.478000  100    /100   8617.21            8619         8612
JOB110651  2021-05-19 18:46:04.500000  100    /100   3769.8             3771         3767
JOB110652  2021-05-19 18:46:05.521000  100    /100   2747.11            2748         2746
JOB110653  2021-05-19 18:46:06.546000  100    /100   1722.38            1727         1721
JOB110654  2021-05-19 18:46:07.568000  100    /100   71816.27           71817        71815
JOB110655  2021-05-19 18:46:08.589000  100    /100   70795.13           70797        70794
JOB110656  2021-05-19 18:46:09.610000  100    /100   3148.78            3151         3148
JOB110657  2021-05-19 18:46:10.635000  100    /100   2125.25            2127         2123
JOB110658  2021-05-19 18:46:11.660000  100    /100   3100.36            3103         3098
JOB110659  2021-05-19 18:46:12.681000  100    /100   2159.37            2160         2158
JOB110660  2021-05-19 18:46:13.704000  100    /100   2300.52            2303         2299
JOB110661  2021-05-19 18:46:14.731000  100    /100   2939.78            2944         2936
JOB110662  2021-05-19 18:46:15.753000  100    /100   1915.52            1917         1914
JOB110663  2021-05-19 18:46:16.774000  100    /100   1266.23            1267         1265
JOB110664  2021-05-19 18:46:17.801000  100    /100   2499.01            2502         2495
JOB110665  2021-05-19 18:46:18.836000  100    /100   1466.07            1476         1460
JOB110666  2021-05-19 18:46:19.863000  100    /100   65448.46           65454        65446
JOB110667  2021-05-19 18:46:20.885000  100    /100   4614.95            4617         4613
JOB110668  2021-05-19 18:46:21.916000  100    /100   3586.89            3595         3582
JOB110669  2021-05-19 18:46:22.963000  100    /100   6116.99            6133         6104
JOB110670  2021-05-19 18:46:23.984000  100    /100   6799.95            6801         6799
JOB110671  2021-05-19 18:46:25.008000  100    /100   3377.13            3379         3375
JOB110672  2021-05-19 18:46:26.029000  100    /100   2355.45            2356         2354
JOB110673  2021-05-19 18:46:27.058000  100    /100   3241.25            3247         3237
JOB110674  2021-05-19 18:46:28.084000  100    /100   2213.65            2217         2211
JOB110675  2021-05-19 18:46:29.108000  100    /100   3125.96            3129         3124
JOB110676  2021-05-19 18:46:30.134000  100    /100   2101.41            2104         2098
JOB110677  2021-05-19 18:46:31.156000  100    /100   3866.98            3868         3866
JOB110678  2021-05-19 18:46:32.178000  100    /100   15408.73           15410        15407
JOB110679  2021-05-19 18:46:33.203000  100    /100   14384.32           14389        14382
JOB110680  2021-05-19 18:46:34.224000  100    /100   2090.94            2092         2090
