---------  --------------------------  -----  -----  -----------  -----------  -----------
Job ID     Time Stamp in UTC           found  total  avg latency  max latency  min latency
JOB102205  2021-05-19 01:37:47.433000  100    /100   3640.66      3647         3636
JOB102206  2021-05-19 01:37:48.460000  100    /100   2613.23      2618         2609
JOB102207  2021-05-19 01:37:49.493000  100    /100   11588.44     11592        11587
JOB102208  2021-05-19 01:37:50.517000  100    /100   1595.67      1600         1594
JOB102209  2021-05-19 01:37:51.546000  100    /100   3205.72      3208         3198
JOB102210  2021-05-19 01:37:52.566000  100    /100   6642.07      6644         6641
JOB102211  2021-05-19 01:37:53.584000  100    /100   10545.0      10545        10545
JOB102212  2021-05-19 01:37:54.605000  100    /100   2382.11      2384         2381
JOB102213  2021-05-19 01:37:55.629000  100    /100   3463.9       3466         3462
JOB102214  2021-05-19 01:37:56.649000  100    /100   2443.19      2444         2442
JOB102215  2021-05-19 01:37:57.676000  100    /100   4740.74      4747         4738
JOB102216  2021-05-19 01:37:58.702000  100    /100   3714.73      3719         3712
JOB102217  2021-05-19 01:37:59.737000  100    /100   2787.28      2789         2786
JOB102218  2021-05-19 01:38:00.760000  100    /100   3732.78      3734         3730
JOB102219  2021-05-19 01:38:01.780000  100    /100   6832.27      6834         6831
JOB102220  2021-05-19 01:38:02.802000  100    /100   2056.65      2059         2055
JOB102221  2021-05-19 01:38:03.825000  100    /100   2873.78      2875         2871
JOB102222  2021-05-19 01:38:04.846000  100    /100   2080.15      2082         2079
JOB102223  2021-05-19 01:38:05.884000  100    /100   3296.74      3307         3290
JOB102224  2021-05-19 01:38:06.917000  100    /100   2527.69      2537         2526
JOB102225  2021-05-19 01:38:07.949000  100    /100   1503.35      1507         1494
JOB102226  2021-05-19 01:38:08.991000  100    /100   2933.9       2947         2923
JOB102227  2021-05-19 01:38:10.022000  100    /100   1892.54      1893         1892
JOB102228  2021-05-19 01:38:11.042000  100    /100   5253.02      5254         5252
JOB102229  2021-05-19 01:38:12.061000  100    /100   16282.45     16283        16282
JOB102230  2021-05-19 01:38:13.084000  100    /100   2153.06      2155         2151
JOB102231  2021-05-19 01:38:14.106000  100    /100   2075.26      2077         2073
JOB102232  2021-05-19 01:38:15.137000  100    /100   6735.69      6739         6733
JOB102233  2021-05-19 01:38:16.159000  100    /100   2769.22      2771         2767
JOB102234  2021-05-19 01:38:17.179000  100    /100   2944.99      2946         2944
JOB102235  2021-05-19 01:38:18.201000  100    /100   1923.76      1925         1922
JOB102236  2021-05-19 01:38:19.222000  100    /100   2030.23      2032         2029
JOB102237  2021-05-19 01:38:20.248000  100    /100   6034.92      6038         6031
JOB102238  2021-05-19 01:38:21.271000  100    /100   5010.55      5013         5008
JOB102239  2021-05-19 01:38:22.298000  100    /100   3988.37      3994         3986
JOB102240  2021-05-19 01:38:23.332000  100    /100   2953.11      2955         2952
JOB102241  2021-05-19 01:38:24.353000  100    /100   5017.94      5019         5017
JOB102242  2021-05-19 01:38:25.375000  100    /100   3996.6       3998         3995
JOB102243  2021-05-19 01:38:26.395000  100    /100   3954.27      3956         3953
JOB102244  2021-05-19 01:38:27.420000  100    /100   2930.47      2935         2928
JOB102245  2021-05-19 01:38:28.448000  100    /100   1573.92      1579         1570
JOB102246  2021-05-19 01:38:29.469000  100    /100   10306.52     10308        10305
