--------------------------  ------------  ----------  ---------  -------  ----  -----  -----  ------------------
Last job Time Stamp in UTC  Success Rate  total jobs  caputured  missing  <15s  <120s  >120s  avg latency
2021-05-18 20:07:48.676000  100.0         400         400        0        391   8      1      6624.880249999993
2021-05-18 20:55:58.396000  100.0         400         400        0        385   15     0      7166.454799999998
2021-05-18 21:44:08.437000  100.0         400         400        0        388   10     2      6754.613749999993
2021-05-18 22:32:18.565000  100.0         400         400        0        389   11     0      6137.145750000001
2021-05-18 23:20:34.756000  100.0         400         400        0        387   13     0      6456.521174999997
2021-05-19 00:08:07.850000  100.0         400         400        0        390   10     0      6052.469575000005
2021-05-19 00:56:17.471000  100.0         400         400        0        385   14     1      7121.169675000001
2021-05-19 01:44:37.537000  100.0         400         400        0        390   10     0      6346.649449999998
2021-05-19 02:32:37.534000  100.0         400         400        0        385   13     2      7315.117300000001
2021-05-19 03:20:57.769000  100.0         400         400        0        391   9      0      5858.562600000002
2021-05-19 04:09:07.451000  100.0         400         400        0        391   8      1      5835.183650000007
2021-05-19 04:57:27.684000  100.0         400         400        0        385   15     0      6636.0201
2021-05-19 05:46:17.517000  100.0         400         400        0        391   9      0      5831.147300000003
2021-05-19 06:35:07.822000  100.0         400         400        0        393   6      1      5493.885925000005
2021-05-19 07:23:27.563000  100.0         400         400        0        389   11     0      6351.633125
2021-05-19 08:11:07.171000  100.0         400         400        0        388   12     0      6366.42685
2021-05-19 08:59:57.665000  100.0         400         400        0        390   10     0      6019.358849999999
2021-05-19 09:48:27.582000  100.0         400         400        0        383   17     0      6952.001499999999
2021-05-19 10:37:30.355000  100.0         400         400        0        393   7      0      5785.2395999999935
2021-05-19 11:26:47.385000  100.0         400         400        0        389   11     0      6686.025925000007
2021-05-19 12:15:27.562000  100.0         400         400        0        389   11     0      7129.290161585368
2021-05-19 13:04:47.653000  100.0         400         400        0        383   17     0      7799.771408333336
2021-05-19 13:54:17.490000  100.0         400         400        0        377   20     3      8913.1795
2021-05-19 14:43:57.590000  99.5          400         398        2        372   27     1      10434.789590909088
2021-05-19 15:33:17.753000  100.0         400         400        0        381   19     0      8713.384774999991
2021-05-19 16:23:29.488000  100.0         400         400        0        381   19     0      7898.203275
2021-05-19 17:12:57.535000  100.0         400         400        0        380   20     0      8540.3222
2021-05-19 18:02:48.232000  99.5          400         398        2        354   40     6      13036.082275000002
2021-05-19 18:52:07.845000  100.0         400         400        0        384   15     1      8050.236522826088
--------------------------  ------------  ----------  ---------  -------  ----  -----  -----  ------------------
