-------  -------  -------  -----------  -----------  -----------  -------
Job ID   found    total    avg latency  max latency  min latency
JOB4259  50       /25      30654.58     30662        30648
JOB4261  25       /25      32109.0      32109        32109
JOB4277  25       /25      36706.68     36708        36706
JOB4302  25       /25      33141.64     33142        33141
JOB4329  25       /25      23352.0      23352        23352
JOB4332  0        /25      0            0            0
JOB4384  25       /25      85882.32     85886        85879
JOB4390  25       /25      29161.28     29162        29161
JOB4414  0        /25      0            0            0
JOB4452  25       /25      30329.0      30329        30329
JOB4457  25       /25      21530.64     21532        21530
JOB4469  25       /25      18161.0      18161        18161
JOB4479  25       /25      65745.68     65746        65744
JOB4490  0        /25      0            0            0
JOB4511  25       /25      64698.72     64699        64698
JOB4518  25       /25      25228.0      25228        25228
JOB4583  25       /25      62900.76     62902        62900
JOB4587  25       /25      63146.0      63146        63146
JOB4604  25       /25      17078.0      17078        17078
JOB4609  25       /25      86214.0      86214        86214
JOB4612  25       /25      61646.08     61647        61646
JOB4614  25       /25      20809.56     20810        20809
JOB4615  25       /25      62265.88     62266        62265
JOB4635  25       /25      62636.68     62637        62636
JOB4668  25       /25      2156.0       2156         2156
JOB4681  0        /25      0            0            0
JOB4685  25       /25      21599.32     21602        21598
JOB4688  25       /25      18169.0      18169        18169
JOB4707  0        /25      0            0            0
missing  JOB4259  JOB4332  JOB4414      JOB4490      JOB4681      JOB4707
-------  -------  -------  -----------  -----------  -----------  -------
