-------  -------  -------  -----------  -----------  -----------
Job ID   found    total    avg latency  max latency  min latency
JOB4726  25       /25      16236.0      16236        16236
JOB4749  25       /25      17877.56     17881        17876
JOB4754  25       /25      61215.8      61217        61215
JOB4756  25       /25      16443.0      16443        16443
JOB4759  25       /25      20474.84     20476        20474
JOB4770  0        /25      0            0            0
JOB4794  25       /25      5245.04      5246         5245
JOB4799  25       /25      23413.0      23413        23413
JOB4810  0        /25      0            0            0
JOB4826  25       /25      17195.0      17195        17195
JOB4843  25       /25      23618.8      23619        23618
JOB4844  25       /25      17445.92     17446        17445
JOB4864  25       /25      64538.56     64540        64537
JOB4871  25       /25      24762.96     24764        24762
JOB4880  25       /25      25007.44     25008        25007
JOB4885  25       /25      39011.52     39012        39011
JOB4895  25       /25      62488.0      62488        62488
JOB4922  25       /25      61646.44     61647        61646
JOB4996  25       /25      76704.56     76705        76704
JOB5008  25       /25      68822.72     68823        68822
JOB5014  25       /25      83186.6      83187        83186
JOB5021  25       /25      63755.72     63756        63755
JOB5033  25       /25      66016.32     66017        66016
JOB5051  25       /25      16679.0      16679        16679
JOB5063  25       /25      62490.2      62491        62490
JOB5069  25       /25      26185.32     26188        26183
JOB5079  25       /25      62183.04     62184        62183
JOB5086  25       /25      23023.44     23024        23023
JOB5108  25       /25      16490.6      16491        16490
JOB5114  25       /25      68648.2      68649        68648
JOB5136  25       /25      18463.0      18463        18463
JOB5139  25       /25      64419.0      64419        64419
JOB5140  25       /25      18910.52     18911        18910
JOB5142  25       /25      67375.84     67376        67375
JOB5154  25       /25      20970.2      20971        20969
JOB5155  25       /25      25239.28     25241        25238
JOB5167  25       /25      17959.68     17960        17959
missing  JOB4770  JOB4810
-------  -------  -------  -----------  -----------  -----------
