--------  -------  -------  -----------  -----------  -----------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------
Job ID    found    total    avg latency  max latency  min latency
JOB5198   25       /25      2033.36      2034         2033
JOB5199   25       /25      8042.04      8043         8042
JOB5200   25       /25      11477.8      11479        11477
JOB5201   25       /25      5083.24      5084         5083
JOB5202   25       /25      5658.0       5658         5658
JOB5203   25       /25      6311.0       6312         6310
JOB5204   25       /25      9415.92      9416         9415
JOB5205   25       /25      3630.36      3631         3629
JOB5206   25       /25      10839.6      10842        10838
JOB5207   25       /25      1399.0       1399         1399
JOB5208   25       /25      2147.16      2148         2147
JOB5209   25       /25      4136.4       4137         4136
JOB5210   25       /25      5499.96      5500         5499
JOB5211   25       /25      2808.56      2809         2808
JOB5212   25       /25      1832.6       1833         1832
JOB5213   25       /25      2370.0       2370         2370
JOB5214   25       /25      2977.28      2978         2977
JOB5215   25       /25      2733.84      2735         2733
JOB5216   25       /25      3734.52      3740         3729
JOB5217   25       /25      5573.88      5574         5573
JOB5218   25       /25      2505.08      2506         2503
JOB5219   25       /25      1981.4       1983         1981
JOB5220   25       /25      2867.56      2868         2867
JOB5221   25       /25      3547.48      3548         3547
JOB5222   25       /25      9821.52      9822         9821
JOB5223   25       /25      1201.24      1203         1199
JOB5224   25       /25      3460.0       3460         3460
JOB5225   25       /25      6232.84      6234         6230
JOB5226   25       /25      2931.0       2932         2930
JOB5227   25       /25      3465.28      3466         3465
JOB5228   25       /25      5444.24      5445         5444
JOB5229   25       /25      2131.0       2131         2131
JOB5230   0        /25      0            0            0
JOB5231   25       /25      3422.0       3422         3422
JOB5232   25       /25      2529.92      2530         2529
JOB5233   25       /25      7689.56      7691         7689
JOB5234   25       /25      4252.44      4253         4252
JOB5235   25       /25      11841.04     11844        11838
JOB5236   25       /25      3843.24      3844         3843
JOB5237   25       /25      2107.32      2110         2106
JOB5238   25       /25      1490.04      1491         1490
JOB5239   25       /25      2024.32      2027         2024
JOB5240   25       /25      9741.68      9742         9741
JOB5241   0        /25      0            0            0
JOB5242   25       /25      5410.2       5411         5409
JOB5243   25       /25      6418.08      6419         6417
JOB5244   25       /25      2870.16      2871         2869
JOB5245   25       /25      4950.68      4951         4950
JOB5246   25       /25      2208.24      2209         2208
JOB5247   25       /25      3095.2       3097         3093
JOB5248   25       /25      3153.0       3153         3153
JOB5249   25       /25      2208.8       2210         2208
JOB5250   25       /25      6703.76      6705         6702
JOB5251   25       /25      2426.16      2427         2426
JOB5252   25       /25      7314.0       7314         7314
JOB5253   25       /25      9661.2       9662         9661
JOB5254   25       /25      5085.0       5085         5085
JOB5255   25       /25      4610.0       4610         4610
JOB5256   0        /25      0            0            0
JOB5257   25       /25      6614.36      6618         6610
JOB5258   25       /25      12359.88     12362        12359
JOB5259   0        /25      0            0            0
JOB5260   25       /25      1877.36      1879         1876
JOB5261   25       /25      6725.72      6726         6725
JOB5262   25       /25      3547.44      3548         3547
JOB5263   25       /25      7500.76      7501         7500
JOB5264   25       /25      1806.36      1807         1806
JOB5265   25       /25      4175.88      4178         4174
JOB5266   25       /25      3023.0       3023         3023
JOB5267   25       /25      3768.32      3769         3768
JOB5268   25       /25      4888.76      4889         4888
JOB5269   25       /25      8319.44      8320         8319
JOB5270   25       /25      8965.08      8967         8965
JOB5271   25       /25      2394.0       2394         2394
JOB5272   25       /25      3543.8       3551         3539
JOB5273   25       /25      2292.0       2292         2292
JOB5274   25       /25      2697.0       2697         2697
JOB5275   25       /25      4482.12      4487         4477
JOB5276   25       /25      8375.04      8376         8375
JOB5277   25       /25      1397.0       1397         1397
JOB5278   25       /25      4365.12      4366         4364
JOB5279   25       /25      5004.08      5005         5004
JOB5280   25       /25      5193.36      5194         5192
JOB5281   25       /25      2395.08      2396         2395
JOB5282   25       /25      4006.52      4007         4006
JOB5283   0        /25      0            0            0
JOB5284   25       /25      7741.0       7741         7741
JOB5285   25       /25      10608.64     10609        10608
JOB5286   25       /25      3491.88      3493         3491
JOB5287   0        /25      0            0            0
JOB5288   25       /25      3360.04      3361         3360
JOB5289   25       /25      3879.04      3882         3876
JOB5290   25       /25      3556.72      3557         3556
JOB5291   25       /25      1363.56      1364         1363
JOB5292   25       /25      5585.68      5589         5583
JOB5293   25       /25      3121.0       3121         3121
JOB5294   25       /25      5785.56      5786         5785
JOB5295   25       /25      2048.36      2050         2048
JOB5296   25       /25      3210.44      3211         3209
JOB5297   25       /25      4015.56      4016         4015
JOB5298   25       /25      6170.08      6171         6170
JOB5299   25       /25      7314.64      7316         7313
JOB5300   0        /25      0            0            0
JOB5301   25       /25      5621.36      5622         5621
JOB5302   25       /25      4377.48      4379         4376
JOB5303   25       /25      2986.24      2987         2986
JOB5304   25       /25      3406.28      3407         3406
JOB5305   25       /25      9086.64      9090         9083
JOB5306   25       /25      7382.72      7385         7379
JOB5307   25       /25      2717.24      2718         2717
JOB5308   25       /25      1239.16      1242         1237
JOB5309   25       /25      4124.76      4125         4124
JOB5310   25       /25      6303.28      6305         6302
JOB5311   25       /25      5652.04      5653         5652
JOB5312   25       /25      3530.56      3531         3530
JOB5313   25       /25      4862.28      4863         4861
JOB5314   25       /25      3935.2       3936         3935
