--------  -------  -------  -----------  -----------  -----------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------
Job ID    found    total    avg latency  max latency  min latency
JOB1839   25       /25      7217.4       7219         7217
JOB1840   25       /25      3964.68      3966         3964
JOB1841   25       /25      3517.28      3518         3517
JOB1842   25       /25      5299.2       5300         5299
JOB1843   25       /25      3881.08      3882         3881
JOB1844   25       /25      4100.68      4101         4099
JOB1845   25       /25      2801.0       2801         2801
JOB1846   25       /25      1181.68      1185         1179
JOB1847   25       /25      6556.56      6559         6555
JOB1848   25       /25      2900.44      2901         2900
JOB1849   25       /25      2776.6       2777         2776
JOB1850   25       /25      5612.8       5614         5612
JOB1851   25       /25      7164.96      7167         7164
JOB1852   25       /25      10900.12     10901        10900
JOB1853   25       /25      3500.52      3501         3500
JOB1854   25       /25      2241.0       2241         2241
JOB1855   25       /25      10120.0      10120        10120
JOB1856   25       /25      2983.2       2984         2983
JOB1857   25       /25      7174.96      7177         7173
JOB1858   25       /25      1116.84      1118         1116
JOB1859   25       /25      3036.0       3040         3032
JOB1860   25       /25      1891.0       1891         1891
JOB1861   25       /25      7103.48      7105         7103
JOB1862   25       /25      2634.04      2635         2634
JOB1863   25       /25      3487.28      3491         3485
JOB1864   25       /25      6048.56      6049         6048
JOB1865   25       /25      14223.24     14226        14221
JOB1866   25       /25      2152.6       2153         2152
JOB1867   25       /25      795.36       798          793
JOB1868   25       /25      3147.32      3149         3145
JOB1869   25       /25      3588.96      3589         3588
JOB1870   25       /25      3538.0       3538         3538
JOB1871   25       /25      2856.88      2857         2856
JOB1872   25       /25      2769.28      2770         2769
JOB1873   25       /25      11804.0      11804        11804
JOB1874   25       /25      1762.0       1762         1762
JOB1875   25       /25      3298.2       3299         3298
JOB1876   25       /25      2086.12      2089         2084
JOB1877   25       /25      7042.0       7042         7042
JOB1878   25       /25      4221.08      4222         4220
JOB1879   25       /25      3619.04      3621         3618
JOB1880   25       /25      5134.0       5134         5134
JOB1881   25       /25      3402.88      3403         3402
JOB1882   25       /25      7261.04      7262         7261
JOB1883   25       /25      2015.0       2015         2015
JOB1884   25       /25      3482.92      3483         3481
JOB1885   25       /25      1683.0       1683         1683
JOB1886   25       /25      3413.48      3414         3413
JOB1887   25       /25      2919.32      2920         2919
JOB1888   25       /25      5510.88      5511         5510
JOB1889   25       /25      6393.32      6394         6392
JOB1890   25       /25      2555.2       2556         2555
JOB1891   25       /25      6274.96      6277         6273
JOB1892   25       /25      1801.28      1803         1801
JOB1893   25       /25      2168.0       2168         2168
JOB1894   25       /25      7811.2       7812         7811
JOB1895   25       /25      2508.04      2509         2508
JOB1896   25       /25      2428.52      2432         2425
JOB1897   25       /25      2723.0       2724         2722
JOB1898   25       /25      1632.64      1636         1631
JOB1899   0        /25      0            0            0
JOB1900   25       /25      8147.24      8148         8147
JOB1901   25       /25      8980.48      8981         8980
JOB1902   0        /25      0            0            0
JOB1903   25       /25      5931.0       6919         5466
JOB1904   25       /25      4981.28      4987         4975
JOB1905   25       /25      12842.44     12843        12842
JOB1906   25       /25      2021.2       2022         2021
JOB1907   25       /25      2524.88      2525         2524
JOB1908   25       /25      6116.32      6120         6113
JOB1909   25       /25      5572.8       5573         5572
JOB1910   25       /25      4289.0       4289         4289
JOB1911   25       /25      7241.0       7241         7241
JOB1912   25       /25      2963.04      2964         2963
JOB1913   0        /25      0            0            0
JOB1914   25       /25      2879.0       2879         2879
JOB1915   25       /25      1563.36      1567         1559
JOB1916   25       /25      1964.52      1967         1963
JOB1917   25       /25      6937.0       6937         6937
JOB1918   25       /25      2186.2       2622         2148
JOB1919   25       /25      8231.32      8232         8231
JOB1920   25       /25      4352.0       4352         4352
JOB1921   25       /25      8499.04      8500         8499
JOB1922   25       /25      9319.0       9319         9319
JOB1923   25       /25      7685.0       7685         7685
JOB1924   25       /25      3655.0       3655         3655
JOB1925   0        /25      0            0            0
JOB1926   25       /25      3325.96      3329         3324
JOB1927   25       /25      2834.36      2835         2834
JOB1928   25       /25      2009.04      2010         2009
JOB1929   25       /25      4159.96      4160         4159
JOB1930   25       /25      9518.48      9519         9517
JOB1931   25       /25      6488.52      6489         6488
JOB1932   25       /25      6361.04      6362         6361
JOB1933   25       /25      2364.0       2364         2364
JOB1934   0        /25      0            0            0
JOB1935   25       /25      3920.6       3921         3919
JOB1936   0        /25      0            0            0
JOB1937   25       /25      8697.4       8698         8697
JOB1938   25       /25      3091.0       3091         3091
JOB1939   25       /25      7606.84      7607         7606
JOB1940   25       /25      2036.08      2039         2034
JOB1941   25       /25      14917.0      14917        14917
JOB1942   25       /25      3478.08      3481         3475
JOB1943   25       /25      2380.52      2381         2380
JOB1944   25       /25      4882.92      4883         4882
JOB1945   25       /25      4139.92      4140         4139
JOB1946   25       /25      14102.24     14103        14102
JOB1947   25       /25      3525.24      3526         3525
JOB1948   25       /25      6948.08      6949         6947
JOB1949   25       /25      3322.32      3324         3321
JOB1950   25       /25      3229.76      3231         3229
JOB1951   25       /25      1069.04      1070         1069
JOB1952   25       /25      2850.72      2852         2850
JOB1953   25       /25      1797.16      1799         1797
JOB1954   0        /25      0            0            0
JOB1955   25       /25      3601.72      3603         3601
JOB1956   0        /25      0            0            0
JOB1957   25       /25      1461.56      1462         1461
JOB1958   25       /25      6875.88      6879         6873
JOB1959   0        /25      0            0            0
JOB1960   25       /25      7370.76      7371         7370
JOB1961   0        /25      0            0            0
