--------  -------  -------  -----------  -----------  -----------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------
Job ID    found    total    avg latency  max latency  min latency
JOB2798   25       /25      2939.6       2940         2939
JOB2799   25       /25      7477.36      7479         7475
JOB2800   25       /25      5661.08      5662         5660
JOB2801   25       /25      3440.68      3441         3440
JOB2802   25       /25      3439.48      3440         3439
JOB2803   25       /25      6650.16      6651         6650
JOB2804   25       /25      3548.2       3549         3548
JOB2805   25       /25      5581.76      5583         5581
JOB2806   25       /25      5158.0       5158         5158
JOB2807   25       /25      1953.6       1956         1952
JOB2808   25       /25      4074.04      4075         4074
JOB2809   25       /25      6825.68      6826         6825
JOB2810   25       /25      6215.36      6216         6215
JOB2811   25       /25      2210.6       2213         2209
JOB2812   25       /25      5891.28      5892         5891
JOB2813   25       /25      2839.48      2840         2839
JOB2814   25       /25      1692.68      1693         1692
JOB2815   25       /25      5688.0       5688         5688
JOB2816   25       /25      2700.0       2700         2700
JOB2817   25       /25      4689.44      4690         4689
JOB2818   25       /25      4326.92      4327         4326
JOB2819   25       /25      3424.64      3426         3422
JOB2820   25       /25      5514.2       5515         5513
JOB2821   25       /25      2710.4       2711         2709
JOB2822   25       /25      5274.2       5277         5271
JOB2823   50       /25      12010.48     12094        11927
JOB2824   25       /25      3382.6       3383         3382
JOB2825   0        /25      0            0            0
JOB2826   25       /25      2620.64      2621         2620
JOB2827   25       /25      14155.0      14156        14154
JOB2828   25       /25      2552.72      2555         2552
JOB2829   25       /25      2643.24      2644         2643
JOB2830   25       /25      8634.88      8635         8634
JOB2831   25       /25      2906.52      2907         2906
JOB2832   25       /25      3644.92      3648         3642
JOB2833   25       /25      9285.12      9287         9283
JOB2834   25       /25      6952.2       6954         6952
JOB2835   25       /25      2665.56      2667         2663
JOB2836   25       /25      3137.28      3138         3137
JOB2837   25       /25      1375.4       1377         1374
JOB2838   25       /25      5645.36      5646         5645
JOB2839   25       /25      2334.96      2336         2333
JOB2840   25       /25      4129.48      4131         4129
JOB2841   25       /25      2291.6       2293         2291
JOB2842   25       /25      2537.12      2538         2536
JOB2843   25       /25      2674.48      2675         2674
JOB2844   0        /25      0            0            0
JOB2845   25       /25      5378.52      5381         5377
JOB2846   25       /25      3735.0       3735         3735
JOB2847   25       /25      1093.44      1095         1092
JOB2848   25       /25      7467.04      7468         7467
JOB2849   25       /25      2415.0       2415         2415
JOB2850   25       /25      7620.12      7621         7619
JOB2851   25       /25      10756.0      10756        10756
JOB2852   25       /25      2253.0       2253         2253
JOB2853   25       /25      6690.0       6690         6690
JOB2854   25       /25      5630.0       5630         5630
JOB2855   25       /25      1993.64      1996         1992
JOB2856   25       /25      3250.0       3250         3250
JOB2857   25       /25      9357.8       9358         9357
JOB2858   25       /25      2006.36      2007         2006
JOB2859   25       /25      3345.56      3347         3344
JOB2860   25       /25      14039.04     14042        14037
JOB2861   25       /25      4638.04      4639         4637
JOB2862   25       /25      1930.6       1933         1930
JOB2863   25       /25      2299.8       2301         2298
JOB2864   25       /25      3390.72      3391         3390
JOB2865   25       /25      2389.64      2390         2389
JOB2866   25       /25      626.0        626          626
JOB2867   25       /25      2645.0       2645         2645
JOB2868   25       /25      4181.4       4182         4181
JOB2869   25       /25      941.04       943          940
JOB2870   25       /25      2522.88      2523         2522
JOB2871   25       /25      2276.92      2277         2276
JOB2872   25       /25      1821.88      1823         1821
JOB2873   25       /25      2933.52      2934         2933
JOB2874   25       /25      2783.04      2784         2783
JOB2875   25       /25      3953.64      3954         3953
JOB2876   25       /25      3409.0       3410         3408
JOB2877   25       /25      3586.04      3587         3586
JOB2878   25       /25      2088.0       2090         2087
JOB2879   25       /25      6866.36      6867         6866
JOB2880   25       /25      2401.36      2402         2400
JOB2881   0        /25      0            0            0
JOB2882   25       /25      4438.0       4438         4438
JOB2883   25       /25      2310.36      2312         2309
JOB2884   0        /25      0            0            0
JOB2885   25       /25      1996.8       1997         1996
JOB2886   25       /25      942.68       944          941
JOB2887   25       /25      2423.4       2426         2422
JOB2888   25       /25      6980.76      6981         6980
JOB2889   25       /25      1735.92      1736         1735
JOB2890   25       /25      3640.04      3641         3640
JOB2891   25       /25      5715.32      5716         5715
JOB2892   25       /25      2760.76      2761         2760
JOB2893   25       /25      2497.92      2501         2497
JOB2894   25       /25      4893.2       4894         4893
JOB2895   0        /25      0            0            0
JOB2896   25       /25      2762.0       2762         2762
JOB2897   0        /25      0            0            0
JOB2898   25       /25      2575.0       2575         2575
JOB2899   25       /25      2039.92      2043         2037
JOB2900   25       /25      2974.68      2975         2974
JOB2901   25       /25      4252.8       4253         4252
JOB2902   25       /25      1599.76      1600         1597
JOB2903   25       /25      8222.64      8223         8222
JOB2904   25       /25      5233.52      5234         5233
JOB2905   25       /25      6953.0       6953         6953
JOB2906   25       /25      2645.96      2646         2645
JOB2907   25       /25      4580.56      4581         4580
JOB2908   25       /25      3715.12      3716         3714
JOB2909   25       /25      4677.04      4678         4677
JOB2910   25       /25      6368.0       6368         6368
JOB2911   25       /25      8372.84      8373         8372
JOB2912   0        /25      0            0            0
JOB2913   25       /25      8210.52      8211         8210
JOB2914   25       /25      8080.48      8081         8080
JOB2915   25       /25      10129.0      10129        10129
JOB2916   25       /25      3349.28      3350         3349
JOB2917   25       /25      5432.08      5433         5432
JOB2918   25       /25      2999.44      3001         2998
JOB2919   25       /25      8879.0       8879         8879
JOB2920   25       /25      2744.64      2747         2743
JOB2921   25       /25      6268.6       6271         6266
JOB2922   25       /25      3512.12      3514         3511
JOB2923   25       /25      5992.32      5993         5992
JOB2924   25       /25      4545.0       4545         4545
JOB2925   25       /25      5887.24      5888         5885
JOB2926   25       /25      3782.8       3783         3782
JOB2927   25       /25      4593.16      4594         4593
JOB2928   0        /25      0            0            0
JOB2929   25       /25      4258.92      4259         4258
JOB2930   25       /25      3384.2       3387         3384
JOB2931   25       /25      6491.0       6491         6491
JOB2932   25       /25      5242.0       5242         5242
JOB2933   25       /25      9184.16      9185         9183
JOB2934   25       /25      3197.08      3199         3196
JOB2935   25       /25      4485.88      4487         4485
JOB2936   25       /25      4811.44      4812         4811
JOB2937   25       /25      2995.0       2995         2995
JOB2938   25       /25      2578.04      2581         2576
JOB2939   25       /25      4246.92      4249         4244
JOB2940   25       /25      3428.48      3429         3428
JOB2941   25       /25      5216.0       5216         5216
JOB2942   25       /25      2895.92      2896         2895
JOB2943   25       /25      5201.16      5202         5201
JOB2944   25       /25      2386.0       2386         2386
JOB2945   25       /25      4228.0       4228         4228
JOB2946   25       /25      2367.28      2369         2367
JOB2947   25       /25      3797.92      3798         3797
JOB2948   25       /25      3310.68      3311         3310
JOB2949   25       /25      2050.36      2051         2050
JOB2950   25       /25      5343.0       5343         5343
JOB2951   0        /25      0            0            0
JOB2952   25       /25      1233.8       1234         1233
JOB2953   25       /25      5514.88      5515         5514
JOB2954   25       /25      4686.32      4687         4686
JOB2955   25       /25      8272.8       8274         8272
JOB2956   25       /25      2525.08      2526         2524
JOB2957   0        /25      0            0            0
JOB2958   25       /25      4308.2       4309         4307
JOB2959   0        /25      0            0            0
JOB2960   25       /25      6979.44      6981         6978
