--------  -------  -------  -----------  -----------  -----------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------
Job ID    found    total    avg latency  max latency  min latency
JOB3278   25       /25      7890.44      7891         7890
JOB3279   25       /25      1953.12      1955         1952
JOB3280   25       /25      1124.2       1125         1123
JOB3281   25       /25      2026.0       2026         2026
JOB3282   25       /25      2715.92      2716         2715
JOB3283   25       /25      2197.0       2197         2197
JOB3284   25       /25      1697.56      1698         1697
JOB3285   25       /25      2768.36      2769         2768
JOB3286   0        /25      0            0            0
JOB3287   25       /25      6053.84      6055         6052
JOB3288   25       /25      2553.52      2556         2551
JOB3289   25       /25      5333.52      5334         5333
JOB3290   25       /25      5162.48      5165         5162
JOB3291   25       /25      5303.64      5304         5303
JOB3292   25       /25      2061.2       2062         2061
JOB3293   25       /25      2326.04      2327         2326
JOB3294   25       /25      2168.84      2169         2168
JOB3295   25       /25      9374.28      9375         9374
JOB3296   25       /25      3761.56      3763         3761
JOB3297   25       /25      11211.6      11212        11211
JOB3298   25       /25      4716.32      4717         4715
JOB3299   25       /25      8561.56      8562         8561
JOB3300   25       /25      3404.28      3406         3403
JOB3301   25       /25      3517.96      3518         3517
JOB3302   25       /25      5547.4       5550         5545
JOB3303   25       /25      15300.44     15301        15300
JOB3304   25       /25      13026.0      13026        13026
JOB3305   25       /25      3691.92      3696         3688
JOB3306   25       /25      5810.72      5811         5810
JOB3307   25       /25      2186.4       2187         2186
JOB3308   25       /25      3080.04      3081         3080
JOB3309   25       /25      2601.32      2605         2599
JOB3310   25       /25      9008.76      9009         9008
JOB3311   25       /25      2749.92      2751         2749
JOB3312   0        /25      0            0            0
JOB3313   25       /25      1584.24      1585         1584
JOB3314   25       /25      4686.76      4687         4686
JOB3315   25       /25      3007.96      3009         3007
JOB3316   25       /25      1417.28      1418         1417
JOB3317   0        /25      0            0            0
JOB3318   25       /25      6613.36      6614         6613
JOB3319   25       /25      2969.4       2970         2969
JOB3320   25       /25      2052.76      2053         2052
JOB3321   25       /25      947.04       948          947
JOB3322   25       /25      2569.16      2570         2569
JOB3323   25       /25      2022.84      2023         2022
JOB3324   25       /25      3164.64      3165         3164
JOB3325   25       /25      1707.6       1708         1707
JOB3326   25       /25      2978.0       2978         2978
JOB3327   25       /25      2497.72      2498         2497
JOB3328   25       /25      2726.76      2727         2726
JOB3329   25       /25      4752.72      4753         4752
JOB3330   25       /25      2234.0       2234         2234
JOB3331   25       /25      4495.32      4496         4495
JOB3332   25       /25      5417.64      5418         5417
JOB3333   25       /25      4613.92      4615         4612
JOB3334   25       /25      1724.0       1724         1724
JOB3335   25       /25      1117.56      1119         1115
JOB3336   25       /25      2109.0       2109         2109
JOB3337   25       /25      9697.0       9697         9697
JOB3338   25       /25      3354.56      3355         3354
JOB3339   25       /25      6443.8       6444         6443
JOB3340   25       /25      6673.4       6675         6673
JOB3341   25       /25      1574.48      1575         1574
JOB3342   25       /25      4814.0       4814         4814
JOB3343   25       /25      2735.0       2735         2735
JOB3344   25       /25      2685.84      2688         2684
JOB3345   25       /25      6994.88      6995         6994
JOB3346   25       /25      10469.04     10470        10469
JOB3347   25       /25      10626.08     10627        10626
JOB3348   25       /25      8968.04      8969         8968
JOB3349   25       /25      2328.0       2328         2328
JOB3350   25       /25      1425.4       1426         1425
JOB3351   25       /25      14086.04     14087        14085
JOB3352   25       /25      2219.32      2223         2217
JOB3353   25       /25      2535.04      2536         2535
JOB3354   25       /25      3274.68      3276         3274
JOB3355   25       /25      1828.2       1829         1827
JOB3356   25       /25      2124.36      2125         2124
JOB3357   25       /25      7001.68      7003         7001
JOB3358   25       /25      4129.04      4130         4129
JOB3359   25       /25      2096.8       2097         2096
JOB3360   25       /25      2799.0       2799         2799
JOB3361   25       /25      804.12       805          803
JOB3362   25       /25      3680.24      3682         3679
JOB3363   25       /25      2884.64      2886         2884
JOB3364   0        /25      0            0            0
JOB3365   25       /25      1218.32      1223         1216
JOB3366   25       /25      4216.0       4216         4216
JOB3367   25       /25      2486.12      2489         2484
JOB3368   25       /25      5020.96      5022         5020
JOB3369   25       /25      6992.04      6993         6992
JOB3370   25       /25      2347.84      2348         2347
JOB3371   25       /25      1679.84      1681         1677
JOB3372   25       /25      5137.0       5137         5137
JOB3373   25       /25      6881.32      6882         6881
JOB3374   25       /25      5102.04      5103         5102
JOB3375   25       /25      14998.04     14999        14998
JOB3376   25       /25      2046.0       2046         2046
JOB3377   25       /25      4975.8       4980         4972
JOB3378   25       /25      7571.08      7572         7571
JOB3379   25       /25      4779.88      4781         4779
JOB3380   25       /25      2984.96      2985         2984
JOB3381   25       /25      1886.8       1887         1886
JOB3382   25       /25      1601.96      1604         1600
JOB3383   25       /25      1169.0       1169         1169
JOB3384   25       /25      1779.88      1780         1779
JOB3385   25       /25      2219.0       2219         2219
JOB3386   25       /25      2982.36      2983         2981
JOB3387   25       /25      6955.2       6956         6955
