--------  -------  -------  -----------  -----------  -----------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------
Job ID    found    total    avg latency  max latency  min latency
JOB3758   25       /25      5213.08      5214         5212
JOB3759   25       /25      4091.08      4095         4089
JOB3760   25       /25      4198.24      4199         4198
JOB3761   25       /25      6885.44      6886         6884
JOB3762   25       /25      870.0        870          870
JOB3763   25       /25      2044.04      2045         2044
JOB3764   25       /25      3859.48      3863         3857
JOB3765   25       /25      2006.24      2007         2006
JOB3766   25       /25      6079.6       6081         6079
JOB3767   25       /25      11141.96     11149        11137
JOB3768   25       /25      3978.8       3981         3977
JOB3769   25       /25      4847.4       4848         4847
JOB3770   25       /25      6247.0       6247         6247
JOB3771   25       /25      2179.0       2179         2179
JOB3772   25       /25      9184.76      9185         9184
JOB3773   25       /25      1956.68      1957         1956
JOB3774   25       /25      1564.08      1566         1563
JOB3775   25       /25      3683.72      3684         3683
JOB3776   25       /25      7492.6       7493         7491
JOB3777   25       /25      1107.0       1107         1107
JOB3778   25       /25      1452.0       1452         1452
JOB3779   25       /25      1860.76      1861         1860
JOB3780   25       /25      2912.2       2913         2912
JOB3781   25       /25      3070.0       3070         3070
JOB3782   25       /25      4911.88      4912         4910
JOB3783   25       /25      3793.32      3795         3791
JOB3784   25       /25      6824.96      6825         6824
JOB3785   25       /25      2444.52      2448         2443
JOB3786   25       /25      1938.72      1943         1936
JOB3787   25       /25      3764.8       3766         3763
JOB3788   25       /25      974.0        974          974
JOB3789   25       /25      6425.12      6426         6425
JOB3790   25       /25      4453.64      4454         4453
JOB3791   0        /25      0            0            0
JOB3792   25       /25      4569.28      4645         4559
JOB3793   25       /25      1671.2       1672         1670
JOB3794   25       /25      3645.12      3648         3643
JOB3795   25       /25      2273.0       2273         2273
JOB3796   25       /25      5977.0       5977         5977
JOB3797   25       /25      3520.76      3521         3520
JOB3798   0        /25      0            0            0
JOB3799   25       /25      1390.8       1391         1390
JOB3800   25       /25      4679.56      4681         4679
JOB3801   25       /25      2396.24      2397         2396
JOB3802   0        /25      0            0            0
JOB3803   25       /25      3094.92      3095         3094
JOB3804   0        /25      0            0            0
JOB3805   25       /25      5160.08      5161         5159
JOB3806   25       /25      3710.96      3711         3710
JOB3807   25       /25      4537.12      4539         4536
JOB3808   0        /25      0            0            0
JOB3809   25       /25      4018.08      4019         4018
JOB3810   25       /25      3232.0       3232         3232
JOB3811   25       /25      4613.36      4615         4613
JOB3812   25       /25      1816.2       1817         1816
JOB3813   25       /25      2264.88      2266         2264
JOB3814   25       /25      2044.04      2045         2044
JOB3815   25       /25      4255.0       4255         4255
JOB3816   25       /25      2095.92      2096         2095
JOB3817   25       /25      1580.96      1582         1580
JOB3818   25       /25      9131.04      9132         9131
JOB3819   25       /25      1205.48      1206         1205
JOB3820   25       /25      5548.0       5548         5548
JOB3821   25       /25      5333.84      5334         5333
JOB3822   25       /25      1839.0       1839         1839
JOB3823   25       /25      1592.24      1593         1592
JOB3824   25       /25      1339.8       1341         1339
JOB3825   25       /25      1630.0       1630         1630
JOB3826   25       /25      1555.12      1558         1552
JOB3827   25       /25      5425.0       5425         5425
JOB3828   25       /25      3021.72      3022         3021
JOB3829   25       /25      7975.0       7975         7975
JOB3830   25       /25      2060.56      2061         2060
JOB3831   25       /25      4654.28      4656         4651
JOB3832   25       /25      7227.08      7228         7227
JOB3833   25       /25      1873.2       1874         1873
JOB3834   25       /25      2560.92      2561         2560
JOB3835   25       /25      10171.44     10172        10171
JOB3836   25       /25      3383.48      3384         3383
JOB3837   25       /25      3640.92      3641         3640
JOB3838   25       /25      5031.96      5033         5030
JOB3839   25       /25      5018.64      5020         5018
JOB3840   25       /25      1997.2       1998         1997
JOB3841   25       /25      12460.6      12461        12460
JOB3842   25       /25      10246.96     10247        10246
JOB3843   25       /25      5380.72      5381         5380
JOB3844   25       /25      2979.36      2981         2978
JOB3845   0        /25      0            0            0
JOB3846   25       /25      2336.32      2337         2335
JOB3847   25       /25      1558.72      1560         1557
JOB3848   25       /25      3198.16      3199         3198
JOB3849   25       /25      2430.0       2430         2430
JOB3850   25       /25      1396.0       1396         1396
JOB3851   25       /25      2978.0       2978         2978
JOB3852   25       /25      1843.0       1843         1843
JOB3853   25       /25      2286.76      2290         2285
JOB3854   25       /25      5863.08      5864         5863
JOB3855   25       /25      3638.28      3639         3638
JOB3856   25       /25      3098.0       3098         3098
JOB3857   25       /25      2537.2       2538         2537
JOB3858   25       /25      2708.36      2711         2706
JOB3859   25       /25      2161.92      2163         2160
JOB3860   25       /25      3256.12      3257         3255
JOB3861   25       /25      6387.4       6390         6385
JOB3862   25       /25      2890.16      2895         2886
JOB3863   25       /25      2725.52      2727         2725
JOB3864   25       /25      6288.44      6292         6285
JOB3865   25       /25      4851.84      4852         4851
JOB3866   25       /25      5077.0       5077         5077
JOB3867   25       /25      3601.24      3605         3598
JOB3868   25       /25      10507.68     10508        10506
JOB3869   25       /25      737.08       738          737
JOB3870   25       /25      2132.4       2133         2132
JOB3871   25       /25      5571.24      5572         5571
JOB3872   25       /25      1066.12      1067         1066
JOB3873   25       /25      1913.36      1914         1913
JOB3874   25       /25      1682.64      1683         1682
JOB3875   25       /25      3281.72      3282         3281
JOB3876   25       /25      5259.24      5260         5259
JOB3877   25       /25      1147.04      1148         1146
JOB3878   25       /25      2138.12      2141         2137
JOB3879   25       /25      2046.24      2048         2045
JOB3880   25       /25      3832.44      3836         3831
JOB3881   25       /25      6886.0       6886         6886
JOB3882   25       /25      2803.0       2803         2803
JOB3883   25       /25      5534.48      5535         5534
JOB3884   25       /25      3400.48      3401         3400
JOB3885   25       /25      1928.76      1929         1928
JOB3886   25       /25      2407.0       2407         2407
JOB3887   25       /25      3547.36      3548         3547
JOB3888   25       /25      3450.2       3451         3450
JOB3889   25       /25      2016.72      2018         2015
JOB3890   25       /25      3451.88      3452         3451
JOB3891   25       /25      5266.76      5267         5266
JOB3892   25       /25      9173.12      9175         9172
JOB3893   25       /25      2336.0       2336         2336
JOB3894   25       /25      3047.0       3047         3047
JOB3895   25       /25      3349.0       3349         3349
JOB3896   25       /25      6564.96      6565         6564
JOB3897   25       /25      4137.76      4138         4137
JOB3898   25       /25      2999.28      3001         2999
JOB3899   25       /25      3432.24      3433         3432
JOB3900   25       /25      2228.0       2228         2228
JOB3901   25       /25      2769.28      2771         2769
JOB3902   25       /25      6391.12      6392         6391
JOB3903   25       /25      2101.12      2103         2100
JOB3904   25       /25      4247.68      4248         4247
JOB3905   25       /25      3534.28      3535         3533
JOB3906   25       /25      2360.0       2360         2360
JOB3907   25       /25      6498.0       6498         6498
JOB3908   25       /25      6369.16      6372         6367
JOB3909   25       /25      2523.44      2524         2523
JOB3910   25       /25      3373.44      3374         3373
JOB3911   25       /25      2750.88      2752         2750
JOB3912   25       /25      1166.0       1166         1166
JOB3913   25       /25      3662.8       3665         3660
JOB3914   25       /25      3844.56      3845         3844
JOB3915   25       /25      3268.64      3270         3267
JOB3916   25       /25      1847.72      1848         1847
JOB3917   25       /25      5163.36      5164         5163
JOB3918   25       /25      2486.4       2488         2486
JOB3919   25       /25      4616.0       4616         4616
JOB3920   25       /25      2671.6       2672         2671
JOB3921   25       /25      1625.6       1626         1625
JOB3922   25       /25      5017.68      5018         5017
JOB3923   25       /25      3350.16      3351         3350
JOB3924   25       /25      5168.72      5169         5168
JOB3925   0        /25      0            0            0
JOB3926   25       /25      6760.68      6761         6760
JOB3927   25       /25      7019.64      7021         7018
JOB3928   0        /25      0            0            0
JOB3929   25       /25      10182.28     10183        10182
JOB3930   25       /25      3840.72      3842         3838
JOB3931   25       /25      3185.52      3186         3185
JOB3932   25       /25      3078.24      3079         3077
