--------  -------  -------  -----------  -----------  -----------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------
Job ID    found    total    avg latency  max latency  min latency
JOB4238   25       /25      4273.28      4275         4272
JOB4239   25       /25      4427.16      4430         4424
JOB4240   25       /25      4273.44      4274         4273
JOB4241   25       /25      7175.76      7177         7175
JOB4242   25       /25      7729.04      7730         7729
JOB4243   25       /25      4051.76      4052         4051
JOB4244   25       /25      2845.8       2847         2845
JOB4245   25       /25      2296.0       2296         2296
JOB4246   25       /25      2003.6       2004         2003
JOB4247   25       /25      1422.0       1422         1422
JOB4248   25       /25      1129.0       1129         1129
JOB4249   25       /25      3850.4       3851         3850
JOB4250   25       /25      7092.0       7092         7092
JOB4251   25       /25      3212.8       3215         3211
JOB4252   25       /25      3927.96      3928         3927
JOB4253   25       /25      2689.96      2691         2689
JOB4254   25       /25      1908.84      1909         1908
JOB4255   25       /25      3296.0       3296         3296
JOB4256   25       /25      2644.64      2645         2644
JOB4257   25       /25      4473.32      4474         4473
JOB4258   25       /25      5999.0       5999         5999
JOB4259   0        /25      0            0            0
JOB4260   25       /25      6762.8       6763         6762
JOB4261   0        /25      0            0            0
JOB4262   25       /25      4805.28      4806         4805
JOB4263   25       /25      2461.88      2462         2461
JOB4264   25       /25      3429.4       3430         3429
JOB4265   25       /25      9313.48      9314         9313
JOB4266   25       /25      3732.68      3733         3732
JOB4267   25       /25      1962.04      1963         1962
JOB4268   25       /25      3070.88      3071         3070
JOB4269   25       /25      2285.68      2286         2285
JOB4270   25       /25      2228.72      2230         2227
JOB4271   25       /25      2921.0       2921         2921
JOB4272   25       /25      3477.36      3478         3477
JOB4273   25       /25      1695.12      1697         1693
JOB4274   25       /25      3220.24      3221         3220
JOB4275   25       /25      11199.48     11200        11199
JOB4276   25       /25      2244.32      2245         2244
JOB4277   0        /25      0            0            0
JOB4278   25       /25      1564.76      1565         1564
JOB4279   25       /25      4277.0       4277         4277
JOB4280   25       /25      6693.52      6694         6693
JOB4281   25       /25      3117.72      4253         1101
JOB4282   25       /25      2598.0       2598         2598
JOB4283   25       /25      9527.0       9527         9527
JOB4284   25       /25      2608.0       2608         2608
JOB4285   25       /25      3896.4       3897         3896
JOB4286   25       /25      3039.0       3039         3039
JOB4287   25       /25      4139.12      4140         4139
JOB4288   25       /25      5019.0       5019         5019
JOB4289   25       /25      5097.08      5098         5097
JOB4290   25       /25      5515.0       5515         5515
JOB4291   25       /25      2869.0       2870         2868
JOB4292   25       /25      3857.36      3858         3857
JOB4293   25       /25      2134.52      2137         2132
JOB4294   25       /25      2291.28      2292         2291
JOB4295   25       /25      1229.08      1230         1229
JOB4296   25       /25      1660.04      1661         1660
JOB4297   25       /25      2135.48      2136         2135
JOB4298   25       /25      1927.0       1927         1927
JOB4299   25       /25      7354.84      7355         7354
JOB4300   25       /25      1265.64      1266         1265
JOB4301   25       /25      2041.48      2042         2039
JOB4302   0        /25      0            0            0
JOB4303   25       /25      2391.64      2394         2391
JOB4304   25       /25      9446.04      9447         9446
JOB4305   25       /25      2316.36      2317         2316
JOB4306   25       /25      10955.84     10956        10955
JOB4307   25       /25      1198.0       1198         1198
JOB4308   25       /25      1649.16      1650         1648
JOB4309   25       /25      11582.44     11583        11582
JOB4310   25       /25      4244.56      4245         4244
JOB4311   25       /25      6092.04      6093         6092
JOB4312   25       /25      3866.2       3867         3865
JOB4313   25       /25      8153.32      8154         8153
JOB4314   25       /25      778.56       779          778
JOB4315   25       /25      2923.0       2923         2923
JOB4316   25       /25      4235.24      4236         4235
JOB4317   25       /25      2043.76      2044         2043
JOB4318   25       /25      3371.36      3372         3371
JOB4319   25       /25      4307.0       4307         4307
JOB4320   25       /25      2148.0       2148         2148
JOB4321   25       /25      1739.48      1740         1739
JOB4322   25       /25      3716.36      3718         3714
JOB4323   25       /25      2896.44      2897         2896
JOB4324   25       /25      1069.0       1069         1069
JOB4325   25       /25      4983.16      4984         4981
JOB4326   25       /25      2662.76      2664         2662
JOB4327   25       /25      1677.24      1683         1672
JOB4328   25       /25      5245.4       5248         5243
JOB4329   0        /25      0            0            0
JOB4330   25       /25      3019.52      3020         3019
JOB4331   25       /25      1955.2       1956         1954
JOB4332   0        /25      0            0            0
JOB4333   25       /25      2736.0       2736         2736
JOB4334   25       /25      1552.0       1552         1552
JOB4335   25       /25      7727.0       7727         7727
JOB4336   25       /25      2280.0       2280         2280
JOB4337   25       /25      2630.0       2630         2630
JOB4338   25       /25      829.2        830          829
JOB4339   25       /25      6451.04      6452         6451
JOB4340   25       /25      4011.2       4012         4011
JOB4341   25       /25      5429.4       5430         5429
JOB4342   25       /25      3535.12      3536         3535
JOB4343   25       /25      4803.08      4805         4802
JOB4344   25       /25      2298.0       2298         2298
JOB4345   25       /25      7336.0       7336         7336
JOB4346   25       /25      10163.64     10166        10163
JOB4347   25       /25      1025.76      1029         1022
JOB4348   25       /25      3428.0       3428         3428
JOB4349   25       /25      6645.72      6647         6644
JOB4350   25       /25      2616.24      2617         2616
JOB4351   25       /25      2124.48      2125         2124
JOB4352   25       /25      7810.8       7812         7810
JOB4353   25       /25      9910.0       9910         9910
JOB4354   25       /25      2442.72      2444         2441
JOB4355   25       /25      1311.48      1312         1311
JOB4356   25       /25      2270.08      2272         2270
JOB4357   25       /25      1634.32      1635         1634
JOB4358   25       /25      3982.24      3984         3981
JOB4359   25       /25      4080.56      4081         4080
JOB4360   25       /25      5295.2       5296         5295
JOB4361   25       /25      1733.32      1735         1732
JOB4362   25       /25      3280.68      3281         3280
JOB4363   25       /25      2144.16      2145         2143
JOB4364   25       /25      3129.96      3132         3128
JOB4365   25       /25      2865.0       2865         2865
JOB4366   25       /25      2552.56      2553         2552
