--------  -------  -------  -----------  -----------  -----------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------
Job ID    found    total    avg latency  max latency  min latency
JOB4718   25       /25      2110.92      2112         2110
JOB4719   25       /25      11220.52     11221        11220
JOB4720   25       /25      1155.0       1155         1155
JOB4721   25       /25      2790.24      2791         2790
JOB4722   25       /25      1793.0       1794         1791
JOB4723   25       /25      2500.44      2501         2500
JOB4724   25       /25      3229.8       3230         3229
JOB4725   25       /25      8760.04      8761         8759
JOB4726   0        /25      0            0            0
JOB4727   25       /25      5255.36      5258         5254
JOB4728   25       /25      2235.8       2237         2233
JOB4729   25       /25      2232.44      2238         2227
JOB4730   25       /25      3767.84      3771         3766
JOB4731   25       /25      3298.04      3299         3298
JOB4732   25       /25      7952.84      7958         7949
JOB4733   25       /25      3050.24      3051         3050
JOB4734   25       /25      2130.48      2131         2130
JOB4735   25       /25      2534.4       2536         2533
JOB4736   25       /25      3525.32      3527         3525
JOB4737   25       /25      3146.76      3147         3146
JOB4738   25       /25      4312.2       4313         4312
JOB4739   25       /25      1519.44      1521         1517
JOB4740   25       /25      5775.0       5775         5775
JOB4741   25       /25      2172.36      2173         2172
JOB4742   25       /25      1799.64      1800         1799
JOB4743   25       /25      6906.84      6907         6906
JOB4744   25       /25      6041.36      6042         6041
JOB4745   25       /25      4076.64      4077         4076
JOB4746   25       /25      539.0        539          539
JOB4747   25       /25      2493.0       2495         2491
JOB4748   25       /25      1516.0       1516         1516
JOB4749   0        /25      0            0            0
JOB4750   25       /25      2460.56      2461         2460
JOB4751   25       /25      5020.32      5021         5020
JOB4752   25       /25      6712.4       6713         6712
JOB4753   25       /25      4573.28      4574         4573
JOB4754   0        /25      0            0            0
JOB4755   25       /25      11116.68     11118        11116
JOB4756   0        /25      0            0            0
JOB4757   25       /25      9272.28      9273         9272
JOB4758   25       /25      13763.56     13766        13763
JOB4759   0        /25      0            0            0
JOB4760   25       /25      1374.56      1375         1374
JOB4761   25       /25      4746.2       4747         4746
JOB4762   25       /25      3191.0       3191         3191
JOB4763   25       /25      8542.0       8542         8542
JOB4764   25       /25      3335.68      3339         3334
JOB4765   25       /25      6665.48      6667         6665
JOB4766   25       /25      1493.0       1493         1493
JOB4767   25       /25      5017.24      5018         5017
JOB4768   25       /25      7680.84      7683         7679
JOB4769   25       /25      2378.0       2378         2378
JOB4770   0        /25      0            0            0
JOB4771   25       /25      3012.0       3012         3012
JOB4772   25       /25      2806.72      2809         2803
JOB4773   25       /25      1561.72      1562         1561
JOB4774   25       /25      15080.0      15080        15080
JOB4775   25       /25      2418.36      2420         2417
JOB4776   25       /25      4907.0       4907         4907
JOB4777   25       /25      1751.0       1751         1751
JOB4778   25       /25      2753.88      2754         2753
JOB4779   25       /25      4952.0       4952         4952
JOB4780   25       /25      3391.76      3392         3389
JOB4781   25       /25      683.48       684          683
JOB4782   25       /25      6961.04      6962         6961
JOB4783   25       /25      3462.44      3463         3461
JOB4784   25       /25      8251.88      8253         8251
JOB4785   25       /25      2165.32      2167         2163
JOB4786   25       /25      5930.92      5933         5929
JOB4787   25       /25      4587.0       4590         4584
JOB4788   25       /25      3487.68      3490         3486
JOB4789   25       /25      2471.56      2472         2471
JOB4790   25       /25      3555.72      3557         3554
JOB4791   25       /25      7156.6       7158         7156
JOB4792   25       /25      5809.8       5812         5809
JOB4793   25       /25      5795.12      5798         5792
JOB4794   0        /25      0            0            0
JOB4795   25       /25      2234.64      2236         2234
JOB4796   25       /25      3738.04      3739         3738
JOB4797   25       /25      1766.56      1768         1764
JOB4798   25       /25      2862.24      2863         2862
JOB4799   0        /25      0            0            0
JOB4800   25       /25      2560.4       2562         2559
JOB4801   25       /25      9532.96      9534         9532
JOB4802   25       /25      2125.24      2130         2122
JOB4803   25       /25      5522.2       5525         5519
JOB4804   25       /25      7240.0       7240         7240
JOB4805   25       /25      2805.68      2806         2805
JOB4806   25       /25      3266.6       3269         3265
JOB4807   25       /25      1648.0       1648         1648
JOB4808   25       /25      1841.24      1842         1841
JOB4809   25       /25      1685.36      1686         1685
JOB4810   0        /25      0            0            0
JOB4811   25       /25      2946.96      2947         2946
JOB4812   25       /25      6197.4       6198         6197
JOB4813   25       /25      7790.0       7790         7790
JOB4814   25       /25      6976.04      6977         6976
JOB4815   25       /25      4710.0       4710         4710
JOB4816   25       /25      7229.2       7231         7228
JOB4817   25       /25      2314.68      2316         2314
JOB4818   25       /25      1905.04      1906         1905
JOB4819   25       /25      4880.04      4881         4880
JOB4820   25       /25      6106.0       6106         6106
JOB4821   25       /25      14921.0      14921        14921
JOB4822   25       /25      7776.2       7777         7776
JOB4823   25       /25      3782.8       3783         3782
JOB4824   25       /25      5294.24      5295         5294
JOB4825   25       /25      8104.0       8104         8104
JOB4826   0        /25      0            0            0
JOB4827   25       /25      9077.92      9079         9077
JOB4828   25       /25      5859.0       5859         5859
JOB4829   25       /25      4137.0       4137         4137
JOB4830   25       /25      7130.56      7133         7128
JOB4831   25       /25      2911.0       2911         2911
JOB4832   25       /25      4076.16      4077         4076
JOB4833   25       /25      5688.72      5689         5688
JOB4834   25       /25      1393.64      1395         1393
JOB4835   25       /25      7176.0       7176         7176
JOB4836   25       /25      6132.88      6135         6131
JOB4837   25       /25      4494.76      4497         4494
JOB4838   25       /25      5532.0       5532         5532
JOB4839   25       /25      7334.92      7337         7334
JOB4840   25       /25      1749.08      1750         1748
JOB4841   25       /25      3186.0       3186         3186
JOB4842   25       /25      3711.64      3712         3711
JOB4843   0        /25      0            0            0
JOB4844   0        /25      0            0            0
JOB4845   25       /25      9289.0       9289         9289
JOB4846   25       /25      1768.36      1769         1768
JOB4847   25       /25      6698.28      6699         6698
JOB4848   25       /25      5585.08      5587         5583
JOB4849   25       /25      1960.84      1962         1960
JOB4850   25       /25      3678.04      3679         3678
JOB4851   25       /25      2243.16      2244         2243
JOB4852   25       /25      1244.0       1244         1244
JOB4853   25       /25      3848.76      3849         3848
JOB4854   25       /25      9600.28      9605         9597
JOB4855   25       /25      1935.88      1936         1935
JOB4856   25       /25      3504.28      3505         3504
JOB4857   25       /25      2348.44      2349         2348
JOB4858   25       /25      5634.0       5634         5634
JOB4859   25       /25      1635.76      1637         1635
JOB4860   25       /25      1232.84      1233         1232
JOB4861   25       /25      2251.92      2253         2250
JOB4862   25       /25      1703.0       1703         1703
JOB4863   25       /25      3869.92      3870         3869
JOB4864   0        /25      0            0            0
JOB4865   25       /25      7013.0       7013         7013
JOB4866   25       /25      4021.0       4021         4021
JOB4867   25       /25      2774.04      2775         2774
JOB4868   25       /25      1855.76      1856         1855
JOB4869   25       /25      6828.0       6828         6828
JOB4870   25       /25      2466.28      2467         2465
JOB4871   0        /25      0            0            0
JOB4872   25       /25      3693.0       3693         3693
JOB4873   25       /25      6980.44      6981         6980
JOB4874   25       /25      2671.88      2673         2671
JOB4875   25       /25      3948.36      3949         3948
JOB4876   25       /25      1504.0       1504         1504
JOB4877   25       /25      2785.64      2787         2784
JOB4878   25       /25      1163.68      1167         1161
JOB4879   25       /25      3340.12      3343         3339
JOB4880   0        /25      0            0            0
JOB4881   25       /25      1687.64      1690         1686
JOB4882   25       /25      7247.32      7248         7246
JOB4883   25       /25      1084.72      1085         1084
JOB4884   25       /25      5583.84      5585         5583
JOB4885   0        /25      0            0            0
JOB4886   25       /25      3910.84      3912         3910
JOB4887   25       /25      2461.4       2462         2461
JOB4888   25       /25      3522.0       3522         3522
JOB4889   25       /25      5890.56      5891         5890
JOB4890   25       /25      3789.2       3790         3788
JOB4891   25       /25      2824.2       2825         2824
JOB4892   25       /25      3562.08      3563         3562
JOB4893   25       /25      5206.4       5208         5204
JOB4894   25       /25      1666.8       1669         1665
JOB4895   0        /25      0            0            0
JOB4896   25       /25      3445.8       3446         3445
JOB4897   25       /25      4738.36      4739         4737
JOB4898   25       /25      2182.0       2182         2182
JOB4899   25       /25      3667.0       3667         3667
JOB4900   25       /25      2198.0       2198         2198
JOB4901   25       /25      4750.6       4751         4750
JOB4902   25       /25      7053.4       7054         7053
JOB4903   25       /25      8310.04      8311         8310
JOB4904   25       /25      3535.0       3535         3535
JOB4905   25       /25      3618.0       3620         3616
JOB4906   25       /25      1663.0       1663         1663
JOB4907   25       /25      6776.76      6777         6776
JOB4908   25       /25      3325.12      3326         3325
JOB4909   25       /25      2236.28      2237         2236
JOB4910   25       /25      2608.0       2608         2608
JOB4911   25       /25      815.08       816          815
JOB4912   25       /25      1898.0       1898         1898
JOB4913   25       /25      1541.4       1542         1541
JOB4914   25       /25      10173.04     10174        10173
JOB4915   25       /25      3154.0       3154         3154
JOB4916   25       /25      6833.0       6834         6832
JOB4917   25       /25      7297.0       7297         7297
JOB4918   25       /25      7838.8       7840         7838
JOB4919   25       /25      4622.44      4623         4622
JOB4920   25       /25      1966.32      1967         1963
JOB4921   25       /25      1253.68      1254         1253
JOB4922   0        /25      0            0            0
JOB4923   25       /25      2551.16      2557         2548
JOB4924   25       /25      1975.04      1976         1974
JOB4925   25       /25      3099.08      3101         3096
JOB4926   25       /25      2175.4       2176         2174
JOB4927   25       /25      2251.12      2252         2251
JOB4928   25       /25      4963.72      4965         4962
JOB4929   25       /25      1690.8       1691         1690
JOB4930   25       /25      14943.88     14944        14943
JOB4931   25       /25      9354.08      9357         9350
JOB4932   25       /25      5248.88      5252         5246
JOB4933   25       /25      6742.56      6744         6742
JOB4934   25       /25      2793.0       2793         2793
JOB4935   25       /25      6148.04      6149         6148
JOB4936   25       /25      8043.0       8043         8043
JOB4937   25       /25      1489.92      1490         1489
JOB4938   25       /25      1539.4       1540         1539
JOB4939   25       /25      1943.0       1943         1943
JOB4940   25       /25      1847.12      1850         1845
JOB4941   25       /25      2514.0       2514         2514
JOB4942   25       /25      3174.0       3174         3174
JOB4943   25       /25      11635.72     11636        11635
JOB4944   25       /25      3412.12      3415         3411
JOB4945   25       /25      4663.84      4664         4663
JOB4946   25       /25      1915.96      1917         1915
JOB4947   25       /25      1631.0       1631         1631
JOB4948   25       /25      3874.92      3875         3874
JOB4949   25       /25      3586.48      3587         3586
JOB4950   25       /25      6773.72      6775         6773
JOB4951   25       /25      3154.16      3155         3154
JOB4952   25       /25      4403.52      4404         4403
JOB4953   25       /25      4327.2       4328         4327
JOB4954   25       /25      1667.0       1667         1667
JOB4955   25       /25      4459.2       4460         4459
JOB4956   25       /25      2896.0       2896         2896
JOB4957   25       /25      5102.92      5104         5101
JOB4958   25       /25      6259.52      6260         6259
JOB4959   25       /25      1917.2       1918         1917
JOB4960   25       /25      8152.2       8155         8150
JOB4961   25       /25      3282.0       3282         3282
JOB4962   25       /25      6976.72      6978         6976
JOB4963   25       /25      2939.04      2940         2939
JOB4964   25       /25      4186.64      4188         4184
JOB4965   25       /25      3907.28      3908         3907
JOB4966   25       /25      4125.0       4125         4125
JOB4967   25       /25      2910.44      2912         2909
JOB4968   25       /25      4219.16      4220         4219
JOB4969   25       /25      2616.2       2618         2616
JOB4970   25       /25      11991.96     11997        11987
JOB4971   25       /25      3008.28      3012         3005
JOB4972   25       /25      4404.0       4404         4404
JOB4973   25       /25      9401.52      9402         9401
JOB4974   25       /25      5129.52      5130         5129
JOB4975   25       /25      3253.72      3254         3253
JOB4976   25       /25      5270.28      5274         5266
JOB4977   25       /25      4678.36      4679         4677
JOB4978   25       /25      1783.36      1784         1783
JOB4979   25       /25      4451.88      4453         4451
JOB4980   25       /25      2428.04      2429         2427
JOB4981   25       /25      1855.2       1858         1854
JOB4982   25       /25      2514.2       2516         2513
JOB4983   25       /25      7966.12      7968         7965
JOB4984   25       /25      2921.84      2923         2921
JOB4985   25       /25      3545.4       3546         3545
JOB4986   25       /25      4669.64      4671         4668
JOB4987   25       /25      3899.0       3899         3899
JOB4988   25       /25      8115.56      8117         8114
JOB4989   25       /25      1949.64      1951         1949
JOB4990   25       /25      4815.0       4815         4815
JOB4991   25       /25      4229.72      4230         4229
JOB4992   25       /25      4092.6       4096         4091
JOB4993   25       /25      3756.0       3756         3756
JOB4994   25       /25      3792.0       3792         3792
JOB4995   25       /25      2382.76      2383         2382
JOB4996   0        /25      0            0            0
JOB4997   25       /25      3678.56      3679         3678
JOB4998   25       /25      1817.0       1817         1817
JOB4999   25       /25      6053.8       6055         6053
JOB5000   25       /25      3162.32      3164         3160
JOB5001   25       /25      4809.84      4810         4809
JOB5002   25       /25      1842.04      1843         1841
JOB5003   25       /25      5581.6       5582         5581
JOB5004   25       /25      5417.56      5418         5417
JOB5005   25       /25      4518.0       4518         4518
JOB5006   25       /25      2368.72      2370         2368
JOB5007   25       /25      2068.72      2069         2068
JOB5008   0        /25      0            0            0
JOB5009   25       /25      1397.6       1398         1397
JOB5010   25       /25      2817.6       2818         2817
JOB5011   25       /25      1969.64      1972         1968
JOB5012   25       /25      1764.92      1765         1764
JOB5013   25       /25      8833.0       8833         8833
JOB5014   0        /25      0            0            0
JOB5015   25       /25      3384.96      3388         3382
JOB5016   25       /25      3565.92      3569         3563
JOB5017   25       /25      2439.0       2439         2439
JOB5018   25       /25      3220.12      3222         3219
JOB5019   25       /25      2598.0       2598         2598
JOB5020   25       /25      1304.0       1304         1304
JOB5021   0        /25      0            0            0
JOB5022   25       /25      5777.56      5778         5777
JOB5023   25       /25      6391.68      6393         6390
JOB5024   25       /25      3714.96      3716         3714
JOB5025   25       /25      2920.84      2922         2920
JOB5026   25       /25      4305.04      4306         4305
JOB5027   25       /25      2979.04      2980         2979
JOB5028   25       /25      3407.88      3408         3407
JOB5029   25       /25      2133.4       2134         2133
JOB5030   25       /25      2316.0       2316         2316
JOB5031   25       /25      9680.48      9681         9680
JOB5032   25       /25      2208.92      2209         2208
JOB5033   0        /25      0            0            0
JOB5034   25       /25      2268.0       2268         2268
JOB5035   25       /25      3001.0       3001         3001
JOB5036   25       /25      3432.0       3432         3432
JOB5037   25       /25      9328.0       9328         9328
JOB5038   25       /25      4516.0       4516         4516
JOB5039   25       /25      3477.72      3478         3477
JOB5040   25       /25      2943.12      2944         2943
JOB5041   25       /25      2205.28      2206         2204
JOB5042   25       /25      3766.0       3767         3763
JOB5043   25       /25      2459.0       2459         2459
